file,status,chunksize,chunk_count,total_rows_read,total_rows_after_clean,bad_date_rows,missing_nta_rows,elapsed_seconds,error
data\processed\nyc_311_with_nta\nyc_311_2015_01_part000_with_nta.csv.gz,done,200000,1,50000,49994,0,6,0.245,
data\processed\nyc_311_with_nta\nyc_311_2015_01_part001_with_nta.csv.gz,done,200000,1,50000,49994,0,6,0.236,
data\processed\nyc_311_with_nta\nyc_311_2015_01_part002_with_nta.csv.gz,done,200000,1,50000,49991,0,9,0.243,
data\processed\nyc_311_with_nta\nyc_311_2015_01_part003_with_nta.csv.gz,done,200000,1,25010,25007,0,3,0.135,
data\processed\nyc_311_with_nta\nyc_311_2015_02_part000_with_nta.csv.gz,done,200000,1,50000,49982,0,18,0.232,
data\processed\nyc_311_with_nta\nyc_311_2015_02_part001_with_nta.csv.gz,done,200000,1,50000,49986,0,14,0.235,
data\processed\nyc_311_with_nta\nyc_311_2015_02_part002_with_nta.csv.gz,done,200000,1,50000,49990,0,10,0.271,
data\processed\nyc_311_with_nta\nyc_311_2015_02_part003_with_nta.csv.gz,done,200000,1,32883,32874,0,9,0.183,
data\processed\nyc_311_with_nta\nyc_311_2015_03_part000_with_nta.csv.gz,done,200000,1,50000,49978,0,22,0.271,
data\processed\nyc_311_with_nta\nyc_311_2015_03_part001_with_nta.csv.gz,done,200000,1,50000,49976,0,24,0.254,
data\processed\nyc_311_with_nta\nyc_311_2015_03_part002_with_nta.csv.gz,done,200000,1,50000,49981,0,19,0.264,
data\processed\nyc_311_with_nta\nyc_311_2015_03_part003_with_nta.csv.gz,done,200000,1,35560,35551,0,9,0.182,
data\processed\nyc_311_with_nta\nyc_311_2015_04_part000_with_nta.csv.gz,done,200000,1,50000,49988,0,12,0.252,
data\processed\nyc_311_with_nta\nyc_311_2015_04_part001_with_nta.csv.gz,done,200000,1,50000,49974,0,26,0.244,
data\processed\nyc_311_with_nta\nyc_311_2015_04_part002_with_nta.csv.gz,done,200000,1,50000,49980,0,20,0.257,
data\processed\nyc_311_with_nta\nyc_311_2015_04_part003_with_nta.csv.gz,done,200000,1,15751,15742,0,9,0.095,
data\processed\nyc_311_with_nta\nyc_311_2015_05_part000_with_nta.csv.gz,done,200000,1,50000,49985,0,15,0.245,
data\processed\nyc_311_with_nta\nyc_311_2015_05_part001_with_nta.csv.gz,done,200000,1,50000,49978,0,22,0.258,
