column,missing_rows,missing_share,dtype
pct_change_1w,326646,0.24091603053435115,float32
ratio_to_8w_mean,181295,0.13371316886086218,float32
ratio_to_12w_mean,166347,0.12268835048124793,float32
lag_52w_count,122616,0.09043478260869565,float32
lag_12w_count,28296,0.020869565217391306,float32
rolling_12w_mean,28296,0.020869565217391306,float32
rolling_12w_std,28296,0.020869565217391306,float32
rolling_12w_sum,28296,0.020869565217391306,float32
abnormal_increase_next_week,21222,0.01565217391304348,Int64
abnormal_threshold_8w,18864,0.01391304347826087,float32
lag_8w_count,18864,0.01391304347826087,float32
rolling_8w_mean,18864,0.01391304347826087,float32
rolling_8w_std,18864,0.01391304347826087,float32
rolling_8w_sum,18864,0.01391304347826087,float32
diff_4w_count,9432,0.006956521739130435,float32
lag_4w_count,9432,0.006956521739130435,float32
rolling_4w_mean,9432,0.006956521739130435,float32
rolling_4w_std,9432,0.006956521739130435,float32
rolling_4w_sum,9432,0.006956521739130435,float32
lag_2w_count,4716,0.0034782608695652175,float32
diff_1w_count,2358,0.0017391304347826088,float32
lag_1w_count,2358,0.0017391304347826088,float32
target_next_week_count,2358,0.0017391304347826088,float32
borocode,0,0.0,float64
boroname,0,0.0,string
cdta2020,0,0.0,str
cdtaname,0,0.0,str
complaint_category,0,0.0,string
complaint_category_label,0,0.0,str
complaint_count,0,0.0,int64
has_min_history_12w,0,0.0,int8
has_target_next_week,0,0.0,int8
history_weeks_available,0,0.0,int16
is_covid_period,0,0.0,int8
is_train_ready_temporal,0,0.0,int8
is_year_end,0,0.0,int8
is_year_start,0,0.0,int8
iso_year,0,0.0,int16
month,0,0.0,int8
nta2020,0,0.0,string
ntaname,0,0.0,string
period_type,0,0.0,str
quarter,0,0.0,int8
week_end,0,0.0,datetime64[us]
week_of_year,0,0.0,int16
week_start,0,0.0,datetime64[us]
year,0,0.0,int16
