complaint_category,complaint_category_label,year,rows_with_valid_label,positive_abnormal_rows,negative_normal_rows,positive_share,target_next_week_count_mean,target_next_week_count_median
environment,Environmental Health & Green Space,2015,11790,1359,10431,0.11526717557251909,4.0210347,3.0
environment,Environmental Health & Green Space,2016,13624,1562,12062,0.1146506165590135,4.293673,3.0
environment,Environmental Health & Green Space,2017,13624,1544,12080,0.11332941867293013,4.249413,3.0
environment,Environmental Health & Green Space,2018,13886,1532,12354,0.11032694800518508,3.9955351,3.0
environment,Environmental Health & Green Space,2019,13624,1463,12161,0.1073840281855549,3.9006898,2.0
environment,Environmental Health & Green Space,2020,13624,1491,12133,0.10943922489724016,3.29771,2.0
environment,Environmental Health & Green Space,2021,13624,1502,12122,0.11024662360540223,4.4230037,2.0
environment,Environmental Health & Green Space,2022,13624,1480,12144,0.1086318261890781,4.674398,3.0
environment,Environmental Health & Green Space,2023,13624,1456,12168,0.10687022900763359,4.7822227,3.0
environment,Environmental Health & Green Space,2024,13886,1472,12414,0.10600604925824572,4.4769554,3.0
environment,Environmental Health & Green Space,2025,13362,1409,11953,0.1054482861847029,3.998653,2.0
housing,Housing & Building Conditions,2015,11790,1327,10463,0.11255301102629348,48.528076,27.0
housing,Housing & Building Conditions,2016,13624,1656,11968,0.12155020551967116,51.343143,27.0
housing,Housing & Building Conditions,2017,13624,1758,11866,0.12903699354081033,51.759323,26.0
housing,Housing & Building Conditions,2018,13886,1421,12465,0.10233328532334726,51.498055,28.0
housing,Housing & Building Conditions,2019,13624,1679,11945,0.12323840281855548,42.88454,23.0
housing,Housing & Building Conditions,2020,13624,1943,11681,0.1426159718144451,38.745815,21.0
housing,Housing & Building Conditions,2021,13624,1839,11785,0.13498238402818555,50.334557,27.0
housing,Housing & Building Conditions,2022,13624,1841,11783,0.13512918379330593,56.807545,29.0
housing,Housing & Building Conditions,2023,13624,1642,11982,0.12052260716382854,60.649075,32.0
housing,Housing & Building Conditions,2024,13886,1919,11967,0.13819674492294398,65.94614,34.0
housing,Housing & Building Conditions,2025,13362,1772,11590,0.13261487801227362,65.52208,33.0
infrastructure,Street Infrastructure & Public Works,2015,11790,1205,10585,0.10220525869380831,20.903563,16.0
infrastructure,Street Infrastructure & Public Works,2016,13624,1632,11992,0.11978860833822666,18.001394,14.0
infrastructure,Street Infrastructure & Public Works,2017,13624,1737,11887,0.12749559600704638,18.781855,15.0
infrastructure,Street Infrastructure & Public Works,2018,13886,1949,11937,0.14035719429641366,20.333717,16.0
infrastructure,Street Infrastructure & Public Works,2019,13624,1763,11861,0.12940399295361127,17.979595,14.0
infrastructure,Street Infrastructure & Public Works,2020,13624,1976,11648,0.1450381679389313,18.086466,12.0
infrastructure,Street Infrastructure & Public Works,2021,13624,1697,11927,0.12455960070463887,15.291324,12.0
infrastructure,Street Infrastructure & Public Works,2022,13624,1734,11890,0.12727539635936583,17.553215,15.0
infrastructure,Street Infrastructure & Public Works,2023,13624,1730,11894,0.12698179682912508,15.844979,13.0
infrastructure,Street Infrastructure & Public Works,2024,13886,1695,12191,0.12206538960103702,16.705603,13.0
infrastructure,Street Infrastructure & Public Works,2025,13362,1882,11480,0.14084717856608292,16.015266,13.0
noise,Noise & Disturbance,2015,11790,1796,9994,0.15233248515691264,29.507633,18.0
noise,Noise & Disturbance,2016,13624,1769,11855,0.1298443922489724,30.497505,18.0
