year,rows_with_valid_label,positive_abnormal_rows,negative_normal_rows,positive_share,target_next_week_count_mean,target_next_week_count_median
2015,106110,12893,93217,0.12150598435585713,16.84091,6.0
2016,122616,14922,107694,0.12169700528479155,17.75146,6.0
2017,122616,15316,107300,0.12491028903242643,18.900927,7.0
2018,124974,15345,109629,0.12278553939219358,20.618528,7.0
2019,122616,15056,107560,0.12278984798068768,20.227581,7.0
2020,122616,17831,104785,0.1454214784367456,23.310432,7.0
2021,122616,16429,106187,0.13398740784236968,25.681787,8.0
2022,122616,15457,107159,0.12606022052586938,25.34794,8.0
2023,122616,15507,107109,0.12646799765120376,25.905493,8.0
2024,124974,15926,109048,0.12743450637732648,27.994566,8.0
2025,120258,15441,104817,0.12839894227411067,28.681726,8.0
