column,missing_rows,missing_share,dtype
poi_dominant_semantic_category,4,0.015267175572519083,str
poi_dominant_semantic_category_label,4,0.015267175572519083,str
borocode,0,0.0,str
boroname,0,0.0,str
cdta2020,0,0.0,str
cdtaname,0,0.0,str
nta2020,0,0.0,string
nta_area_km2,0,0.0,float64
ntaname,0,0.0,str
poi_accommodation_count,0,0.0,int64
poi_accommodation_density_per_km2,0,0.0,float64
poi_accommodation_share,0,0.0,float64
poi_commercial_activity_count,0,0.0,int64
poi_commercial_activity_density_per_km2,0,0.0,float64
poi_commercial_activity_share,0,0.0,float64
poi_culture_tourism_count,0,0.0,int64
poi_culture_tourism_density_per_km2,0,0.0,float64
poi_culture_tourism_share,0,0.0,float64
poi_daily_activity_count,0,0.0,int64
poi_daily_activity_density_per_km2,0,0.0,float64
poi_daily_activity_share,0,0.0,float64
poi_density_per_km2,0,0.0,float64
poi_dominant_semantic_category_share,0,0.0,float64
poi_education_count,0,0.0,int64
poi_education_density_per_km2,0,0.0,float64
poi_education_share,0,0.0,float64
poi_emergency_safety_count,0,0.0,int64
poi_emergency_safety_density_per_km2,0,0.0,float64
poi_emergency_safety_share,0,0.0,float64
poi_employment_industrial_count,0,0.0,int64
poi_employment_industrial_density_per_km2,0,0.0,float64
poi_employment_industrial_share,0,0.0,float64
poi_finance_count,0,0.0,int64
poi_finance_density_per_km2,0,0.0,float64
poi_finance_share,0,0.0,float64
poi_food_drink_count,0,0.0,int64
poi_food_drink_density_per_km2,0,0.0,float64
poi_food_drink_share,0,0.0,float64
poi_healthcare_count,0,0.0,int64
poi_healthcare_density_per_km2,0,0.0,float64
poi_healthcare_share,0,0.0,float64
poi_industrial_logistics_count,0,0.0,int64
poi_industrial_logistics_density_per_km2,0,0.0,float64
poi_industrial_logistics_share,0,0.0,float64
poi_log1p_density_per_km2,0,0.0,float64
poi_log1p_total_count,0,0.0,float64
poi_mixed_use_index,0,0.0,float64
poi_mobility_access_count,0,0.0,int64
poi_mobility_access_density_per_km2,0,0.0,float64
poi_mobility_access_share,0,0.0,float64
poi_named_count,0,0.0,int64
poi_named_share,0,0.0,float64
poi_office_work_count,0,0.0,int64
poi_office_work_density_per_km2,0,0.0,float64
poi_office_work_share,0,0.0,float64
poi_osm_tag_amenity_count,0,0.0,int64
poi_osm_tag_amenity_share,0,0.0,float64
poi_osm_tag_highway_count,0,0.0,int64
poi_osm_tag_highway_share,0,0.0,float64
poi_osm_tag_leisure_count,0,0.0,int64
poi_osm_tag_leisure_share,0,0.0,float64
poi_osm_tag_public_transport_count,0,0.0,int64
poi_osm_tag_public_transport_share,0,0.0,float64
poi_osm_tag_railway_count,0,0.0,int64
poi_osm_tag_railway_share,0,0.0,float64
poi_osm_tag_shop_count,0,0.0,int64
poi_osm_tag_shop_share,0,0.0,float64
poi_osm_tag_tourism_count,0,0.0,int64
poi_osm_tag_tourism_share,0,0.0,float64
poi_other_count,0,0.0,int64
poi_other_density_per_km2,0,0.0,float64
poi_other_share,0,0.0,float64
poi_public_service_count,0,0.0,int64
poi_public_service_density_per_km2,0,0.0,float64
poi_public_service_share,0,0.0,float64
poi_recreation_environment_count,0,0.0,int64
poi_recreation_environment_density_per_km2,0,0.0,float64
poi_recreation_environment_share,0,0.0,float64
poi_recreation_green_count,0,0.0,int64
poi_recreation_green_density_per_km2,0,0.0,float64
poi_recreation_green_share,0,0.0,float64
poi_religion_count,0,0.0,int64
poi_religion_density_per_km2,0,0.0,float64
poi_religion_share,0,0.0,float64
poi_retail_count,0,0.0,int64
poi_retail_density_per_km2,0,0.0,float64
poi_retail_share,0,0.0,float64
poi_safety_public_service_count,0,0.0,int64
poi_safety_public_service_density_per_km2,0,0.0,float64
poi_safety_public_service_share,0,0.0,float64
poi_semantic_entropy,0,0.0,float64
poi_semantic_entropy_norm,0,0.0,float64
poi_semantic_hhi,0,0.0,float64
poi_social_infrastructure_count,0,0.0,int64
poi_social_infrastructure_density_per_km2,0,0.0,float64
poi_social_infrastructure_share,0,0.0,float64
poi_total_count,0,0.0,int64
poi_transport_count,0,0.0,int64
poi_transport_density_per_km2,0,0.0,float64
poi_transport_share,0,0.0,float64
poi_unique_raw_type_count,0,0.0,int64
poi_unique_semantic_category_count,0,0.0,int64
poi_with_any_detected_tag_count,0,0.0,int64
poi_with_any_detected_tag_share,0,0.0,float64
poi_with_valid_coordinate_count,0,0.0,int64
poi_with_valid_coordinate_share,0,0.0,float64
