nta2020,ntaname,boroname,nta_area_km2,poi_total_count,poi_density_per_km2,poi_unique_semantic_category_count,poi_semantic_entropy_norm,poi_mixed_use_index,poi_dominant_semantic_category,poi_dominant_semantic_category_share,poi_commercial_activity_count,poi_daily_activity_count,poi_social_infrastructure_count,poi_mobility_access_count,poi_recreation_environment_count,poi_safety_public_service_count
MN0101,Financial District-Battery Park City,Manhattan,1.7851160182466994,2555,1431.2795212657736,12,0.46672791184627105,0.5641865648492461,recreation_green,0.6324853228962818,528,757,62,262,1634,2
MN0502,Midtown-Times Square,Manhattan,2.279622582912807,1820,798.3777725497348,12,0.6609001774065989,0.7613458519502476,food_drink,0.42637362637362636,1148,1288,75,311,176,4
SI0204,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,19.43941228345685,1320,67.90328744266277,10,0.5108208322661592,0.6732128099173553,recreation_green,0.45454545454545453,214,694,70,433,601,0
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2.2033763669301747,1289,585.0112669565765,12,0.6432136402454067,0.7643009026067079,recreation_green,0.395655546935609,423,648,85,187,525,4
MN0501,Midtown South-Flatiron-Union Square,Manhattan,1.3814631103374642,1249,904.1138997152765,11,0.6835907543130291,0.787589238724847,food_drink,0.3843074459567654,709,851,70,177,192,1
MN0401,Chelsea-Hudson Yards,Manhattan,2.7549042083969866,1240,450.1063943423015,12,0.6906642914753265,0.8002328303850156,recreation_green,0.29435483870967744,495,637,165,169,488,6
MN0102,Tribeca-Civic Center,Manhattan,1.2606815403534308,1197,949.4864180088035,12,0.5456786502395536,0.654087181194423,recreation_green,0.5446950710108605,265,419,56,154,679,6
MN0303,East Village,Manhattan,1.762238052788601,1079,612.2895815877819,12,0.5449299551484144,0.6366242040952002,food_drink,0.571825764596849,759,894,70,107,134,7
MN0301,Chinatown-Two Bridges,Manhattan,1.0715722168852553,1066,994.799961404886,12,0.5631801081924998,0.6903311990256575,recreation_green,0.47373358348968103,388,503,66,96,519,7
BK1001,Bay Ridge,Brooklyn,5.722526722548278,959,167.58331528995484,11,0.676000352161337,0.8085412224456088,food_drink,0.2909280500521376,444,721,94,214,45,2
QN1201,Jamaica,Queens,4.348204879367038,954,219.4008853002512,12,0.6488954123960009,0.7869590250034062,transport,0.33647798742138363,359,704,64,321,22,3
MN0201,SoHo-Little Italy-Hudson Square,Manhattan,1.1992676951385401,925,771.30402473915,11,0.6593759603492974,0.7762068663257853,food_drink,0.35135135135135137,619,700,72,93,134,1
BK0102,Williamsburg,Brooklyn,2.6789021734432152,899,335.5852292450485,12,0.635199443273612,0.7589176454867044,food_drink,0.4082313681868743,513,642,40,125,169,3
MN0702,Upper West Side (Central),Manhattan,2.359304573616644,879,372.56741237633275,12,0.6758876160757467,0.7894610821843521,food_drink,0.31513083048919227,386,550,82,129,251,6
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,5.6460771196296955,855,151.43257555363965,11,0.6784848720030116,0.7960001367942273,food_drink,0.34619883040935673,448,648,84,152,143,2
QN0602,Forest Hills,Queens,5.38115463598938,812,150.89698306926755,10,0.6806480750768588,0.8110091242204372,transport,0.28448275862068967,291,604,112,231,50,4
BK0602,Park Slope,Brooklyn,2.398369390044482,777,323.9701120374911,10,0.6565275126720387,0.7667148671009675,food_drink,0.41827541827541825,437,649,117,123,66,3
QN0502,Ridgewood,Queens,3.9506459013894504,772,195.41108448329575,11,0.6635800399381302,0.7943401165131949,food_drink,0.30569948186528495,438,621,66,149,43,3
BK0301,Bedford-Stuyvesant (West),Brooklyn,3.4266828641078857,770,224.70710904274605,12,0.6730712055999682,0.8108922246584584,food_drink,0.2623376623376623,371,570,48,167,75,4
MN0202,Greenwich Village,Manhattan,0.9844401173337026,765,777.0914518111643,11,0.635466167033091,0.7534811397325816,food_drink,0.4091503267973856,394,511,61,92,191,1
BK0702,Sunset Park (West),Brooklyn,4.67742093710504,762,162.91028971867962,12,0.6795826599998298,0.8097285083459056,food_drink,0.2637795275590551,393,594,59,160,67,3
BK0104,East Williamsburg,Brooklyn,4.852928754610759,745,153.51554446213058,11,0.6600711276281059,0.8003495338047836,food_drink,0.2697986577181208,286,474,45,163,188,3
MN0302,Lower East Side,Manhattan,1.5296647208076535,714,466.7689528872788,12,0.6756522863241244,0.7714379869594896,food_drink,0.4117647058823529,422,515,69,92,126,4
BK0302,Bedford-Stuyvesant (East),Brooklyn,3.8336630516734855,698,182.07129593596034,11,0.6359719286169413,0.7871281844976642,transport,0.32951289398280803,227,480,31,230,76,1
MN0604,East Midtown-Turtle Bay,Manhattan,1.2198795938974307,692,567.2691005422166,12,0.658140629308542,0.7639622105650038,food_drink,0.4147398843930636,390,480,35,121,48,4
SI0302,Great Kills-Eltingville,Staten Island,10.838657123855047,690,63.66102295840352,9,0.5659034009631402,0.7207477420709936,transport,0.39420289855072466,134,445,53,272,221,0
BK0101,Greenpoint,Brooklyn,3.279540212644319,681,207.65105955230973,12,0.6494006436353359,0.7901914995008205,food_drink,0.328928046989721,330,454,29,112,150,2
QN0707,Flushing-Willets Point,Queens,3.5779876065908205,656,183.34328458589889,12,0.6699607062498396,0.783847969958358,transport,0.3323170731707317,264,474,37,218,76,4
MN0603,Murray Hill-Kips Bay,Manhattan,1.4643013542961802,646,441.1660196206684,11,0.6640345828632322,0.7791026464357944,food_drink,0.3761609907120743,340,487,55,130,102,1
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,1.996311343752716,645,323.09589484549684,10,0.6646699064821364,0.7896448530737336,food_drink,0.351937984496124,306,500,71,142,90,0
QN0401,Elmhurst,Queens,3.9091917283200766,643,164.4841298884874,10,0.6707297054179994,0.8078819878630739,food_drink,0.28149300155520995,278,496,73,161,34,1
MN0802,Upper East Side-Carnegie Hill,Manhattan,1.863018088576119,639,342.9918388438083,12,0.7014706287304278,0.803181810389375,food_drink,0.3442879499217527,367,515,88,113,25,2
MN0402,Hell's Kitchen,Manhattan,1.706731408710108,635,372.0561986258355,12,0.593360848273094,0.6842284084568169,food_drink,0.521259842519685,424,514,35,107,40,2
QN0202,Sunnyside,Queens,4.42903611914018,622,140.4368768437026,10,0.6546765013064039,0.7925321284932951,food_drink,0.28938906752411575,291,485,37,176,47,0
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island,7.4378537600489585,619,83.22293230943082,10,0.5861971214262667,0.7280594841333017,transport,0.42164781906300486,116,427,63,261,167,1
