poi_primary_raw_type,count,share
platform,12772,0.1656915273147127
garden,8596,0.11151615790770987
stop_position,8059,0.10454964129574615
restaurant,7841,0.10172152095792847
parking,5903,0.07657979061531077
fast_food,4659,0.060441342449048426
convenience,2725,0.035351504222720966
cafe,2559,0.03319798139667631
park,2046,0.02654281748245398
subway_entrance,2025,0.02627038387193026
playground,1823,0.02364983199927351
school,1816,0.023559020795765603
clothes,1704,0.02210604153963909
bar,1428,0.01852548551561304
bank,1150,0.014918983433441875
pharmacy,1114,0.014451954386829781
supermarket,1106,0.014348170154249315
laundry,1055,0.013686545671548849
parking_entrance,1022,0.013258435712154432
doctors,681,0.0088346327984121
hotel,678,0.008795713711194426
clinic,672,0.008717875536759078
fitness_centre,633,0.00821192740292931
bakery,616,0.007991385908695822
station,552,0.0071611120480520995
pub,388,0.005033535280152563
gallery,320,0.0041513693032186084
fire_station,295,0.003827043576404655
furniture,278,0.0036065020821711663
atm,272,0.003528663907735817
sports_centre,259,0.003360014529792561
kindergarten,259,0.003360014529792561
library,257,0.003334068471647445
attraction,246,0.003191365151849305
hardware,223,0.0028929854831804677
department_store,176,0.002283253116770235
museum,165,0.002140549796972095
community_centre,141,0.0018291970992306995
police,126,0.0016346016631423271
hospital,89,0.0011545995874576755
marketplace,85,0.0011027074711674428
university,79,0.001024869296732094
college,55,0.0007135165989906984
mall,38,0.0004929751047572097
bus_station,20,0.00025946058145116303
ferry_terminal,18,0.00023351452330604673
arts_centre,8,0.00010378423258046522
fuel,7,9.081120350790707e-05
place_of_worship,4,5.189211629023261e-05
camp_site,4,5.189211629023261e-05
events_venue,3,3.891908721767445e-05
recreation_ground,3,3.891908721767445e-05
art,3,3.891908721767445e-05
hairdresser,2,2.5946058145116304e-05
music_venue,2,2.5946058145116304e-05
hostel,2,2.5946058145116304e-05
dojo,2,2.5946058145116304e-05
bus_stop,2,2.5946058145116304e-05
fountain,2,2.5946058145116304e-05
boat_rental,1,1.2973029072558152e-05
artwork,1,1.2973029072558152e-05
beauty,1,1.2973029072558152e-05
clock,1,1.2973029072558152e-05
cinema,1,1.2973029072558152e-05
books,1,1.2973029072558152e-05
entrance,1,1.2973029072558152e-05
gift,1,1.2973029072558152e-05
planetarium,1,1.2973029072558152e-05
money_transfer,1,1.2973029072558152e-05
picnic_site,1,1.2973029072558152e-05
sport,1,1.2973029072558152e-05
social_centre,1,1.2973029072558152e-05
stock_exchange,1,1.2973029072558152e-05
yes,1,1.2973029072558152e-05
