poi_semantic_category,count,share,category_label
transport,21458,0.27837525783895284,Transport & Mobility Infrastructure
food_drink,17491,0.22691125150811464,"Food, Drink & Nightlife Support"
recreation_green,13392,0.17373480533969876,"Recreation, Parks & Green Space"
other,9218,0.11958538199084104,Other / Unclassified POI
retail,7397,0.09596149604971264,Retail & Consumer Services
healthcare,2556,0.033159062309458635,Healthcare & Social Care
education,2466,0.0319914896929284,Education & Childcare
finance,1421,0.018434674312105135,Finance & Business Services
culture_tourism,733,0.009509230310185125,"Culture, Tourism & Visitor Attractions"
accommodation,684,0.008873551885629776,Accommodation & Lodging
public_service,141,0.0018291970992306995,Public Services & Civic Facilities
emergency_safety,126,0.0016346016631423271,Emergency & Safety Services
