semantic_category,display_label
food_drink,"Food, Drink & Nightlife Support"
retail,Retail & Consumer Services
education,Education & Childcare
healthcare,Healthcare & Social Care
transport,Transport & Mobility Infrastructure
recreation_green,"Recreation, Parks & Green Space"
culture_tourism,"Culture, Tourism & Visitor Attractions"
public_service,Public Services & Civic Facilities
emergency_safety,Emergency & Safety Services
finance,Finance & Business Services
accommodation,Accommodation & Lodging
religion,Religious & Community Worship
office_work,Office & Employment Activity
industrial_logistics,"Industrial, Utility & Logistics"
other,Other / Unclassified POI
