canonical_column,detected_input_column,detected
nta2020,nta2020,True
ntaname,ntaname,True
boroname,boroname,True
borocode,,False
cdta2020,,False
cdtaname,,False
bbl,,False
landuse,,False
bldgclass,,False
lotarea,,False
bldgarea,,False
comarea,,False
resarea,,False
officearea,,False
retailarea,,False
garagearea,,False
strgearea,,False
factryarea,,False
otherarea,,False
numbldgs,,False
numfloors,,False
unitsres,,False
unitstotal,total_units,True
yearbuilt,,False
yearalter1,,False
yearalter2,,False
builtfar,,False
residfar,,False
commfar,,False
facilfar,,False
assesstot,,False
assessland,,False
zonedist1,,False
latitude,,False
longitude,,False
