feature,non_missing,missing,mean,std,min,p25,median,p75,max
borocode,262,0,3.0076335877862594,1.2002310327159342,1.0,2.0,3.0,4.0,5.0
nta_area_km2,262,0,2.985077400673829,2.7005472550855383,0.059020230179354316,1.338773449411299,2.2898967509792474,3.6973127015038934,19.43941228345685
pluto_avg_num_floors,254,8,3.0847662595000735,3.016796223756182,1.0,2.0,2.2887808425627365,3.1545383481087996,39.0
pluto_building_area_to_lot_area_ratio,260,2,1.3776198001824707,1.826659898294961,0.0,0.3223856971259793,0.8592542341833893,1.6836075718649244,14.696998550422816
pluto_commercial_area_ratio,258,4,0.41724764687464083,0.32998615783654156,0.0492820982452598,0.17382144780897935,0.255661146772721,0.616977015220497,1.0
pluto_lot_area_commercial,260,2,1046633.3423076923,1533166.9894172642,0.0,202513.75,667857.0,1280487.5,13751711.0
pluto_lot_area_industrial,260,2,822307.5192307692,2357609.465605066,0.0,0.0,88427.5,418880.5,16018453.0
pluto_lot_area_mixed_use,260,2,1041741.3076923077,1056071.3689404072,0.0,100691.25,820143.0,1627967.75,5369516.0
pluto_lot_area_open_space,260,2,4641327.307692308,10462866.94219856,0.0,267003.75,961079.0,3579784.0,111097016.0
pluto_lot_area_parking,260,2,316111.4115384615,473065.9798431354,0.0,34156.75,166202.0,337543.25,3440881.0
pluto_lot_area_public_facility,260,2,1998235.0,4250514.461706156,0.0,600899.0,1155248.0,1989181.0,55005829.0
pluto_lot_area_ratio_commercial,260,2,0.052360949921255645,0.08087840506341389,0.0,0.01511844903066945,0.03356782645453505,0.0641125664658122,0.7328127454081712
pluto_lot_area_ratio_industrial,260,2,0.028896096567823146,0.062174898245280504,0.0,0.0,0.00480926455517095,0.025272173584645598,0.4156438168671887
pluto_lot_area_ratio_mixed_use,260,2,0.06991423983557796,0.09516553398249013,0.0,0.00378847684040235,0.03957445225808845,0.10973315318206157,0.8445454486288385
pluto_lot_area_ratio_open_space,260,2,0.218169673061045,0.34324268676258474,0.0,0.0181203097812287,0.055654061564199844,0.16945435085364657,1.0
