column,missing_count,missing_share,dtype
weather_awnd_max,26,0.04521739130434783,float64
weather_awnd_mean,26,0.04521739130434783,float64
cold_day_0c_count,0,0.0,float64
heavy_rain_day_25mm_count,0,0.0,float64
heavy_snow_day_25mm_count,0,0.0,float64
hot_day_30c_count,0,0.0,float64
hot_day_35c_count,0,0.0,float64
ice_day_tmax_0c_count,0,0.0,float64
moderate_rain_day_10mm_count,0,0.0,float64
rain_day_count,0,0.0,float64
snow_day_count,0,0.0,float64
very_cold_day_minus5c_count,0,0.0,float64
very_heavy_rain_day_50mm_count,0,0.0,float64
weather_complete_week_flag,0,0.0,int64
weather_days_missing_in_week,0,0.0,int64
weather_days_observed,0,0.0,int64
weather_iso_year,0,0.0,Int64
weather_min_days_ok_flag,0,0.0,int64
weather_month,0,0.0,Int64
weather_prcp_max,0,0.0,float64
weather_prcp_mean,0,0.0,float64
weather_prcp_station_max,0,0.0,float64
weather_prcp_sum,0,0.0,float64
weather_quarter,0,0.0,Int64
weather_snow_max,0,0.0,float64
weather_snow_mean,0,0.0,float64
weather_snow_sum,0,0.0,float64
weather_snwd_max,0,0.0,float64
weather_snwd_mean,0,0.0,float64
weather_source_rows,0,0.0,int64
weather_tavg_mean,0,0.0,float64
weather_tmax_max,0,0.0,float64
weather_tmax_mean,0,0.0,float64
weather_tmax_min,0,0.0,float64
weather_tmax_station_max,0,0.0,float64
weather_tmin_max,0,0.0,float64
weather_tmin_mean,0,0.0,float64
weather_tmin_min,0,0.0,float64
weather_week_of_year,0,0.0,Int64
weather_year,0,0.0,Int64
week_end,0,0.0,datetime64[us]
week_start,0,0.0,datetime64[us]
