feature,nonmissing_count,missing_count,mean,std,min,p01,p05,p50,p95,p99,max
weather_days_observed,575,0,6.987826086956522,0.20833997363552764,3.0,7.0,7.0,7.0,7.0,7.0,7.0
weather_days_missing_in_week,575,0,0.01217391304347826,0.20833997363552764,0.0,0.0,0.0,0.0,0.0,0.0,4.0
weather_complete_week_flag,575,0,0.9965217391304347,0.058925386563340815,0.0,1.0,1.0,1.0,1.0,1.0,1.0
weather_min_days_ok_flag,575,0,0.9982608695652174,0.04170288281141495,0.0,1.0,1.0,1.0,1.0,1.0,1.0
weather_source_rows,575,0,6.987826086956522,0.20833997363552764,3.0,7.0,7.0,7.0,7.0,7.0,7.0
weather_tmax_mean,575,0,17.65585921325052,9.221945915774192,-5.457142857142857,-1.1614285714285713,3.1100000000000003,18.114285714285714,30.50285714285714,32.004285714285714,33.15714285714286
weather_tmax_max,575,0,22.572521739130437,8.626497329351414,-1.0,3.3,8.150000000000002,23.9,33.9,35.6,37.2
weather_tmax_min,575,0,12.837043478260869,9.923426421383647,-10.5,-7.255999999999999,-2.7,12.8,27.2,29.029999999999994,30.0
weather_tmax_station_max,575,0,22.572521739130437,8.626497329351414,-1.0,3.3,8.150000000000002,23.9,33.9,35.6,37.2
weather_tmin_mean,575,0,9.851002070393374,8.651115632994486,-11.72857142857143,-8.347142857142858,-3.597142857142857,9.685714285714285,22.41142857142857,23.402285714285714,24.228571428571428
weather_tmin_min,575,0,6.149391304347826,9.485938363300091,-18.2,-15.5,-8.95,6.1,20.0,21.7,22.2
weather_tmin_max,575,0,13.761043478260868,7.98797957712632,-7.1,-2.83,0.9500000000000015,13.9,25.0,26.829999999999995,27.8
weather_tavg_mean,575,0,13.753430641821947,8.905074699271545,-8.592857142857142,-4.5042857142857144,-0.17071428571428562,13.964285714285714,26.41857142857143,27.723857142857145,28.692857142857147
weather_prcp_sum,575,0,24.01478260869565,24.995755191821132,0.0,0.0,0.0,17.5,67.85999999999999,105.02199999999982,185.89999999999998
weather_prcp_mean,575,0,3.436115942028985,3.5724068548931536,0.0,0.0,0.0,2.5,9.694285714285712,15.003142857142832,26.557142857142853
weather_prcp_max,575,0,16.52330434782609,17.95200277674916,0.0,0.0,0.0,12.2,47.0,76.778,181.1
weather_prcp_station_max,575,0,16.52330434782609,17.95200277674916,0.0,0.0,0.0,12.2,47.0,76.778,181.1
weather_snow_sum,575,0,1.169217391304348,5.092558817510265,0.0,0.0,0.0,0.0,6.609999999999968,23.752,69.8
weather_snow_mean,575,0,0.16703105590062112,0.7275084025014664,0.0,0.0,0.0,0.0,0.9442857142857097,3.3931428571428572,9.971428571428572
weather_snow_max,575,0,0.9951304347826088,4.456422051419583,0.0,0.0,0.0,0.0,6.459999999999991,19.152,69.3
weather_snwd_mean,575,0,6.600248447204969,33.50121365201616,0.0,0.0,0.0,0.0,25.714285714285715,208.37142857142842,392.85714285714283
weather_snwd_max,575,0,13.772173913043478,56.06848032258398,0.0,0.0,0.0,0.0,100.0,307.7999999999997,560.0
weather_awnd_mean,549,26,2.2580223783502475,0.6932111099331469,0.7571428571428571,1.006857142857143,1.2714285714285714,2.2142857142857144,3.4171428571428577,3.969142857142857,4.114285714285715
weather_awnd_max,549,26,3.4972677595628414,1.1304881556853166,1.1,1.4,1.9,3.4,5.5,6.3519999999999985,8.2
hot_day_30c_count,575,0,0.8121739130434783,1.5682580843658713,0.0,0.0,0.0,0.0,5.0,6.0,7.0
hot_day_35c_count,575,0,0.04521739130434783,0.2794480243324103,0.0,0.0,0.0,0.0,0.0,1.259999999999991,3.0
ice_day_tmax_0c_count,575,0,0.24347826086956523,0.8471236879258268,0.0,0.0,0.0,0.0,2.0,4.259999999999991,7.0
cold_day_0c_count,575,0,1.1391304347826088,2.0349171344998718,0.0,0.0,0.0,0.0,6.0,7.0,7.0
very_cold_day_minus5c_count,575,0,0.3356521739130435,1.0675928918080122,0.0,0.0,0.0,0.0,3.0,5.0,7.0
rain_day_count,575,0,1.9878260869565216,1.2816819732300808,0.0,0.0,0.0,2.0,4.0,5.0,6.0
moderate_rain_day_10mm_count,575,0,0.7965217391304348,0.8545767779868126,0.0,0.0,0.0,1.0,2.0,3.0,3.0
heavy_rain_day_25mm_count,575,0,0.23652173913043478,0.479243457726836,0.0,0.0,0.0,0.0,1.0,2.0,3.0
very_heavy_rain_day_50mm_count,575,0,0.043478260869565216,0.22828341193397636,0.0,0.0,0.0,0.0,0.0,1.0,2.0
snow_day_count,575,0,0.19478260869565217,0.569528730887891,0.0,0.0,0.0,0.0,1.0,3.0,4.0
heavy_snow_day_25mm_count,575,0,0.0034782608695652175,0.058925386563340815,0.0,0.0,0.0,0.0,0.0,0.0,1.0
weather_year,575,0,2019.993043478261,3.1721710692412906,2014.0,2015.0,2015.0,2020.0,2025.0,2025.0,2025.0
weather_month,575,0,6.523478260869565,3.453885617636783,1.0,1.0,1.0,7.0,12.0,12.0,12.0
weather_quarter,575,0,2.5095652173913043,1.1181877692453108,1.0,1.0,1.0,3.0,4.0,4.0,4.0
weather_week_of_year,575,0,26.547826086956523,15.101078415387448,1.0,1.0,3.0,27.0,50.0,52.0,53.0
weather_iso_year,575,0,2020.0017391304348,3.173550935716112,2015.0,2015.0,2015.0,2020.0,2025.0,2025.0,2026.0
