column,feature_group,dtype_example
nta2020,id_metadata,string
ntaname,id_metadata,str
boroname,id_metadata,str
week_start,id_metadata,datetime64[us]
week_end,id_metadata,str
complaint_category,id_metadata,str
complaint_category_label,id_metadata,str
complaint_count,current_demand,int64
target_next_week_count,target,float64
abnormal_increase_next_week,target,float64
abnormal_threshold_8w,target,float64
is_train_ready_temporal,quality_flag,int64
borocode,id_metadata,float64
cdta2020,id_metadata,str
cdtaname,id_metadata,str
year,calendar_period,int64
month,calendar_period,int64
quarter,calendar_period,int64
week_of_year,calendar_period,int64
iso_year,calendar_period,int64
is_year_start,calendar_period,int64
is_year_end,calendar_period,int64
period_type,calendar_period,str
is_covid_period,calendar_period,int64
history_weeks_available,temporal_demand,int64
lag_1w_count,temporal_demand,float64
lag_2w_count,temporal_demand,float64
lag_4w_count,temporal_demand,float64
lag_8w_count,temporal_demand,float64
lag_12w_count,temporal_demand,float64
lag_52w_count,temporal_demand,float64
rolling_4w_mean,temporal_demand,float64
rolling_4w_std,temporal_demand,float64
rolling_4w_sum,temporal_demand,float64
rolling_8w_mean,temporal_demand,float64
rolling_8w_std,temporal_demand,float64
rolling_8w_sum,temporal_demand,float64
rolling_12w_mean,temporal_demand,float64
rolling_12w_std,temporal_demand,float64
rolling_12w_sum,temporal_demand,float64
diff_1w_count,temporal_demand,float64
diff_4w_count,temporal_demand,float64
pct_change_1w,temporal_demand,float64
ratio_to_8w_mean,temporal_demand,float64
ratio_to_12w_mean,temporal_demand,float64
has_min_history_12w,quality_flag,int8
has_target_next_week,quality_flag,int8
weather_week_end,weather,str
weather_days_observed,weather,int64
weather_days_missing_in_week,weather,int64
weather_complete_week_flag,weather,int8
weather_min_days_ok_flag,weather,int8
weather_source_rows,weather,int64
weather_tmax_mean,weather,float64
weather_tmax_max,weather,float64
weather_tmax_min,weather,float64
weather_tmax_station_max,weather,float64
weather_tmin_mean,weather,float64
weather_tmin_min,weather,float64
weather_tmin_max,weather,float64
weather_tavg_mean,weather,float64
