column,source,strategy,value
weather_week_end,weather,unknown_if_missing_merge,unknown
weather_days_observed,weather,median_if_missing_merge,7.0
weather_days_missing_in_week,weather,median_if_missing_merge,0.0
weather_complete_week_flag,weather,median_if_missing_merge,1.0
weather_min_days_ok_flag,weather,median_if_missing_merge,1.0
weather_source_rows,weather,median_if_missing_merge,7.0
weather_tmax_mean,weather,median_if_missing_merge,18.114285714285717
weather_tmax_max,weather,median_if_missing_merge,23.9
weather_tmax_min,weather,median_if_missing_merge,12.8
weather_tmax_station_max,weather,median_if_missing_merge,23.9
weather_tmin_mean,weather,median_if_missing_merge,9.685714285714283
weather_tmin_min,weather,median_if_missing_merge,6.1
weather_tmin_max,weather,median_if_missing_merge,13.9
weather_tavg_mean,weather,median_if_missing_merge,13.964285714285714
weather_prcp_sum,weather,median_if_missing_merge,17.5
weather_prcp_mean,weather,median_if_missing_merge,2.5
weather_prcp_max,weather,median_if_missing_merge,12.2
weather_prcp_station_max,weather,median_if_missing_merge,12.2
weather_snow_sum,weather,median_if_missing_merge,0.0
weather_snow_mean,weather,median_if_missing_merge,0.0
weather_snow_max,weather,median_if_missing_merge,0.0
weather_snwd_mean,weather,median_if_missing_merge,0.0
weather_snwd_max,weather,median_if_missing_merge,0.0
weather_awnd_mean,weather,median_if_missing_merge,2.2142857142857144
weather_awnd_max,weather,median_if_missing_merge,3.4
hot_day_30c_count,weather,median_if_missing_merge,0.0
hot_day_35c_count,weather,median_if_missing_merge,0.0
ice_day_tmax_0c_count,weather,median_if_missing_merge,0.0
cold_day_0c_count,weather,median_if_missing_merge,0.0
very_cold_day_minus5c_count,weather,median_if_missing_merge,0.0
rain_day_count,weather,median_if_missing_merge,2.0
moderate_rain_day_10mm_count,weather,median_if_missing_merge,1.0
heavy_rain_day_25mm_count,weather,median_if_missing_merge,0.0
very_heavy_rain_day_50mm_count,weather,median_if_missing_merge,0.0
snow_day_count,weather,median_if_missing_merge,0.0
heavy_snow_day_25mm_count,weather,median_if_missing_merge,0.0
weather_year,weather,median_if_missing_merge,2020.0
weather_month,weather,median_if_missing_merge,7.0
weather_quarter,weather,median_if_missing_merge,3.0
weather_week_of_year,weather,median_if_missing_merge,27.0
weather_iso_year,weather,median_if_missing_merge,2020.0
nta_area_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_total_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_log1p_total_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_log1p_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_named_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_named_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_with_any_detected_tag_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_with_any_detected_tag_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_with_valid_coordinate_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_with_valid_coordinate_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_unique_raw_type_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_unique_semantic_category_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_semantic_entropy,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_semantic_entropy_norm,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_semantic_hhi,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_mixed_use_index,osm,zero_for_missing_osm_or_zero_poi,0.0
