column,missing_count,missing_share,dtype_example,feature_group
pct_change_1w,326646,0.24091603053435115,float64,temporal_demand
ratio_to_8w_mean,181295,0.13371316886086218,float64,temporal_demand
ratio_to_12w_mean,166347,0.12268835048124793,float64,temporal_demand
lag_52w_count,122616,0.09043478260869565,float64,temporal_demand
lag_12w_count,28296,0.020869565217391306,float64,temporal_demand
rolling_12w_mean,28296,0.020869565217391306,float64,temporal_demand
rolling_12w_std,28296,0.020869565217391306,float64,temporal_demand
rolling_12w_sum,28296,0.020869565217391306,float64,temporal_demand
abnormal_increase_next_week,21222,0.01565217391304348,float64,target
abnormal_threshold_8w,18864,0.01391304347826087,float64,target
lag_8w_count,18864,0.01391304347826087,float64,temporal_demand
rolling_8w_mean,18864,0.01391304347826087,float64,temporal_demand
rolling_8w_std,18864,0.01391304347826087,float64,temporal_demand
rolling_8w_sum,18864,0.01391304347826087,float64,temporal_demand
diff_4w_count,9432,0.006956521739130435,float64,temporal_demand
lag_4w_count,9432,0.006956521739130435,float64,temporal_demand
rolling_4w_mean,9432,0.006956521739130435,float64,temporal_demand
rolling_4w_std,9432,0.006956521739130435,float64,temporal_demand
rolling_4w_sum,9432,0.006956521739130435,float64,temporal_demand
lag_2w_count,4716,0.0034782608695652175,float64,temporal_demand
diff_1w_count,2358,0.0017391304347826088,float64,temporal_demand
lag_1w_count,2358,0.0017391304347826088,float64,temporal_demand
target_next_week_count,2358,0.0017391304347826088,float64,target
target_week,2358,0.0017391304347826088,datetime64[us],id_metadata
target_year,2358,0.0017391304347826088,Int16,id_metadata
borocode,0,0.0,float64,id_metadata
boroname,0,0.0,str,id_metadata
cdta2020,0,0.0,str,id_metadata
cdtaname,0,0.0,str,id_metadata
cold_day_0c_count,0,0.0,float64,weather
complaint_category,0,0.0,str,id_metadata
complaint_category_label,0,0.0,str,id_metadata
complaint_count,0,0.0,int64,current_demand
external_features_merged_flag,0,0.0,int8,quality_flag
final_train_ready_flag,0,0.0,int8,quality_flag
has_min_history_12w,0,0.0,int8,quality_flag
has_target_next_week,0,0.0,int8,quality_flag
heavy_rain_day_25mm_count,0,0.0,float64,weather
heavy_snow_day_25mm_count,0,0.0,float64,other
history_weeks_available,0,0.0,int64,temporal_demand
hot_day_30c_count,0,0.0,float64,weather
hot_day_35c_count,0,0.0,float64,weather
ice_day_tmax_0c_count,0,0.0,float64,other
is_covid_period,0,0.0,int64,calendar_period
is_train_ready_temporal,0,0.0,int64,quality_flag
is_year_end,0,0.0,int64,calendar_period
is_year_start,0,0.0,int64,calendar_period
