complaint_category,abnormal_increase_next_week,rows
environment,0.0,132022
environment,1.0,16270
environment,nan,2358
housing,0.0,129495
housing,1.0,18797
housing,nan,2358
infrastructure,0.0,129292
infrastructure,1.0,19000
infrastructure,nan,2358
noise,0.0,126808
noise,1.0,21484
noise,nan,2358
other,0.0,129937
other,1.0,18355
other,nan,2358
parking_traffic,0.0,128126
parking_traffic,1.0,20166
parking_traffic,nan,2358
public_safety,0.0,129085
public_safety,1.0,19207
public_safety,nan,2358
sanitation,0.0,130351
sanitation,1.0,17941
sanitation,nan,2358
water_sewer,0.0,129389
water_sewer,1.0,18903
water_sewer,nan,2358
