time_split,complaint_category,abnormal_increase_next_week,rows
bad_date,environment,nan,262
bad_date,housing,nan,262
bad_date,infrastructure,nan,262
bad_date,noise,nan,262
bad_date,other,nan,262
bad_date,parking_traffic,nan,262
bad_date,public_safety,nan,262
bad_date,sanitation,nan,262
bad_date,water_sewer,nan,262
test,environment,0.0,24614
test,environment,1.0,2896
test,housing,0.0,23790
test,housing,1.0,3720
test,infrastructure,0.0,23914
test,infrastructure,1.0,3596
test,noise,0.0,23528
test,noise,1.0,3982
test,other,0.0,23890
test,other,1.0,3620
test,parking_traffic,0.0,23924
test,parking_traffic,1.0,3586
test,public_safety,0.0,23974
test,public_safety,1.0,3536
test,sanitation,0.0,24338
test,sanitation,1.0,3172
test,water_sewer,0.0,24048
test,water_sewer,1.0,3462
train,environment,0.0,95279
train,environment,1.0,11879
train,environment,nan,2096
train,housing,0.0,93707
train,housing,1.0,13451
train,housing,nan,2096
train,infrastructure,0.0,93488
train,infrastructure,1.0,13670
train,infrastructure,nan,2096
train,noise,0.0,91540
train,noise,1.0,15618
train,noise,nan,2096
train,other,0.0,94225
train,other,1.0,12933
train,other,nan,2096
train,parking_traffic,0.0,92462
train,parking_traffic,1.0,14696
train,parking_traffic,nan,2096
train,public_safety,0.0,93326
train,public_safety,1.0,13832
train,public_safety,nan,2096
train,sanitation,0.0,94040
train,sanitation,1.0,13118
train,sanitation,nan,2096
train,water_sewer,0.0,93376
train,water_sewer,1.0,13782
train,water_sewer,nan,2096
validation,environment,0.0,12129
validation,environment,1.0,1495
validation,housing,0.0,11998
validation,housing,1.0,1626
validation,infrastructure,0.0,11890
validation,infrastructure,1.0,1734
validation,noise,0.0,11740
validation,noise,1.0,1884
validation,other,0.0,11822
validation,other,1.0,1802
validation,parking_traffic,0.0,11740
validation,parking_traffic,1.0,1884
validation,public_safety,0.0,11785
validation,public_safety,1.0,1839
validation,sanitation,0.0,11973
validation,sanitation,1.0,1651
validation,water_sewer,0.0,11965
validation,water_sewer,1.0,1659
