file,output,status,chunksize,chunk_count,total_raw_rows,total_after_clean,total_removed_bad_coord,total_matched_nta,total_unmatched_nta,match_rate_after_clean,elapsed_seconds
data\raw\nyc_311\nyc_311_2015_01_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_01_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49994,6,0.99988,0.6486954689025879
data\raw\nyc_311\nyc_311_2015_01_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_01_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49994,6,0.99988,0.6894130706787109
data\raw\nyc_311\nyc_311_2015_01_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_01_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6690957546234131
data\raw\nyc_311\nyc_311_2015_01_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_01_part003_with_nta.csv.gz,done,100000,1,25010,25010,0,25007,3,0.9998800479808077,0.3424954414367676
data\raw\nyc_311\nyc_311_2015_02_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_02_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49982,18,0.99964,0.6409730911254883
data\raw\nyc_311\nyc_311_2015_02_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_02_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49986,14,0.99972,0.6426331996917725
data\raw\nyc_311\nyc_311_2015_02_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_02_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.6530272960662842
data\raw\nyc_311\nyc_311_2015_02_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_02_part003_with_nta.csv.gz,done,100000,1,32883,32883,0,32874,9,0.9997263023446766,0.4262964725494385
data\raw\nyc_311\nyc_311_2015_03_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_03_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49978,22,0.99956,0.6594822406768799
data\raw\nyc_311\nyc_311_2015_03_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_03_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49976,24,0.99952,0.6466233730316162
data\raw\nyc_311\nyc_311_2015_03_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_03_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49981,19,0.99962,0.6519503593444824
data\raw\nyc_311\nyc_311_2015_03_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_03_part003_with_nta.csv.gz,done,100000,1,35560,35560,0,35551,9,0.9997469066366704,0.46462035179138184
data\raw\nyc_311\nyc_311_2015_04_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_04_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49988,12,0.99976,0.6598379611968994
data\raw\nyc_311\nyc_311_2015_04_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_04_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49974,26,0.99948,0.6471247673034668
data\raw\nyc_311\nyc_311_2015_04_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_04_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49980,20,0.9996,0.6620490550994873
data\raw\nyc_311\nyc_311_2015_04_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_04_part003_with_nta.csv.gz,done,100000,1,15751,15751,0,15742,9,0.9994286077074471,0.2252790927886963
data\raw\nyc_311\nyc_311_2015_05_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_05_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49985,15,0.9997,0.7687108516693115
data\raw\nyc_311\nyc_311_2015_05_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_05_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49978,22,0.99956,0.6765484809875488
data\raw\nyc_311\nyc_311_2015_05_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_05_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49994,6,0.99988,0.666954517364502
data\raw\nyc_311\nyc_311_2015_05_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_05_part003_with_nta.csv.gz,done,100000,1,20776,20776,0,20772,4,0.9998074701578745,0.3229556083679199
data\raw\nyc_311\nyc_311_2015_06_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_06_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.6588587760925293
data\raw\nyc_311\nyc_311_2015_06_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_06_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6603262424468994
data\raw\nyc_311\nyc_311_2015_06_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_06_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49989,11,0.99978,0.6598114967346191
data\raw\nyc_311\nyc_311_2015_06_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_06_part003_with_nta.csv.gz,done,100000,1,27060,27060,0,27054,6,0.9997782705099778,0.37417030334472656
data\raw\nyc_311\nyc_311_2015_07_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_07_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.6956484317779541
data\raw\nyc_311\nyc_311_2015_07_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_07_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49994,6,0.99988,0.6893255710601807
data\raw\nyc_311\nyc_311_2015_07_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_07_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6568253040313721
data\raw\nyc_311\nyc_311_2015_07_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_07_part003_with_nta.csv.gz,done,100000,1,27064,27064,0,27061,3,0.9998891516405557,0.3605003356933594
data\raw\nyc_311\nyc_311_2015_08_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_08_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49984,16,0.99968,0.6535162925720215
data\raw\nyc_311\nyc_311_2015_08_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_08_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6597020626068115
data\raw\nyc_311\nyc_311_2015_08_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_08_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.6824657917022705
