column,include,reason,feature_group,dtype_sample,is_categorical_feature,is_quality_feature
weather_week_end,False,date_key_not_model_feature,weather,str,False,False
week_end,False,date_key_not_model_feature,other,str,False,False
week_start,False,date_key_not_model_feature,other,datetime64[us],False,False
weather_iso_year,False,duplicate_calendar_from_weather,weather,int64,False,False
weather_month,False,duplicate_calendar_from_weather,weather,int64,False,False
weather_quarter,False,duplicate_calendar_from_weather,weather,int64,False,False
weather_week_of_year,False,duplicate_calendar_from_weather,weather,int64,False,False
weather_year,False,duplicate_calendar_from_weather,weather,int64,False,False
complaint_category_label,False,duplicate_human_readable_label,other,str,False,False
poi_dominant_semantic_category_label,False,duplicate_human_readable_label,osm_poi,str,False,False
nta2020,False,high_cardinality_spatial_id_excluded_main_model,other,str,False,False
borocode,False,id_metadata,other,float64,False,False
cdta2020,False,id_metadata,other,str,False,False
abnormal_threshold_8w,False,label_construction_artifact_excluded,other,float64,False,False
external_features_merged_flag,False,merge_diagnostic_not_predictor,other,int64,False,False
osm_merge_key_present,False,merge_diagnostic_not_predictor,other,int64,False,False
osm_missing_flag,False,merge_diagnostic_not_predictor,other,int64,False,False
pluto_merge_key_present,False,merge_diagnostic_not_predictor,pluto_landuse_built_environment,int64,False,False
pluto_table_missing_flag,False,merge_diagnostic_not_predictor,pluto_landuse_built_environment,int64,False,False
weather_merge_key_present,False,merge_diagnostic_not_predictor,weather,int64,False,False
weather_incomplete_week_flag,False,merge_or_coverage_diagnostic_not_predictor,weather,int64,False,False
weather_missing_flag,False,merge_or_coverage_diagnostic_not_predictor,weather,int64,False,False
final_train_ready_flag,False,row_filter_not_predictor,other,int64,False,False
has_min_history_12w,False,row_filter_not_predictor,other,int64,False,False
has_target_next_week,False,row_filter_not_predictor,other,int64,False,False
is_train_ready_temporal,False,row_filter_not_predictor,other,int64,False,False
abnormal_increase_next_week,False,target_classification,other,float64,False,False
target_week,False,target_date_key_not_model_feature,other,str,False,False
target_next_week_count,False,target_regression,other,float64,False,False
target_year,False,target_year_metadata_not_model_feature,other,float64,False,False
cdtaname,False,text_metadata,other,str,False,False
ntaname,False,text_metadata,other,str,False,False
nta_area_km2,False,unrecognized_or_metadata_column,other,float64,False,False
time_split,False,unrecognized_or_metadata_column,other,str,False,False
weather_complete_week_flag,False,weather_coverage_metadata,weather,int64,False,False
weather_days_missing_in_week,False,weather_coverage_metadata,weather,int64,False,False
weather_days_observed,False,weather_coverage_metadata,weather,int64,False,False
weather_min_days_ok_flag,False,weather_coverage_metadata,weather,int64,False,False
weather_source_rows,False,weather_coverage_metadata,weather,int64,False,False
