column,include,reason,feature_group,dtype_sample,is_categorical_feature,is_quality_feature
is_covid_period,True,included_numeric_feature,calendar_period,int64,False,False
is_year_end,True,included_numeric_feature,calendar_period,int64,False,False
is_year_start,True,included_numeric_feature,calendar_period,int64,False,False
iso_year,True,included_numeric_feature,calendar_period,int64,False,False
month,True,included_numeric_feature,calendar_period,int64,False,False
period_type,True,included_categorical_context,calendar_period,str,True,False
quarter,True,included_numeric_feature,calendar_period,int64,False,False
week_of_year,True,included_numeric_feature,calendar_period,int64,False,False
year,True,included_numeric_feature,calendar_period,int64,False,False
boroname,True,included_categorical_context,categorical_context,str,True,False
complaint_category,True,included_categorical_context,categorical_context,str,True,False
complaint_count,True,included_numeric_feature,current_demand,int64,False,False
poi_accommodation_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_accommodation_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_accommodation_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_commercial_activity_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_commercial_activity_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_commercial_activity_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_culture_tourism_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_culture_tourism_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_culture_tourism_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_daily_activity_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_daily_activity_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_daily_activity_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_dominant_semantic_category,True,included_categorical_context,osm_poi,str,True,False
poi_dominant_semantic_category_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_education_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_education_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_education_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_emergency_safety_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_emergency_safety_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_emergency_safety_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_employment_industrial_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_employment_industrial_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_employment_industrial_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_finance_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_finance_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_finance_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_food_drink_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_food_drink_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_food_drink_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_healthcare_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_healthcare_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_healthcare_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_industrial_logistics_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_industrial_logistics_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_industrial_logistics_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_log1p_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_log1p_total_count,True,included_numeric_feature,osm_poi,float64,False,False
poi_mixed_use_index,True,included_numeric_feature,osm_poi,float64,False,False
poi_mobility_access_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_mobility_access_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_mobility_access_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_named_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_named_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_office_work_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_office_work_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_office_work_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_osm_tag_amenity_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_osm_tag_amenity_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_osm_tag_highway_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_osm_tag_highway_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_osm_tag_leisure_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_osm_tag_leisure_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_osm_tag_public_transport_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_osm_tag_public_transport_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_osm_tag_railway_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_osm_tag_railway_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_osm_tag_shop_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_osm_tag_shop_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_osm_tag_tourism_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_osm_tag_tourism_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_other_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_other_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_other_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_public_service_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_public_service_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_public_service_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_recreation_environment_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_recreation_environment_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_recreation_environment_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_recreation_green_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_recreation_green_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_recreation_green_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_religion_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_religion_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
