nta2020,ntaname,boroname,borocode,cdta2020,cdtaname,nta_area_km2,poi_total_count,poi_density_per_km2,poi_log1p_total_count,poi_log1p_density_per_km2,poi_named_count,poi_named_share,poi_with_any_detected_tag_count,poi_with_any_detected_tag_share,poi_with_valid_coordinate_count,poi_with_valid_coordinate_share,poi_unique_raw_type_count,poi_unique_semantic_category_count,poi_semantic_entropy,poi_semantic_entropy_norm,poi_semantic_hhi,poi_mixed_use_index,poi_dominant_semantic_category,poi_dominant_semantic_category_label,poi_dominant_semantic_category_share,poi_food_drink_count,poi_food_drink_share,poi_food_drink_density_per_km2,poi_retail_count,poi_retail_share,poi_retail_density_per_km2,poi_education_count,poi_education_share,poi_education_density_per_km2,poi_healthcare_count,poi_healthcare_share,poi_healthcare_density_per_km2,poi_transport_count,poi_transport_share,poi_transport_density_per_km2,poi_recreation_green_count,poi_recreation_green_share,poi_recreation_green_density_per_km2,poi_culture_tourism_count,poi_culture_tourism_share,poi_culture_tourism_density_per_km2,poi_public_service_count,poi_public_service_share,poi_public_service_density_per_km2,poi_emergency_safety_count,poi_emergency_safety_share,poi_emergency_safety_density_per_km2,poi_finance_count,poi_finance_share,poi_finance_density_per_km2,poi_accommodation_count,poi_accommodation_share,poi_accommodation_density_per_km2,poi_religion_count,poi_religion_share,poi_religion_density_per_km2,poi_office_work_count,poi_office_work_share,poi_office_work_density_per_km2,poi_industrial_logistics_count,poi_industrial_logistics_share,poi_industrial_logistics_density_per_km2,poi_other_count,poi_other_share,poi_other_density_per_km2,poi_commercial_activity_count,poi_commercial_activity_share,poi_commercial_activity_density_per_km2,poi_daily_activity_count,poi_daily_activity_share,poi_daily_activity_density_per_km2,poi_social_infrastructure_count,poi_social_infrastructure_share,poi_social_infrastructure_density_per_km2,poi_mobility_access_count,poi_mobility_access_share,poi_mobility_access_density_per_km2,poi_recreation_environment_count,poi_recreation_environment_share,poi_recreation_environment_density_per_km2,poi_safety_public_service_count,poi_safety_public_service_share,poi_safety_public_service_density_per_km2,poi_employment_industrial_count,poi_employment_industrial_share,poi_employment_industrial_density_per_km2,poi_osm_tag_amenity_count,poi_osm_tag_amenity_share,poi_osm_tag_highway_count,poi_osm_tag_highway_share,poi_osm_tag_leisure_count,poi_osm_tag_leisure_share,poi_osm_tag_public_transport_count,poi_osm_tag_public_transport_share,poi_osm_tag_railway_count,poi_osm_tag_railway_share,poi_osm_tag_shop_count,poi_osm_tag_shop_share,poi_osm_tag_tourism_count,poi_osm_tag_tourism_share
BK0101,Greenpoint,Brooklyn,3.0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),3.279540212644319,681,207.65105955230973,6.525029657843462,5.340663285156993,517,0.7591776798825257,681,1.0,681,1.0,38,12,1.7586095435925762,0.6494006436353359,0.20980850049917954,0.7901914995008205,food_drink,"Food, Drink & Nightlife Support",0.328928046989721,224,0.328928046989721,68.3022574738875,92,0.13509544787077826,28.052712891060935,9,0.013215859030837005,2.7442871306472654,17,0.024963289280469897,5.18365346900039,112,0.1644640234948605,34.15112873694375,148,0.2173274596182085,45.12827725953281,2,0.002936857562408223,0.6098415845882812,1,0.0014684287812041115,0.3049207922941406,1,0.0014684287812041115,0.3049207922941406,10,0.014684287812041116,3.049207922941406,4,0.005873715124816446,1.2196831691765624,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,61,0.08957415565345081,18.600168329942576,330,0.4845814977973568,100.6238614570664,454,0.6666666666666666,138.43403970153983,29,0.042584434654919234,8.842702976530077,112,0.1644640234948605,34.15112873694375,150,0.22026431718061673,45.73811884412109,2,0.002936857562408223,0.6098415845882812,0,0.0,0.0,282,0.41409691629955947,68,0.09985315712187959,150,0.22026431718061673,131,0.19236417033773862,21,0.030837004405286344,109,0.16005873715124816,7,0.010279001468428781
BK0102,Williamsburg,Brooklyn,3.0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),2.6789021734432152,899,335.5852292450485,6.802394763324311,5.818851398574745,732,0.814238042269188,899,1.0,899,1.0,39,12,1.7201519800971168,0.635199443273612,0.24108235451329557,0.7589176454867044,food_drink,"Food, Drink & Nightlife Support",0.4082313681868743,367,0.4082313681868743,136.996417278012,115,0.12791991101223582,42.92803266204736,21,0.02335928809788654,7.8390320513303875,14,0.01557285873192436,5.226021367553591,125,0.13904338153503892,46.66090506744278,165,0.1835372636262514,61.592394689024474,4,0.004449388209121246,1.493148962158169,1,0.0011123470522803114,0.37328724053954226,2,0.002224694104560623,0.7465744810790845,19,0.021134593993325918,7.092457570251303,12,0.013348164627363738,4.4794468864745065,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,54,0.060066740823136816,20.157510989135282,513,0.5706340378197998,191.49635439678516,642,0.71412680756396,239.65040842638612,40,0.04449388209121246,14.93148962158169,125,0.13904338153503892,46.66090506744278,169,0.18798665183537264,63.08554365118264,3,0.0033370411568409346,1.1198617216186266,0,0.0,0.0,449,0.4994438264738598,74,0.08231368186874305,167,0.185761957730812,130,0.1446051167964405,38,0.042269187986651836,126,0.14015572858731926,16,0.017797552836484983
BK0103,South Williamsburg,Brooklyn,3.0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),1.4121094811349348,193,136.6749551492869,5.267858159063328,4.924895509376107,145,0.7512953367875648,193,1.0,193,1.0,23,9,1.7904232143944745,0.6611484579073719,0.19557572015356117,0.8044242798464388,recreation_green,"Recreation, Parks & Green Space",0.27461139896373055,18,0.09326424870466321,12.746887008741782,14,0.07253886010362694,9.914245451243609,28,0.14507772020725387,19.828490902487218,5,0.025906735751295335,3.540801946872717,52,0.2694300518134715,36.82434024747626,53,0.27461139896373055,37.532500636850806,0,0.0,0.0,0,0.0,0.0,1,0.0051813471502590676,0.7081603893745435,0,0.0,0.0,1,0.0051813471502590676,0.7081603893745435,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,21,0.10880829015544041,14.871368176865413,33,0.17098445595854922,23.369292849359933,117,0.6062176165803109,82.85476555682159,33,0.17098445595854922,23.369292849359933,52,0.2694300518134715,36.82434024747626,53,0.27461139896373055,37.532500636850806,1,0.0051813471502590676,0.7081603893745435,0,0.0,0.0,55,0.2849740932642487,33,0.17098445595854922,53,0.27461139896373055,57,0.29533678756476683,20,0.10362694300518134,21,0.10880829015544041,1,0.0051813471502590676
BK0104,East Williamsburg,Brooklyn,3.0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),4.852928754610759,745,153.51554446213058,6.61472560020376,5.040294702682188,529,0.7100671140939597,745,1.0,745,1.0,37,11,1.7875057499150548,0.6600711276281059,0.19965046619521643,0.8003495338047836,food_drink,"Food, Drink & Nightlife Support",0.2697986577181208,201,0.2697986577181208,41.41828783474933,77,0.10335570469798658,15.866707279978597,19,0.025503355704697986,3.9151615366180956,14,0.01879194630872483,2.884855869087018,163,0.21879194630872484,33.587964761513135,179,0.24026845637583893,36.88494289761258,9,0.012080536912751677,1.8545502015559399,3,0.004026845637583893,0.6181834005186466,0,0.0,0.0,6,0.008053691275167786,1.2363668010372932,2,0.0026845637583892616,0.4121222670124311,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,72,0.09664429530201342,14.836401612447519,286,0.3838926174496644,58.93348418277765,474,0.636241610738255,97.67297728194617,45,0.06040268456375839,9.2727510077797,163,0.21879194630872484,33.587964761513135,188,0.2523489932885906,38.73949309916852,3,0.004026845637583893,0.6181834005186466,0,0.0,0.0,283,0.37986577181208053,96,0.12885906040268458,182,0.2442953020134228,173,0.23221476510067113,50,0.06711409395973154,80,0.10738255033557047,11,0.01476510067114094
BK0201,Brooklyn Heights,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),0.9267955902265893,393,424.0417241345707,5.976350909297934,6.052187338539906,265,0.6743002544529262,393,1.0,393,1.0,38,10,1.8108619079787727,0.6686958414735921,0.210535516578288,0.7894644834217119,recreation_green,"Recreation, Parks & Green Space",0.3256997455470738,107,0.272264631043257,115.45156356844545,29,0.0737913486005089,31.290610686774937,24,0.061068702290076333,25.895677809744775,21,0.05343511450381679,22.65871808352668,48,0.12213740458015267,51.79135561948955,128,0.3256997455470738,138.11028165197214,4,0.010178117048346057,4.3159463016241295,0,0.0,0.0,0,0.0,0.0,12,0.030534351145038167,12.947838904872388,1,0.002544529262086514,1.0789865754060324,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,19,0.04834605597964377,20.500744932714614,149,0.3791348600508906,160.76899973549882,229,0.5826972010178118,247.0879257679814,49,0.12468193384223919,52.870342194895585,48,0.12213740458015267,51.79135561948955,132,0.33587786259541985,142.42622795359625,0,0.0,0.0,0,0.0,0.0,183,0.46564885496183206,15,0.03816793893129771,128,0.3256997455470738,36,0.0916030534351145,25,0.06361323155216285,42,0.10687022900763359,6,0.015267175572519083
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),2.2033763669301747,1289,585.0112669565765,7.162397497355718,6.373339016280534,732,0.5678820791311094,1289,1.0,1289,1.0,45,12,1.7418548278182584,0.6432136402454067,0.23569909739329206,0.7643009026067079,recreation_green,"Recreation, Parks & Green Space",0.395655546935609,266,0.20636152055857254,120.72381459305612,126,0.09775019394879751,57.18496480723711,45,0.03491078355314197,20.423201716870395,24,0.018619084561675717,10.892374248997545,187,0.14507370054305663,84.86974935677253,510,0.395655546935609,231.46295279119784,15,0.011636927851047323,6.807733905623466,1,0.0007757951900698216,0.4538489270415644,3,0.0023273855702094647,1.361546781124693,20,0.015515903801396431,9.076978540831288,11,0.008533747090768037,4.992338197457208,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,81,0.06283941039565555,36.76176309036671,423,0.3281613653995345,191.97809613858172,648,0.5027152831652444,294.0941047229337,85,0.06594259115593483,38.57715879853297,187,0.14507370054305663,84.86974935677253,525,0.4072924747866563,238.2706866968213,4,0.0031031807602792862,1.8153957081662575,0,0.0,0.0,417,0.3235065942591156,75,0.05818463925523662,510,0.395655546935609,163,0.1264546159813809,104,0.08068269976726145,139,0.1078355314197052,26,0.02017067494181536
BK0203,Fort Greene,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),1.6279417138435677,429,263.52294824311105,6.063785208687608,5.57792800837837,346,0.8065268065268065,429,1.0,429,1.0,39,10,1.8401076935210456,0.6794954143656934,0.1867681657891448,0.8132318342108552,food_drink,"Food, Drink & Nightlife Support",0.289044289044289,124,0.289044289044289,76.16980322178502,50,0.11655011655011654,30.713630331364925,14,0.03263403263403263,8.599816492782178,18,0.04195804195804196,11.056906919291373,91,0.21212121212121213,55.89880720308417,71,0.1655011655011655,43.61335507053819,7,0.016317016317016316,4.299908246391089,0,0.0,0.0,0,0.0,0.0,2,0.004662004662004662,1.228545213254597,1,0.002331002331002331,0.6142726066272985,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,51,0.11888111888111888,31.327902937992224,177,0.4125874125874126,108.72625137303183,297,0.6923076923076923,182.43896416830765,39,0.09090909090909091,23.95663165846464,91,0.21212121212121213,55.89880720308417,78,0.18181818181818182,47.91326331692928,0,0.0,0.0,0,0.0,0.0,178,0.4149184149184149,46,0.10722610722610723,71,0.1655011655011655,101,0.23543123543123542,51,0.11888111888111888,62,0.1445221445221445,8,0.018648018648018648
BK0204,Clinton Hill,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),1.352463582960564,357,263.9627450955252,5.8805329864007,5.579589231558101,255,0.7142857142857143,357,1.0,357,1.0,31,10,1.781913889010325,0.6580062246575281,0.20123343455029064,0.7987665654497094,food_drink,"Food, Drink & Nightlife Support",0.28851540616246496,103,0.28851540616246496,76.15731861299466,37,0.10364145658263306,27.357483385250507,12,0.03361344537815126,8.8726973141353,10,0.028011204481792718,7.393914428446083,81,0.226890756302521,59.89070687041327,78,0.2184873949579832,57.67253254187945,1,0.0028011204481792717,0.7393914428446083,0,0.0,0.0,1,0.0028011204481792717,0.7393914428446083,7,0.0196078431372549,5.175740099912258,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,0.07563025210084033,19.963568956804423,147,0.4117647058823529,108.69054209815742,243,0.680672268907563,179.67212061123982,23,0.06442577030812324,17.00600318542599,81,0.226890756302521,59.89070687041327,79,0.22128851540616246,58.411923984724055,1,0.0028011204481792717,0.7393914428446083,0,0.0,0.0,164,0.45938375350140054,34,0.09523809523809523,79,0.22128851540616246,64,0.1792717086834734,26,0.07282913165266107,42,0.11764705882352941,1,0.0028011204481792717
BK0261,Brooklyn Navy Yard,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),0.9383896969333492,38,40.49490326266766,3.6635616461296463,3.725570606746758,22,0.5789473684210527,38,1.0,38,1.0,13,6,1.1326591852947872,0.4182563472544862,0.4307479224376731,0.5692520775623269,transport,Transport & Mobility Infrastructure,0.6052631578947368,9,0.23684210526315788,9.59089814115813,1,0.02631578947368421,1.06565534901757,0,0.0,0.0,1,0.02631578947368421,1.06565534901757,23,0.6052631578947368,24.51007302740411,3,0.07894736842105263,3.1969660470527104,1,0.02631578947368421,1.06565534901757,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10,0.2631578947368421,10.6565534901757,34,0.8947368421052632,36.23228186659738,2,0.05263157894736842,2.13131069803514,23,0.6052631578947368,24.51007302740411,4,0.10526315789473684,4.26262139607028,0,0.0,0.0,0,0.0,0.0,26,0.6842105263157895,7,0.18421052631578946,3,0.07894736842105263,7,0.18421052631578946,0,0.0,1,0.02631578947368421,1,0.02631578947368421
BK0301,Bedford-Stuyvesant (West),Brooklyn,3.0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),3.4266828641078857,770,224.70710904274605,6.647688373563329,5.419238181079977,688,0.8935064935064935,770,1.0,770,1.0,36,12,1.822710613681101,0.6730712055999682,0.1891077753415416,0.8108922246584584,food_drink,"Food, Drink & Nightlife Support",0.2623376623376623,202,0.2623376623376623,58.94913769692818,158,0.2051948051948052,46.108731465914126,25,0.032467532467532464,7.295685358530716,18,0.023376623376623377,5.252893458142116,167,0.21688311688311687,48.73517819498518,73,0.09480519480519481,21.30340124690969,2,0.0025974025974025974,0.5836548286824572,3,0.003896103896103896,0.8754822430236859,1,0.0012987012987012987,0.2918274143412286,8,0.01038961038961039,2.334619314729829,3,0.003896103896103896,0.8754822430236859,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,110,0.14285714285714285,32.10101557753515,371,0.4818181818181818,108.26797072059583,570,0.7402597402597403,166.3416261745003,48,0.06233766233766234,14.007715888378975,167,0.21688311688311687,48.73517819498518,75,0.09740259740259741,21.88705607559215,4,0.005194805194805195,1.1673096573649144,0,0.0,0.0,294,0.38181818181818183,105,0.13636363636363635,74,0.09610389610389611,220,0.2857142857142857,48,0.06233766233766234,175,0.22727272727272727,6,0.007792207792207792
