nta2020,ntaname,boroname,borocode,cdta2020,cdtaname,nta_area_km2,pluto_avg_num_floors,pluto_building_area_to_lot_area_ratio,pluto_commercial_area_ratio,pluto_lot_area_commercial,pluto_lot_area_industrial,pluto_lot_area_mixed_use,pluto_lot_area_open_space,pluto_lot_area_parking,pluto_lot_area_public_facility,pluto_lot_area_ratio_commercial,pluto_lot_area_ratio_industrial,pluto_lot_area_ratio_mixed_use,pluto_lot_area_ratio_open_space,pluto_lot_area_ratio_parking,pluto_lot_area_ratio_public_facility,pluto_lot_area_ratio_residential,pluto_lot_area_ratio_transportation_utility,pluto_lot_area_ratio_unknown,pluto_lot_area_ratio_vacant,pluto_lot_area_residential,pluto_lot_area_transportation_utility,pluto_lot_area_unknown,pluto_lot_area_vacant,pluto_lot_count,pluto_lot_count_commercial,pluto_lot_count_industrial,pluto_lot_count_mixed_use,pluto_lot_count_open_space,pluto_lot_count_parking,pluto_lot_count_public_facility,pluto_lot_count_residential,pluto_lot_count_transportation_utility,pluto_lot_count_unknown,pluto_lot_count_vacant,pluto_office_area_ratio,pluto_parcel_count,pluto_parcel_density_per_km2,pluto_residential_area_ratio,pluto_retail_area_ratio,pluto_total_building_area,pluto_total_buildings,pluto_total_commercial_area,pluto_total_factory_area,pluto_total_garage_area,pluto_total_lot_area,pluto_total_office_area,pluto_total_other_area,pluto_total_residential_area,pluto_total_residential_units,pluto_total_retail_area,pluto_total_storage_area,pluto_total_units
BK0101,Greenpoint,Brooklyn,3.0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),3.279540212644319,2.9591935833513983,1.3618042931479808,0.3104288259166901,1964704.0,6413361.0,3131664.0,555664.0,705172.0,636636.0,0.0766069749286278,0.2500672800255099,0.1221086257944638,0.0216662347695841,0.0274957926101694,0.0248234635297031,0.2999312733857063,0.1132927004350138,0.0304542811268669,0.0335533733943546,7692200.0,2905566.0,781047.0,860528.0,4773.0,139.0,319.0,765.0,11.0,85.0,50.0,3302.0,30.0,35.0,37.0,0.0458393364563746,4773.0,1455.386941619933,0.6404096585851095,0.0477688396275611,34925571.0,5163.0,10841904.0,3031028.0,789711.0,25646542.0,1600965.0,2642258.0,22366673.0,25905.0,1668354.0,1055046.0,29692.0
BK0102,Williamsburg,Brooklyn,3.0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),2.6789021734432152,3.761074458058435,2.253897108588493,0.255978848893875,1434224.0,950492.0,4889464.0,2686727.0,269121.0,833485.0,0.0728854057522911,0.0483027721501709,0.2484762265526308,0.1365359856902659,0.0136763805942881,0.0423566279838075,0.3419259292987822,0.0601333157568373,0.0128625698592027,0.0228447863617232,6728348.0,1183291.0,253107.0,449535.0,3430.0,194.0,94.0,993.0,54.0,84.0,66.0,1808.0,24.0,29.0,84.0,0.0605838920846434,3430.0,1280.37523505063,0.718801950490176,0.094158145783874,44351723.0,3751.0,11353103.0,807969.0,1517916.0,19677794.0,2687000.0,1343836.0,31880105.0,33668.0,4176076.0,713773.0,38720.0
BK0103,South Williamsburg,Brooklyn,3.0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),1.4121094811349348,3.5486929779600205,2.3738602943167724,0.2810926691615243,218401.0,318086.0,2179114.0,406910.0,42691.0,1582957.0,0.0236581072517616,0.0344564022293114,0.2360507173768218,0.0440781883865656,0.0046244671804843,0.1714725046173177,0.4567392258071505,0.0088262534460626,0.0043981779874452,0.0156959557170789,4216411.0,81480.0,40602.0,144898.0,2051.0,38.0,37.0,387.0,15.0,17.0,138.0,1360.0,12.0,10.0,37.0,0.0661553288452666,2051.0,1452.4369586071887,0.6840145821858767,0.0442485104549928,21914410.0,2336.0,6159980.0,301369.0,378227.0,9231550.0,1449755.0,2805649.0,14989776.0,12655.0,969680.0,240760.0,14032.0
BK0104,East Williamsburg,Brooklyn,3.0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),4.852928754610759,2.850976609597299,1.0867640137275918,0.3914907708873045,1219681.0,12205687.0,3098208.0,755441.0,1293803.0,1684269.0,0.0319936157616798,0.3201690113934143,0.0812695092419761,0.0198160741084096,0.0339379198768437,0.0441802858495859,0.2407697557752891,0.1766847083532023,0.0414572580590372,0.0097218615805617,9178778.0,6735687.0,1580460.0,370623.0,4562.0,118.0,611.0,808.0,22.0,143.0,75.0,2487.0,59.0,171.0,68.0,0.025395103246874,4562.0,940.0508910553554,0.5519965937981154,0.0548095343722989,41430310.0,5044.0,16219584.0,7743533.0,453608.0,38122637.0,1052127.0,3027283.0,22869390.0,26843.0,2270776.0,1610396.0,30587.0
BK0201,Brooklyn Heights,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),0.9267955902265893,4.331814868804665,4.14681730115879,0.3221152248407666,607977.0,0.0,966582.0,396553.0,40498.0,558053.0,0.1003429117676815,0.0,0.159528489305071,0.0654486644892971,0.0066839489664371,0.0921032587428307,0.5645154236025689,0.0053754807110686,0.0013597969167483,0.0046420254982964,3420395.0,32570.0,8239.0,28126.0,1411.0,64.0,0.0,198.0,8.0,11.0,41.0,1069.0,5.0,6.0,9.0,0.197416477108529,1411.0,1522.4500578979116,0.6196796112258217,0.0374589406785614,25125537.0,1489.0,8093318.0,0.0,872001.0,6058993.0,4960195.0,1273005.0,15569783.0,14475.0,941176.0,41429.0,16097.0
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),2.2033763669301747,4.656957482054113,3.791675045459745,0.507950553541388,2322475.0,357983.0,3136342.0,2321055.0,240560.0,1691835.0,0.1463581632341185,0.0225594395414544,0.1976465858164336,0.1462686774089568,0.0151596550006349,0.1066163739524408,0.2651443573358053,0.0820034867962719,0.0036140299909852,0.0146292309228981,4207426.0,1301267.0,57349.0,232143.0,1915.0,141.0,34.0,544.0,31.0,19.0,69.0,1015.0,19.0,7.0,36.0,0.2756276103079398,1915.0,869.1206952845957,0.4525935062203965,0.0824544476329083,60167949.0,2023.0,30562343.0,473062.0,1886968.0,15868435.0,16583948.0,5542210.0,27231623.0,28539.0,4961115.0,1037920.0,32246.0
BK0203,Fort Greene,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),1.6279417138435677,3.6397936016511863,2.4076551990657853,0.3654402214681755,840439.0,478110.0,2001792.0,2055890.0,235894.0,1624653.0,0.0692665642551498,0.0394044505740805,0.1649819370512851,0.1694405385596338,0.0194417047619212,0.1338992257817902,0.375290571868514,0.0056150785752486,0.0137962142683654,0.0088637143040108,4553551.0,68130.0,167395.0,107547.0,2128.0,53.0,52.0,249.0,70.0,46.0,46.0,1526.0,15.0,20.0,51.0,0.0981544683837488,2128.0,1307.1721069028913,0.6058554455430631,0.0625704693718005,29213046.0,2155.0,10675622.0,370283.0,1157725.0,12133401.0,2867391.0,3630889.0,17698883.0,19840.0,1827874.0,817252.0,21838.0
BK0204,Clinton Hill,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),1.352463582960564,3.301739732348869,2.126729763987388,0.2389186273749229,210199.0,408662.0,854494.0,233708.0,94353.0,1987211.0,0.0220193586909837,0.0428093147987136,0.0895123663066592,0.0244820397858811,0.0098839316579545,0.2081699332711788,0.5779420915347628,0.006722535904715,0.0062547008726076,0.0122037271765433,5517093.0,64174.0,59708.0,116498.0,2262.0,32.0,46.0,237.0,12.0,29.0,62.0,1781.0,10.0,7.0,46.0,0.0747829213660247,2262.0,1672.5034437145039,0.7207674622789162,0.0283086744023672,20301975.0,2426.0,4850520.0,341568.0,164743.0,9546100.0,1518241.0,2011367.0,14633003.0,14998.0,574722.0,212618.0,16069.0
BK0261,Brooklyn Navy Yard,Brooklyn,3.0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),0.9383896969333492,8.666666666666666,0.8647070025304344,0.9850078983971448,1543330.0,0.0,286189.0,0.0,0.0,0.0,0.1672718270967722,0.0,0.0310182248287781,0.0,0.0,0.0,0.0,0.7892220856948788,0.0123232275280743,0.0001646348514964,0.0,7281741.0,113700.0,1519.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0009024590882079,6.0,6.393932094105421,0.0,0.0194392194430799,7978201.0,136.0,7858591.0,126972.0,0.0,9226479.0,7200.0,7569329.0,0.0,0.0,155090.0,0.0,14.0
BK0301,Bedford-Stuyvesant (West),Brooklyn,3.0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),3.4266828641078857,3.104478057094163,1.886928877541791,0.2320702190853401,1099440.0,1197590.0,3241619.0,1076202.0,557870.0,2223098.0,0.0429931077055478,0.0468312193999555,0.1267620559624449,0.0420843961461526,0.0218152559445663,0.0869332494306084,0.5918563364486756,0.0135650950586667,0.0050449954562466,0.0221142884471352,15135229.0,346893.0,129013.0,565517.0,7495.0,143.0,114.0,809.0,67.0,100.0,155.0,5812.0,21.0,34.0,240.0,0.0661014094872501,7495.0,2187.2464704875088,0.7036861044956925,0.0530960552983648,48253434.0,7642.0,11198185.0,1611912.0,522479.0,25572471.0,3189620.0,2600104.0,33955271.0,36813.0,2562067.0,618521.0,39361.0
