score_col,model_label,global_threshold_fallback,complaint_category,threshold,threshold_strategy,note,validation_rows,validation_positive_rows,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
lgbm_score,Tuned LightGBM,0.348333,environment,0.33073,best_f1,Max validation F1.,13624,1495,0.36035261234143195,0.26552598225602025,0.5605351170568562,0.293577201149991,0.7692592258637705,0.23165002935995302
lgbm_score,Tuned LightGBM,0.348333,housing,0.403852,best_f1,Max validation F1.,13624,1626,0.384635761589404,0.33783154955793393,0.44649446494464945,0.3788762903380001,0.7806415357869199,0.1577363476218438
lgbm_score,Tuned LightGBM,0.348333,infrastructure,0.34,best_f1,Max validation F1.,13624,1734,0.3508527671423599,0.25124626121635096,0.5813148788927336,0.27841101301254256,0.7328511160066856,0.29448032883147385
lgbm_score,Tuned LightGBM,0.348333,noise,0.37,best_f1,Max validation F1.,13624,1884,0.40396578538102645,0.3187116564417178,0.5514861995753716,0.34773165243996207,0.7628434282056012,0.23928361714621257
lgbm_score,Tuned LightGBM,0.348333,other,0.347389,best_f1,Max validation F1.,13624,1802,0.37899112034762894,0.2873102262961902,0.5566037735849056,0.31700873720774697,0.7594478568616123,0.25623899001761596
lgbm_score,Tuned LightGBM,0.348333,parking_traffic,0.33,best_f1,Max validation F1.,13624,1884,0.3831944947482796,0.2908191313908741,0.5615711252653928,0.32173009863685387,0.7419110359993778,0.2670287727539636
lgbm_score,Tuned LightGBM,0.348333,public_safety,0.350488,best_f1,Max validation F1.,13624,1839,0.4114333402879199,0.33378469871360866,0.5361609570418706,0.33725447891293037,0.7817366755234659,0.21682325308279507
lgbm_score,Tuned LightGBM,0.348333,sanitation,0.359582,best_f1,Max validation F1.,13624,1651,0.3549845348560552,0.29231974921630094,0.451847365233192,0.2903353675267913,0.7520161833942645,0.18731650029359953
lgbm_score,Tuned LightGBM,0.348333,water_sewer,0.345,best_f1,Max validation F1.,13624,1659,0.3938558487593541,0.2924831822170225,0.6027727546714888,0.3530580677133084,0.7848591947530307,0.25095419847328243
xgb_score,Tuned XGBoost,0.36,environment,0.375,best_f1,Max validation F1.,13624,1495,0.3580628541988666,0.29116045245077504,0.46488294314381273,0.2900402342142717,0.7694478337801741,0.1752055196711685
xgb_score,Tuned XGBoost,0.36,housing,0.405,best_f1,Max validation F1.,13624,1626,0.3818770226537217,0.3400576368876081,0.4354243542435424,0.37665317007907223,0.7810630902608409,0.1528185554903112
