score_col,model_label,global_threshold_fallback,complaint_category,threshold,threshold_strategy,note,validation_rows,validation_positive_rows,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
lgbm_score,Tuned LightGBM,0.166987,environment,0.155,best_f1,Max validation F1.,13624,1495,0.3565179352580927,0.2648683782905427,0.5451505016722408,0.2757055131017598,0.7620275461310423,0.2258514386376982
lgbm_score,Tuned LightGBM,0.166987,housing,0.155,best_f1,Max validation F1.,13624,1626,0.37906358617869557,0.2839203675344564,0.5701107011070111,0.3485051513859917,0.7775896228707244,0.2396506165590135
lgbm_score,Tuned LightGBM,0.166987,infrastructure,0.18,best_f1,Max validation F1.,13624,1734,0.33907386146192114,0.25372279495990835,0.510957324106113,0.26182466507596935,0.7203958721964024,0.2563123899001762
lgbm_score,Tuned LightGBM,0.166987,noise,0.181022,best_f1,Max validation F1.,13624,1884,0.39551478083588176,0.32108573320092687,0.5148619957537155,0.33186562845558326,0.7538789392969396,0.22174104521432766
lgbm_score,Tuned LightGBM,0.166987,other,0.17,best_f1,Max validation F1.,13624,1802,0.37936445664966656,0.2933859223300971,0.5366259711431742,0.3046751125781364,0.7525673085282223,0.24192601291837934
lgbm_score,Tuned LightGBM,0.166987,parking_traffic,0.164898,best_f1,Max validation F1.,13624,1884,0.375724777734828,0.29544072948328265,0.5159235668789809,0.3121777282360208,0.7329254332186763,0.2414856136230182
lgbm_score,Tuned LightGBM,0.166987,public_safety,0.150993,best_f1,Max validation F1.,13624,1839,0.40337711069418386,0.3079346892008021,0.5845568243610658,0.3239960600949565,0.7748677305438221,0.25623899001761596
lgbm_score,Tuned LightGBM,0.166987,sanitation,0.164344,best_f1,Max validation F1.,13624,1651,0.35002051702913417,0.26466025442134655,0.516656571774682,0.27623736626058315,0.7429861241902902,0.2365678214914856
lgbm_score,Tuned LightGBM,0.166987,water_sewer,0.212569,best_f1,Max validation F1.,13624,1659,0.39259447121481106,0.33887915936952717,0.4665461121157324,0.341299358361485,0.7755444035459058,0.16764533176746918
xgb_score,Tuned XGBoost,0.162211,environment,0.145138,best_f1,Max validation F1.,13624,1495,0.3518701761329903,0.24985947161326588,0.5946488294314382,0.27819325314778687,0.7623420029554089,0.26115678214914856
