method_id,model_label,score_col,threshold_mode,threshold_strategy,split,global_threshold,complaint_category,rows,positive_rows,positive_share,predicted_positive_rows,predicted_positive_share,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.166987,environment,13624,1495,0.10973282442748092,2735,0.20074867880211392,0.7993247210804463,0.6682561019762194,0.27349177330895796,0.5003344481605351,0.8361777557919037,0.9313986591973551,0.3536643026004728,0.4291451520367183,0.7620275461310423,0.2757055131017598,10142,1987,747,748
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.166987,housing,13624,1626,0.11934820904286553,2922,0.21447445684086905,0.7925719318849089,0.6788708327156617,0.2946611909650924,0.5295202952029521,0.8282213702283714,0.9285180340123341,0.3786279683377309,0.4567154678548695,0.7775896228707244,0.3485051513859917,9937,2061,765,861
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.166987,infrastructure,13624,1734,0.12727539635936583,3947,0.28970933646506164,0.7233558426306518,0.6498852417828558,0.24220927286546745,0.5513264129181085,0.748444070647603,0.9196031828045882,0.3365604647069178,0.439217127630249,0.7203958721964024,0.26182466507596935,8899,2991,778,956
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.166987,noise,13624,1884,0.138285378743394,3400,0.24955960070463887,0.7640927774515561,0.6739575082194902,0.3044117647058823,0.5493630573248408,0.7985519591141397,0.9169600938967136,0.39174867524602575,0.47320775420629113,0.7538789392969396,0.33186562845558326,9375,2365,849,1035
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.166987,other,13624,1802,0.13226658837345862,3371,0.24743100411039343,0.7643129770992366,0.6711148311496596,0.2910115692672797,0.5443951165371809,0.7978345457621384,0.9199258753535551,0.37927701527160257,0.46365440967955385,0.7525673085282223,0.3046751125781364,9432,2390,821,981
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.166987,parking_traffic,13624,1884,0.138285378743394,3221,0.23642102172636523,0.7659277745155608,0.6578663867157124,0.2974231605091586,0.5084925690021231,0.8072402044293016,0.910987215226377,0.37531831537708127,0.44529143813330857,0.7329254332186763,0.3121777282360208,9477,2263,926,958
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.166987,public_safety,13624,1839,0.13498238402818555,2973,0.21821785085143863,0.7883147386964181,0.6768634980135069,0.3242515977127481,0.5241979336595977,0.8295290623674162,0.9178480893812787,0.400665004156276,0.4666473037080066,0.7748677305438221,0.3239960600949565,9776,2009,875,964
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.166987,sanitation,13624,1651,0.12118320610687022,3126,0.22944803288314738,0.7709189665296535,0.6547911935713624,0.2648752399232246,0.5015142337976983,0.8080681533450264,0.9216041150695371,0.34666108436257065,0.42548818088386436,0.7429861241902902,0.27623736626058315,9675,2298,823,828
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.166987,water_sewer,13624,1659,0.12177040516735173,3309,0.24288021139166177,0.7739283617146212,0.6856788196031876,0.2852825627077667,0.5690174804098854,0.8023401587964898,0.9306834706737761,0.38003220611916266,0.4746103569632981,0.7755444035459058,0.341299358361485,9600,2365,715,944
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.166987,environment,27510,2896,0.10527081061432206,5243,0.1905852417302799,0.8091966557615412,0.672330829443065,0.2756055693305359,0.49896408839779005,0.8456975704883399,0.9348363048457359,0.3550804767170414,0.4293694657395852,0.7801502575455643,0.2943039286615374,20816,3798,1451,1445
