candidate_id,experiment_id,model_name,param_id,feature_set,pos_weight_mode,pos_weight,split,threshold_strategy,threshold,tn,fp,fn,tp
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,default_0_5,0.5,106626,483,14817,690
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,default_0_5,0.5,212695,1170,29718,1649
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,best_f1,0.178977,86519,20590,7094,8413
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,best_f1,0.178977,174561,39304,14618,16749
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,best_f2,0.101409,62179,44930,3054,12453
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,best_f2,0.101409,128104,85761,6400,24967
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,best_balanced_accuracy,0.12263,70715,36394,4179,11328
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,best_balanced_accuracy,0.12263,144451,69414,8709,22658
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,best_precision_at_min_recall,0.130049,73312,33797,4601,10906
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,best_precision_at_min_recall,0.130049,149483,64382,9537,21830
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,best_recall_at_min_precision,0.138237,75884,31225,5048,10459
