validation_rank,candidate_id,experiment_id,model_name,param_id,feature_set,pos_weight_mode,pos_weight,train_rows,train_rows_before_sample,validation_rows,test_rows,numeric_feature_count,categorical_feature_count,selected_feature_count,primary_strategy,selected_threshold,validation_f1,validation_f2,validation_precision,validation_recall,validation_balanced_accuracy,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share,test_f1,test_f2,test_precision,test_recall,test_balanced_accuracy,test_pr_auc,test_roc_auc,test_predicted_positive_share,preprocess_seconds,fit_seconds,warnings_count,warnings_preview,params_json,model_path,preprocessor_path
1,006_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_sqrt,E1_main_2015_2025,xgboost,xgb_regularized_depth6_lr003,full_without_covid_period_features,sqrt,2.6215585715781695,300000,954990,122616,247590,210,3,213,best_f1,0.34,0.375222390974181,0.46583415937594275,0.2833595490890025,0.5552202388596379,0.6754586274920749,0.3173839223638471,0.7590212588452712,0.24887453513407712,0.38179187834337047,0.46285872775031406,0.2955259639924304,0.5391827684510612,0.675671839738909,0.3319108414167492,0.7675345998682591,0.23263863645543034,1.211472511291504,46.69624304771423,0,,"{""param_id"": ""xgb_regularized_depth6_lr003"", ""n_estimators"": 800, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 50, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_lambda"": 3.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_006_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_sqrt.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_006_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_sqrt.joblib
2,009_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_none,E1_main_2015_2025,xgboost,xgb_shallow_depth5_lr003,full_without_covid_period_features,none,1.0,300000,954990,122616,247590,210,3,213,best_f1,0.17,0.3740817314036863,0.46123139671106866,0.284490833667871,0.5460382689097213,0.6731144241542311,0.31648350725308283,0.7584511845242868,0.2437854766099041,0.3819753142135072,0.4616458678767781,0.29664937613907194,0.5362052581564777,0.6752038234120968,0.33049877377975523,0.7672474845637335,0.23047780605032514,1.2565910816192627,46.25555372238159,0,,"{""param_id"": ""xgb_shallow_depth5_lr003"", ""n_estimators"": 900, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 80, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 5.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_009_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_none.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_009_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_none.joblib
3,007_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_half,E1_main_2015_2025,xgboost,xgb_regularized_depth6_lr003,full_without_covid_period_features,half,3.4362846721074867,300000,954990,122616,247590,210,3,213,best_f1,0.395,0.374027310338914,0.4671686069550503,0.2807401448109413,0.5601643765249775,0.6756792436239356,0.3171482872205721,0.7584333604602542,0.25343348339531546,0.3821643397163512,0.4671235463939778,0.2932667061912425,0.5484003801076972,0.67763042799478,0.3311415036394984,0.7674513836384125,0.23843854759885294,1.2175946235656738,46.592090368270874,0,,"{""param_id"": ""xgb_regularized_depth6_lr003"", ""n_estimators"": 800, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 50, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_lambda"": 3.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_007_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_half.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_007_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_half.joblib
4,011_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_half,E1_main_2015_2025,xgboost,xgb_shallow_depth5_lr003,full_without_covid_period_features,half,3.4362846721074867,300000,954990,122616,247590,210,3,213,best_f1,0.398256,0.3740110802129815,0.4658418446800056,0.2815187408729515,0.5570181071015795,0.6750917033518025,0.3165415373420227,0.7581782839114,0.2513130423435767,0.3813047971463813,0.4644533597544139,0.2936786429537324,0.5434589800443459,0.6762198149920832,0.3285385563635246,0.7673766165435297,0.23595864130215274,1.2075297832489014,46.12092304229736,0,,"{""param_id"": ""xgb_shallow_depth5_lr003"", ""n_estimators"": 900, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 80, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 5.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_011_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_half.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_011_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_half.joblib
5,010_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_sqrt,E1_main_2015_2025,xgboost,xgb_shallow_depth5_lr003,full_without_covid_period_features,sqrt,2.6215585715781695,300000,954990,122616,247590,210,3,213,best_f1,0.352272,0.3738202988197303,0.45311207894591765,0.28941159899996477,0.5277385385899577,0.6696072039374557,0.3179571723827326,0.7592957991592767,0.23160925164741958,0.38124245867647577,0.4518167632015905,0.3024928894094027,0.5154260373772569,0.6708668933298654,0.33109287335553117,0.7677774530021724,0.2172664485641585,1.2140555381774902,46.541773080825806,0,,"{""param_id"": ""xgb_shallow_depth5_lr003"", ""n_estimators"": 900, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 80, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 5.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_010_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_sqrt.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_010_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_sqrt.joblib
6,005_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_none,E1_main_2015_2025,xgboost,xgb_regularized_depth6_lr003,full_without_covid_period_features,none,1.0,300000,954990,122616,247590,210,3,213,best_f1,0.17,0.37371718578069213,0.45593021599289885,0.2873571157233139,0.5342879157570309,0.6707518874762435,0.31705937391774,0.7591667978407566,0.23616004436615123,0.38311457149091077,0.4587960900154573,0.30049900019815895,0.5283813747228382,0.6743147499482166,0.3316804219142929,0.7679925315899344,0.22420533947251506,1.156987190246582,47.39219903945923,0,,"{""param_id"": ""xgb_regularized_depth6_lr003"", ""n_estimators"": 800, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 50, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_lambda"": 3.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_005_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_none.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_005_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_none.joblib
7,012_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_balanced,E1_main_2015_2025,xgboost,xgb_shallow_depth5_lr003,full_without_covid_period_features,balanced,6.872569344214973,300000,954990,122616,247590,210,3,213,best_f1,0.58664,0.37321589153542856,0.4491569635146685,0.29116747616477784,0.51964813150122,0.6677947688391173,0.3152125542528649,0.7580198246589582,0.2266833039733803,0.38019291376181835,0.4461054023465077,0.305069159737921,0.5044029141590117,0.6682416385441851,0.3278819195413895,0.7663045160267865,0.2108243467022093,1.2306244373321533,46.16945147514343,0,,"{""param_id"": ""xgb_shallow_depth5_lr003"", ""n_estimators"": 900, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 80, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 5.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_012_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_balanced.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_012_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_balanced.joblib
8,008_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_balanced,E1_main_2015_2025,xgboost,xgb_regularized_depth6_lr003,full_without_covid_period_features,balanced,6.872569344214973,300000,954990,122616,247590,210,3,213,best_f1,0.554689,0.3725963611278779,0.4640747502953496,0.28045693515934317,0.5548991909592911,0.6738827712424302,0.31532976697314846,0.7576050642555648,0.25130488680107,0.3820079533935593,0.4647311676414629,0.29460680720925037,0.5431422236300285,0.6765428736889147,0.33054585360102556,0.7670526603066499,0.2350781533987641,1.2059941291809082,47.724112033843994,0,,"{""param_id"": ""xgb_regularized_depth6_lr003"", ""n_estimators"": 800, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 50, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_lambda"": 3.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_008_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_balanced.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_008_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_balanced.joblib
9,001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,300000,954990,122616,247590,210,3,213,best_f1,0.16,0.3697520970796994,0.46863293410014245,0.2735532353937602,0.5703094901759342,0.6749783657228581,0.3084083662893153,0.7540899091690638,0.2648023096496379,0.37762852031579736,0.4686245420368923,0.28529806898561044,0.5583148558758315,0.6769562428624598,0.3273291204844116,0.763068454665371,0.24952946403328083,1.4819416999816895,36.85435175895691,0,,"{""param_id"": ""xgb_current_depth8_lr005"", ""n_estimators"": 500, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 1.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none.joblib
10,002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,sqrt,2.6215585715781695,300000,954990,122616,247590,210,3,213,best_f1,0.328016,0.36915769328322073,0.4442730128425703,0.28800143910775317,0.5139976884551175,0.6645584937109391,0.30560759546911764,0.7524984975035045,0.2266833039733803,0.37456876484702345,0.43951457017833834,0.30054979789659203,0.49695913842255307,0.6639688757569667,0.32332086109028546,0.761352960314653,0.21083646350821925,1.2335388660430908,37.28344392776489,0,,"{""param_id"": ""xgb_current_depth8_lr005"", ""n_estimators"": 500, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 1.0}",D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\model_002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt.joblib,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\models\preprocessor_002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt.joblib
