feature_config,raw_feature_count,features,contains_weather,contains_borough,contains_nta_fe
01_history_lags_only,8,"complaint_category, history_weeks_available, lag_1w_count, lag_2w_count, lag_4w_count, lag_8w_count, lag_12w_count, lag_52w_count",False,False,False
02_history_current_count,9,"complaint_category, history_weeks_available, lag_1w_count, lag_2w_count, lag_4w_count, lag_8w_count, lag_12w_count, lag_52w_count, complaint_count",False,False,False
03_history_calendar,16,"complaint_category, history_weeks_available, lag_1w_count, lag_2w_count, lag_4w_count, lag_8w_count, lag_12w_count, lag_52w_count, complaint_count, year, month, quarter, week_of_year, iso_year, is_year_start, is_year_end",False,False,False
04_history_calendar_weather,39,"complaint_category, history_weeks_available, lag_1w_count, lag_2w_count, lag_4w_count, lag_8w_count, lag_12w_count, lag_52w_count, complaint_count, year, month, quarter, week_of_year, iso_year, is_year_start, is_year_end, hot_day_30c_count, hot_day_35c_count, rain_day_count, snow_day_count, weather_awnd_max, weather_awnd_mean, weather_prcp_max, weather_prcp_mean, weather_prcp_station_max, weather_prcp_sum, weather_snow_max, weather_snow_mean, weather_snow_sum, weather_snwd_max, weather_snwd_mean, weather_tavg_mean, weather_tmax_max, weather_tmax_mean, weather_tmax_min, weather_tmax_station_max, weather_tmin_max, weather_tmin_mean, weather_tmin_min",True,False,False
05_history_calendar_weather_borough,40,"complaint_category, history_weeks_available, lag_1w_count, lag_2w_count, lag_4w_count, lag_8w_count, lag_12w_count, lag_52w_count, complaint_count, year, month, quarter, week_of_year, iso_year, is_year_start, is_year_end, hot_day_30c_count, hot_day_35c_count, rain_day_count, snow_day_count, weather_awnd_max, weather_awnd_mean, weather_prcp_max, weather_prcp_mean, weather_prcp_station_max, weather_prcp_sum, weather_snow_max, weather_snow_mean, weather_snow_sum, weather_snwd_max, weather_snwd_mean, weather_tavg_mean, weather_tmax_max, weather_tmax_mean, weather_tmax_min, weather_tmax_station_max, weather_tmin_max, weather_tmin_mean, weather_tmin_min, boroname",True,True,False
06_history_calendar_weather_nta_fe,40,"complaint_category, history_weeks_available, lag_1w_count, lag_2w_count, lag_4w_count, lag_8w_count, lag_12w_count, lag_52w_count, complaint_count, year, month, quarter, week_of_year, iso_year, is_year_start, is_year_end, hot_day_30c_count, hot_day_35c_count, rain_day_count, snow_day_count, weather_awnd_max, weather_awnd_mean, weather_prcp_max, weather_prcp_mean, weather_prcp_station_max, weather_prcp_sum, weather_snow_max, weather_snow_mean, weather_snow_sum, weather_snwd_max, weather_snwd_mean, weather_tavg_mean, weather_tmax_max, weather_tmax_mean, weather_tmax_min, weather_tmax_station_max, weather_tmin_max, weather_tmin_mean, weather_tmin_min, nta2020",True,False,True
07_final_no_shortcut_borough,57,"complaint_category, boroname, complaint_count, diff_1w_count, diff_4w_count, history_weeks_available, lag_12w_count, lag_1w_count, lag_2w_count, lag_4w_count, lag_52w_count, lag_8w_count, pct_change_1w, ratio_to_12w_mean, rolling_12w_mean, rolling_12w_std, rolling_12w_sum, rolling_4w_mean, rolling_4w_std, rolling_4w_sum, is_year_end, is_year_start, iso_year, month, quarter, week_of_year, year, cold_day_0c_count, heavy_rain_day_25mm_count, heavy_snow_day_25mm_count, hot_day_30c_count, hot_day_35c_count, ice_day_tmax_0c_count, moderate_rain_day_10mm_count, rain_day_count, snow_day_count, very_cold_day_minus5c_count, very_heavy_rain_day_50mm_count, weather_awnd_max, weather_awnd_mean, weather_prcp_max, weather_prcp_mean, weather_prcp_station_max, weather_prcp_sum, weather_snow_max, weather_snow_mean, weather_snow_sum, weather_snwd_max, weather_snwd_mean, weather_tavg_mean, weather_tmax_max, weather_tmax_mean, weather_tmax_min, weather_tmax_station_max, weather_tmin_max, weather_tmin_mean, weather_tmin_min",True,True,False
08_final_no_shortcut_nta_fe,58,"complaint_category, boroname, complaint_count, diff_1w_count, diff_4w_count, history_weeks_available, lag_12w_count, lag_1w_count, lag_2w_count, lag_4w_count, lag_52w_count, lag_8w_count, pct_change_1w, ratio_to_12w_mean, rolling_12w_mean, rolling_12w_std, rolling_12w_sum, rolling_4w_mean, rolling_4w_std, rolling_4w_sum, is_year_end, is_year_start, iso_year, month, quarter, week_of_year, year, cold_day_0c_count, heavy_rain_day_25mm_count, heavy_snow_day_25mm_count, hot_day_30c_count, hot_day_35c_count, ice_day_tmax_0c_count, moderate_rain_day_10mm_count, rain_day_count, snow_day_count, very_cold_day_minus5c_count, very_heavy_rain_day_50mm_count, weather_awnd_max, weather_awnd_mean, weather_prcp_max, weather_prcp_mean, weather_prcp_station_max, weather_prcp_sum, weather_snow_max, weather_snow_mean, weather_snow_sum, weather_snwd_max, weather_snwd_mean, weather_tavg_mean, weather_tmax_max, weather_tmax_mean, weather_tmax_min, weather_tmax_station_max, weather_tmin_max, weather_tmin_mean, weather_tmin_min, nta2020",True,True,True
09_calendar_only,8,"complaint_category, year, month, quarter, week_of_year, iso_year, is_year_start, is_year_end",False,False,False
10_weather_only,24,"complaint_category, hot_day_30c_count, hot_day_35c_count, rain_day_count, snow_day_count, weather_awnd_max, weather_awnd_mean, weather_prcp_max, weather_prcp_mean, weather_prcp_station_max, weather_prcp_sum, weather_snow_max, weather_snow_mean, weather_snow_sum, weather_snwd_max, weather_snwd_mean, weather_tavg_mean, weather_tmax_max, weather_tmax_mean, weather_tmax_min, weather_tmax_station_max, weather_tmin_max, weather_tmin_mean, weather_tmin_min",True,False,False
11_calendar_weather_only,31,"complaint_category, year, month, quarter, week_of_year, iso_year, is_year_start, is_year_end, hot_day_30c_count, hot_day_35c_count, rain_day_count, snow_day_count, weather_awnd_max, weather_awnd_mean, weather_prcp_max, weather_prcp_mean, weather_prcp_station_max, weather_prcp_sum, weather_snow_max, weather_snow_mean, weather_snow_sum, weather_snwd_max, weather_snwd_mean, weather_tavg_mean, weather_tmax_max, weather_tmax_mean, weather_tmax_min, weather_tmax_station_max, weather_tmin_max, weather_tmin_mean, weather_tmin_min",True,False,False
