rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,target_definition,description,feature_config,split,seed,raw_feature_count,model_feature_count,fit_seconds,validation_selected_f1,contains_weather,contains_borough,contains_nta_fe,contains_osm_pluto,removed_formula_aligned_features,delta_vs_history_calendar_pr_auc,delta_vs_history_calendar_f1,delta_vs_history_calendar_precision_at_5pct,delta_vs_final_borough_pr_auc,delta_vs_final_borough_f1,delta_vs_final_borough_precision_at_5pct,delta_vs_final_nta_pr_auc,delta_vs_final_nta_f1,delta_vs_final_nta_precision_at_5pct
124974,13715,0.10974282650791364,0.32317137521511624,56238,0.4499975995006961,0.16271915786478894,0.6672256653299308,0.2616328106014038,0.1848165112118865,0.676107896052039,0.3256,0.23523763802208353,0.20331253000480076,0.13479850752635109,T2_min_count_3,T0 AND count_t+1 >= 3,01_history_lags_only,validation,42,8,16,8.295036792755127,0.2616328106014038,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.09058432811429099,-0.08201362281570956,-0.1280204832773244,-0.10903613993390407,-0.09946848712110495,-0.15538486157785247,-0.11025208133888051,-0.10017257644057631,-0.15714514322291567
122616,13562,0.11060546747569648,0.32317137521511624,55496,0.452599986951132,0.16626423526019893,0.6803568795162955,0.267224651742014,0.18570140845276123,0.6801513822320089,0.31295843520782396,0.23813407274506607,0.20510520306638394,0.13497184203903678,T2_min_count_3,T0 AND count_t+1 >= 3,01_history_lags_only,test,42,8,16,8.295036792755127,0.2616328106014038,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.10040428752329855,-0.07733167299052218,-0.14222802152992983,-0.13081376576580794,-0.09402558012591405,-0.17990539879301906,-0.13299966602751967,-0.09614356900013638,-0.18333061490784539
124974,13715,0.10974282650791364,0.4252337490411668,33743,0.2700001600332869,0.22167560679251994,0.5453882610280715,0.31522609465211343,0.24643277784912723,0.739834115243941,0.4304,0.32869259081453034,0.28324531925108015,0.13792041923665807,T2_min_count_3,T0 AND count_t+1 >= 3,02_history_current_count,validation,42,9,17,8.828923463821411,0.31522609465211343,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.02896806147705025,-0.02842033876499994,-0.034565530484877593,-0.047419873296663334,-0.04587520307039533,-0.06192990878540566,-0.048635814701639773,-0.04657929238986669,-0.06369019043046886
122616,13562,0.11060546747569648,0.4252337490411668,33172,0.2705356560318392,0.22353189436874474,0.5467482672172246,0.3173278555227457,0.25283128419056167,0.7429167691904368,0.43276283618581907,0.33828086772141575,0.2892676561735443,0.13792422307366398,T2_min_count_3,T0 AND count_t+1 >= 3,02_history_current_count,test,42,9,17,8.828923463821411,0.31522609465211343,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.033274411785498115,-0.02722846920979044,-0.04208122655358015,-0.0636838900280075,-0.04392237634518231,-0.07975860381666938,-0.06586979028971923,-0.04604036521940463,-0.0831838199314957
124974,13715,0.10974282650791364,0.546608187604144,31244,0.2500040008321731,0.2472474715145308,0.5632519139628145,0.3436464334171134,0.2754008393261775,0.7671151966874271,0.4688,0.36325812129940793,0.31701072171547445,0.17498761172010466,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,validation,42,16,24,11.358013391494751,0.3436464334171134,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.0,0.0,0.0,-0.018451811819613084,-0.01745486430539539,-0.02736437830052807,-0.019667753224589524,-0.018158953624866747,-0.02912465994559127
122616,13562,0.11060546747569648,0.546608187604144,30930,0.25225092973184576,0.2478176527643065,0.5651821265300103,0.34455632473253617,0.2861056959760598,0.7696264549929301,0.49225753871230643,0.3803620942749959,0.32294894796933615,0.17557823332873754,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,test,42,16,24,11.358013391494751,0.3436464334171134,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.0,0.0,0.0,-0.03040947824250939,-0.016693907135391872,-0.03767737726308923,-0.03259537850422112,-0.018811896009614193,-0.04110259337791555
124974,13715,0.10974282650791364,0.6,25941,0.2075711748043593,0.26490883157935313,0.5010572366022603,0.34658059310066575,0.27378513312566427,0.7682158239144544,0.4248,0.3638982237157945,0.3197311569851176,0.1857438624780085,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,validation,42,39,47,14.866494417190552,0.34658059310066575,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.0016157062005132117,0.002934159683552373,0.0006401024163865676,-0.020067518020126296,-0.014520704621843017,-0.026724275884141502,-0.021283459425102735,-0.015224793941314374,-0.0284845575292047
122616,13562,0.11060546747569648,0.6,27741,0.2262429046780192,0.2632925994016077,0.5385636336823477,0.35367890952231074,0.29549083735063,0.7758220092860268,0.5118174409127955,0.3886804762681455,0.3319197520795955,0.1908023183782232,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,test,42,39,47,14.866494417190552,0.34658059310066575,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.009385141374570194,0.009122584789774568,0.008318381993149604,-0.021024336867939197,-0.007571322345617304,-0.029358995269939625,-0.023210237129650924,-0.009689311219839625,-0.03278421138476595
124974,13715,0.10974282650791364,0.59,25846,0.20681101669147184,0.26387061827748975,0.4972657674079475,0.34478400444882584,0.2721570097209495,0.7677879120943252,0.4128,0.36501840294447113,0.3150904144663146,0.1806207429508681,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,validation,42,40,52,15.33848524093628,0.34478400444882584,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.0032438296052279547,0.0011375710317124699,0.0017602816450631997,-0.02169564142484104,-0.01631729327368292,-0.02560409665546487,-0.02291158282981748,-0.017021382593154277,-0.02736437830052807
122616,13562,0.11060546747569648,0.59,27178,0.2216513342467541,0.2643314445507396,0.5297153812122106,0.35267550319096713,0.2987081979464966,0.7774059361204161,0.5191524042379788,0.3917794813244169,0.3327352797259827,0.18474197941156698,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,test,42,40,52,15.33848524093628,0.34478400444882584,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.01260250197043683,0.008119178458430965,0.011417387049421024,-0.01780697627207256,-0.008574728676960908,-0.026259990213668205,-0.019992876533784287,-0.010692717551183228,-0.02968520632849453
