rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,target_definition,description,feature_config,split,seed,raw_feature_count,model_feature_count,fit_seconds,validation_selected_f1,contains_weather,contains_borough,contains_nta_fe,contains_osm_pluto,removed_formula_aligned_features
124974,13715,0.10974282650791364,0.546608187604144,31244,0.2500040008321731,0.2472474715145308,0.5632519139628145,0.3436464334171134,0.2754008393261775,0.7671151966874271,0.4688,0.36325812129940793,0.31701072171547445,0.17498761172010466,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,validation,42,16,24,11.418018579483032,0.3436464334171134,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.546608187604144,30930,0.25225092973184576,0.2478176527643065,0.5651821265300103,0.34455632473253617,0.2861056959760598,0.7696264549929301,0.49225753871230643,0.3803620942749959,0.32294894796933615,0.17557823332873754,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,test,42,16,24,11.418018579483032,0.3436464334171134,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.6,25941,0.2075711748043593,0.26490883157935313,0.5010572366022603,0.34658059310066575,0.27378513312566427,0.7682158239144544,0.4248,0.3638982237157945,0.3197311569851176,0.1857438624780085,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,validation,42,39,47,14.737746000289917,0.34658059310066575,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.6,27741,0.2262429046780192,0.2632925994016077,0.5385636336823477,0.35367890952231074,0.29549083735063,0.7758220092860268,0.5118174409127955,0.3886804762681455,0.3319197520795955,0.1908023183782232,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,test,42,39,47,14.737746000289917,0.34658059310066575,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.59,25846,0.20681101669147184,0.26387061827748975,0.4972657674079475,0.34478400444882584,0.2721570097209495,0.7677879120943252,0.4128,0.36501840294447113,0.3150904144663146,0.1806207429508681,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,validation,42,40,52,13.296445608139038,0.34478400444882584,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.59,27178,0.2216513342467541,0.2643314445507396,0.5297153812122106,0.35267550319096713,0.2987081979464966,0.7774059361204161,0.5191524042379788,0.3917794813244169,0.3327352797259827,0.18474197941156698,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,test,42,40,52,13.296445608139038,0.34478400444882584,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5949511389355743,26245,0.21000368076559925,0.26496475519146506,0.5070360918702151,0.34804804804804806,0.2758848600293595,0.7702686024209106,0.4352,0.3643783005280845,0.31821091374619936,0.18570106870747768,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,validation,42,40,309,14.461463212966919,0.34804804804804806,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5949511389355743,26830,0.21881320545442684,0.26574729780096906,0.5257336676006489,0.35304020598138247,0.2990876917674409,0.7761758929342251,0.530562347188264,0.3925950089708041,0.33167509378567933,0.18800977406257788,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,test,42,40,309,14.461463212966919,0.34804804804804806,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5451719983738332,28744,0.22999983996671308,0.2666991372112441,0.5589500546846519,0.36110129772250876,0.29385265114579057,0.7805600403536972,0.488,0.390622499599936,0.33637381981116976,0.16438277302533594,T2_min_count_3,T0 AND count_t+1 >= 3,07_final_no_shortcut_borough,validation,42,57,69,21.793914556503296,0.36110129772250876,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5451719983738332,29566,0.24112676975272396,0.26347831969153757,0.5743990561864032,0.36125023186792804,0.3165151742185692,0.7854748927678601,0.5696821515892421,0.41803947153808513,0.3514108628282499,0.1675938103203304,T2_min_count_3,T0 AND count_t+1 >= 3,07_final_no_shortcut_borough,test,42,57,69,21.793914556503296,0.36110129772250876,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
