target_definition,calibration_method,fold_id,cluster_unit,clusters,n_bootstrap,metric,observed,boot_mean,ci_lower,ci_upper,boot_std
T0_current_reference,uncalibrated,final_style_2025,nta_category,2358,1000,pr_auc,0.31202905458023417,0.31204445793561136,0.3036902731902571,0.3201976703739519,0.004241730313520591
T0_current_reference,uncalibrated,final_style_2025,nta_category,2358,1000,f1,0.35439063648828567,0.35432520506503135,0.34825411910597764,0.35995920761354133,0.002981718294515788
T0_current_reference,uncalibrated,final_style_2025,nta_category,2358,1000,precision,0.25763485597064517,0.2575619598609886,0.2524850156362172,0.26270656602246173,0.0025416014484552214
T0_current_reference,uncalibrated,final_style_2025,nta_category,2358,1000,recall,0.5675280040733197,0.5675783537967726,0.5583755444804157,0.5766518367180234,0.0047171518634753695
T0_current_reference,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_1pct,0.5884270578647107,0.5877848410757945,0.5590872045639772,0.6161369193154034,0.014917990188307943
T0_current_reference,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.42358505953351816,0.42416669385092154,0.4100473006034905,0.43842766269776545,0.007196818782075776
T0_current_reference,uncalibrated,final_style_2025,nta_category,2358,1000,lift_at_1pct,4.592067981615285,4.58645505689644,4.355572301240787,4.803462932364433,0.11688391278855381
T0_current_reference,uncalibrated,final_style_2025,nta_category,2358,1000,brier,0.1742247960469603,0.17427773166449206,0.1721644748719336,0.17636281311059812,0.0010918695992204804
T0_current_reference,uncalibrated,final_style_2025,nta_category,2358,1000,log_loss,0.5216387016209384,0.521752594589273,0.5168254848912037,0.5265561050055708,0.0025304274776374175
T0_current_reference,platt,final_style_2025,nta_category,2358,1000,pr_auc,0.31202905458023417,0.3120330103718198,0.3037550603083027,0.3206835290551489,0.004325739585495036
T0_current_reference,platt,final_style_2025,nta_category,2358,1000,f1,0.35439063648828567,0.35428075523886104,0.3483654600560103,0.36023799577156945,0.003056248387436976
T0_current_reference,platt,final_style_2025,nta_category,2358,1000,precision,0.25763485597064517,0.257507403527408,0.25249571294296286,0.26252857363488663,0.0025637753077241425
T0_current_reference,platt,final_style_2025,nta_category,2358,1000,recall,0.5675280040733197,0.5676163921489211,0.5571987070802223,0.5772709423331046,0.005040954257691466
T0_current_reference,platt,final_style_2025,nta_category,2358,1000,precision_at_1pct,0.5884270578647107,0.588118174409128,0.5574572127139364,0.6177872860635696,0.015446367382798778
T0_current_reference,platt,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.42358505953351816,0.42411662045343335,0.40955390637742617,0.4379424237481651,0.007324234436662878
T0_current_reference,platt,final_style_2025,nta_category,2358,1000,lift_at_1pct,4.592067981615285,4.591573497288614,4.3588631315489925,4.824007501886367,0.12237961422000547
T0_current_reference,platt,final_style_2025,nta_category,2358,1000,brier,0.10110557516058431,0.10107562115144701,0.09960150519089786,0.1025462127061242,0.0007455586183454846
T0_current_reference,platt,final_style_2025,nta_category,2358,1000,log_loss,0.33923825112603784,0.3391631268788465,0.3349227954486138,0.3432382782930096,0.002097331646674271
T0_current_reference,isotonic,final_style_2025,nta_category,2358,1000,pr_auc,0.30374307376958776,0.30380175816364907,0.29546024359865436,0.3115560353012319,0.004195009923467203
T0_current_reference,isotonic,final_style_2025,nta_category,2358,1000,f1,0.35434040187435467,0.35425751605962713,0.3482356926621429,0.3599963405593961,0.0030379581574018787
T0_current_reference,isotonic,final_style_2025,nta_category,2358,1000,precision,0.2575031744199469,0.2574424841077659,0.2523250359660254,0.2621832734916298,0.002597054550520562
T0_current_reference,isotonic,final_style_2025,nta_category,2358,1000,recall,0.5679098778004074,0.5678129992087876,0.5578513845872499,0.5767916837267637,0.0047747249903628
T0_current_reference,isotonic,final_style_2025,nta_category,2358,1000,precision_at_1pct,0.5810920945395273,0.5858223308883456,0.5549918500407498,0.6185819070904646,0.016263647619535103
T0_current_reference,isotonic,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.42358505953351816,0.4235627140760072,0.4089014842603164,0.43795057902462897,0.007314440664627663
T0_current_reference,isotonic,final_style_2025,nta_category,2358,1000,lift_at_1pct,4.5348261369691105,4.5730262800331,4.329264704247205,4.822445586239938,0.12529157482618888
T0_current_reference,isotonic,final_style_2025,nta_category,2358,1000,brier,0.10105733960957002,0.10103270329334481,0.09954255095153877,0.10259516401202425,0.0007898735381317806
T0_current_reference,isotonic,final_style_2025,nta_category,2358,1000,log_loss,0.3385858762562919,0.33851035660371837,0.3342730723592489,0.34293189478761477,0.0022415848318027482
T2_min_count_3,uncalibrated,final_style_2025,nta_category,2358,1000,pr_auc,0.3165151742185692,0.3165742538391277,0.30692858630294617,0.3266335340929829,0.004885957064001
T2_min_count_3,uncalibrated,final_style_2025,nta_category,2358,1000,f1,0.36125023186792804,0.3612262327704576,0.3547940936901765,0.36756542716851615,0.0033223838357462386
T2_min_count_3,uncalibrated,final_style_2025,nta_category,2358,1000,precision,0.26347831969153757,0.26344513140383885,0.2577186461497686,0.26911767371648915,0.00284752798809271
T2_min_count_3,uncalibrated,final_style_2025,nta_category,2358,1000,recall,0.5743990561864032,0.5744771970870856,0.5638472248358105,0.5843970860555351,0.005356143366709199
T2_min_count_3,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_1pct,0.5696821515892421,0.5721882640586797,0.5403219233903831,0.6030969845150774,0.016164530594626646
T2_min_count_3,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.41803947153808513,0.41759549828739195,0.40270755178600554,0.4327230468112869,0.007690552680934053
T2_min_count_3,uncalibrated,final_style_2025,nta_category,2358,1000,lift_at_1pct,5.150578579801394,5.176413924106312,4.88357234452138,5.469667468512436,0.1519139825984515
T2_min_count_3,uncalibrated,final_style_2025,nta_category,2358,1000,brier,0.1675938103203304,0.16757107324765882,0.16396863909396595,0.17093741089194145,0.0017740882624286646
T2_min_count_3,uncalibrated,final_style_2025,nta_category,2358,1000,log_loss,0.4928450282709206,0.49278454273858785,0.4834733191189056,0.5017232936249442,0.004663120216221042
