target_definition,fold_id,validation_year,test_year,split,calibration_method,bin_id,bin_lower,bin_upper,rows,mean_score,observed_rate,abs_gap
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,1,0.0,0.1,9147,0.05716413305301031,0.016398819285011478,0.04076531376799883
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,2,0.1,0.2,22492,0.14791889723833943,0.03570158278499022,0.1122173144533492
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,3,0.2,0.30000000000000004,14497,0.25157086235733334,0.06863488997723667,0.18293597238009668
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,4,0.30000000000000004,0.4,18276,0.3509144313834261,0.10177281680892974,0.24914161457449635
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,5,0.4,0.5,19130,0.45034901792352455,0.14192368008363826,0.3084253378398863
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,6,0.5,0.6000000000000001,16972,0.5480036234085349,0.20032995522036295,0.34767366818817197
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,7,0.6000000000000001,0.7000000000000001,12569,0.645825247994304,0.2825204869122444,0.36330476108205956
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,8,0.7000000000000001,0.8,6990,0.7429570524849141,0.4194563662374821,0.32350068624743195
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,9,0.8,0.9,2294,0.8390082422109358,0.5832606800348736,0.2557475621760622
T0_current_reference,fold_2021,2020,2021,validation,uncalibrated,10,0.9,1.0,249,0.920606221572743,0.714859437751004,0.20574678382173894
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,1,0.0,0.1,7775,0.061307668923615444,0.014405144694533762,0.046902524229081685
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,2,0.1,0.2,21375,0.1490534832150029,0.03686549707602339,0.1121879861389795
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,3,0.2,0.30000000000000004,15422,0.2514015939947414,0.06951108805602386,0.18189050593871753
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,4,0.30000000000000004,0.4,19108,0.3513675966533298,0.09655641616077036,0.2548111804925594
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,5,0.4,0.5,19715,0.4499508769939487,0.13030687293938625,0.31964400405456245
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,6,0.5,0.6000000000000001,17260,0.5478940602416612,0.18516801853997683,0.3627260417016844
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,7,0.6000000000000001,0.7000000000000001,12335,0.6462351065121154,0.25042561815970815,0.3958094883524072
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,8,0.7000000000000001,0.8,6745,0.7431560638679411,0.34603409933283913,0.39712196453510196
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,9,0.8,0.9,2583,0.8413481074218294,0.4754161827332559,0.3659319246885735
T0_current_reference,fold_2021,2020,2021,test,uncalibrated,10,0.9,1.0,298,0.919310119103017,0.587248322147651,0.332061796955366
T0_current_reference,fold_2021,2020,2021,validation,platt,1,0.0,0.1,58821,0.0505624109108414,0.05348429982489247,0.0029218889140510754
T0_current_reference,fold_2021,2020,2021,validation,platt,2,0.1,0.2,31165,0.1452118802835218,0.1458045884806674,0.0005927081971456027
T0_current_reference,fold_2021,2020,2021,validation,platt,3,0.2,0.30000000000000004,16917,0.245753872482148,0.2281137317491281,0.017640140733019893
T0_current_reference,fold_2021,2020,2021,validation,platt,4,0.30000000000000004,0.4,9247,0.3452230557657201,0.33394614469557693,0.01127691107014317
T0_current_reference,fold_2021,2020,2021,validation,platt,5,0.4,0.5,4523,0.44269831631584067,0.4618615962856511,0.01916327996981043
T0_current_reference,fold_2021,2020,2021,validation,platt,6,0.5,0.6000000000000001,1684,0.5406839421331174,0.5991686460807601,0.05848470394764271
T0_current_reference,fold_2021,2020,2021,validation,platt,7,0.6000000000000001,0.7000000000000001,259,0.6242309918480219,0.722007722007722,0.09777673015970012
T0_current_reference,fold_2021,2020,2021,validation,platt,8,0.7000000000000001,0.8,0,,,
T0_current_reference,fold_2021,2020,2021,validation,platt,9,0.8,0.9,0,,,
T0_current_reference,fold_2021,2020,2021,validation,platt,10,0.9,1.0,0,,,
T0_current_reference,fold_2021,2020,2021,test,platt,1,0.0,0.1,57736,0.052062451701258665,0.055320770403214634,0.0032583187019559687
T0_current_reference,fold_2021,2020,2021,test,platt,2,0.1,0.2,32106,0.14455772099847172,0.13224942378371643,0.012308297214755293
T0_current_reference,fold_2021,2020,2021,test,platt,3,0.2,0.30000000000000004,17004,0.24477642803072452,0.21118560338743825,0.03359082464328628
T0_current_reference,fold_2021,2020,2021,test,platt,4,0.30000000000000004,0.4,9112,0.34522193592785594,0.28050921861281825,0.0647127173150377
T0_current_reference,fold_2021,2020,2021,test,platt,5,0.4,0.5,4400,0.4434116668035325,0.38931818181818184,0.05409348498535066
T0_current_reference,fold_2021,2020,2021,test,platt,6,0.5,0.6000000000000001,1943,0.5429426725740419,0.4750386001029336,0.06790407247110836
T0_current_reference,fold_2021,2020,2021,test,platt,7,0.6000000000000001,0.7000000000000001,315,0.6224579457576687,0.5873015873015873,0.03515635845608134
T0_current_reference,fold_2021,2020,2021,test,platt,8,0.7000000000000001,0.8,0,,,
T0_current_reference,fold_2021,2020,2021,test,platt,9,0.8,0.9,0,,,
T0_current_reference,fold_2021,2020,2021,test,platt,10,0.9,1.0,0,,,
T0_current_reference,fold_2021,2020,2021,validation,isotonic,1,0.0,0.1,57150,0.051478565564304454,0.05147856517935258,3.849518759313497e-10
T0_current_reference,fold_2021,2020,2021,validation,isotonic,2,0.1,0.2,32494,0.14301101741860037,0.14301101741860037,0.0
T0_current_reference,fold_2021,2020,2021,validation,isotonic,3,0.2,0.30000000000000004,18878,0.2327577073842568,0.2327577073842568,0.0
T0_current_reference,fold_2021,2020,2021,validation,isotonic,4,0.30000000000000004,0.4,6903,0.3408662900188324,0.3408662900188324,0.0
