complaint_type,complaint_count,share_of_other_requests
Encampment,191408,0.4333949208419375
Drug Activity,93873,0.21255162482338877
Animal in a Park,29914,0.0677326739847118
Vending,27575,0.06243660109408398
Electronics Waste,26487,0.05997310074991849
Miscellaneous Categories,13752,0.031137919791327028
Unleashed Dog,11718,0.026532442125855885
DOF Property - Payment Issue,11414,0.025844111147339057
DRIE,4023,0.009109064232148679
Storm,3003,0.006799532659493533
Posting Advertisement,2745,0.006215357026410173
DPR Internal,2520,0.005705901532442126
Uprooted Stump,2343,0.0053051298771872625
Adopt-A-Basket,2313,0.005237202477991523
Private or Charter School Reopening,2099,0.004752653697061913
Face Covering Violation,1798,0.00407111545846466
Facades,1769,0.004005452305908778
LinkNYC,1406,0.003183530775640329
Quality of Life,1324,0.002997862551171974
Executive Inspections,1289,0.0029186139187769447
Pet Shop,1281,0.0029004999456580804
Cannabis Retailer,1111,0.002515578016882223
Illegal Animal Sold,817,0.001849889504763975
AHV Inspection Unit,749,0.001695920733253632
Special Natural Area District (SNAD),743,0.001682335253414484
Special Operations,440,0.000996268521537514
FATF,435,0.000984947288338224
Incorrect Data,356,0.0008060718037894432
Lifeguard,259,0.0005864398797232184
Squeegee,244,0.0005524761801253487
Cooling Tower,231,0.0005230409738071948
X-Ray Machine/Equipment,204,0.00046190631453102925
Pet Sale,189,0.00042794261493315946
Dept of Investigations,186,0.00042114987501358546
FCST,180,0.00040756439517443757
Literature Request,161,0.0003645437090171358
Bench,156,0.0003532224758178459
Radioactive Material,134,0.00030340904974097017
Tobacco or Non-Tobacco Sale,123,0.0002785023367025323
Forensic Engineering,78,0.00017661123790892294
ATF,73,0.000165290004709633
Transportation Provider Complaint,58,0.00013132630511176322
Tanning,55,0.00012453356519218924
Retailer Complaint,53,0.00012000507191247328
Stalled Sites,51,0.00011547657863275731
Unspecified,42,9.509835887403543e-05
Single Occupancy Bathroom,39,8.830561895446147e-05
Transfer Station Complaint,39,8.830561895446147e-05
Wayfinding,32,7.245589247545557e-05
DOF Property - Reduction Issue,28,6.339890591602363e-05
Oil or Gas Spill,27,6.113465927616563e-05
Taxpayer Advocate Inquiry,23,5.207767271673369e-05
Ferry Inquiry,23,5.207767271673369e-05
Internal Code,22,4.9813426076875705e-05
SRDE,22,4.9813426076875705e-05
Ferry Complaint,21,4.7549179437017716e-05
Interior Demo,20,4.528493279715973e-05
Fire Alarm - Reinspection,16,3.6227946237727784e-05
Advocate-Commercial Exemptions,13,2.9435206318153824e-05
Advocate - Lien,13,2.9435206318153824e-05
DSNY Internal,13,2.9435206318153824e-05
ZTESTINT,12,2.7170959678295838e-05
SNW,12,2.7170959678295838e-05
Trans Fat,11,2.4906713038437852e-05
Fire Alarm - New System,9,2.0378219758721878e-05
Leaning Bar,9,2.0378219758721878e-05
Rangehood,9,2.0378219758721878e-05
Advocate-Business Tax,8,1.8113973118863892e-05
VACANT APARTMENT,6,1.3585479839147919e-05
AGENCY,6,1.3585479839147919e-05
Employee Behavior,6,1.3585479839147919e-05
Fire Alarm - Modification,4,9.056986559431946e-06
SRGOVG,4,9.056986559431946e-06
Sprinkler - Mechanical,3,6.7927399195739595e-06
Advocate - Levy,2,4.528493279715973e-06
Homebound Evacuation 4,2,4.528493279715973e-06
Gas Station Discharge Lines,2,4.528493279715973e-06
ZSYSTEST,2,4.528493279715973e-06
Advocate-Foreclosure,1,2.2642466398579865e-06
Advocate - Other,1,2.2642466398579865e-06
Advocate-UBT,1,2.2642466398579865e-06
Advocate-Personal Exemptions,1,2.2642466398579865e-06
MSOTHER,1,2.2642466398579865e-06
Injured Wildlife,1,2.2642466398579865e-06
Illegal Animal - Sold/Kept,1,2.2642466398579865e-06
Ferry Permit,1,2.2642466398579865e-06
