year,complaint_category,complaint_count,year_total,category_share
2014,environment,237,16661,0.014224836444391093
2014,housing,6866,16661,0.41210011403877317
2014,infrastructure,1196,16661,0.07178440669827742
2014,noise,3915,16661,0.23497989316367565
2014,other,39,16661,0.0023407958705960025
2014,parking_traffic,2401,16661,0.14410899705900007
2014,public_safety,396,16661,0.02376808114759018
2014,sanitation,987,16661,0.059240141648160376
2014,water_sewer,624,16661,0.03745273392953604
2015,environment,51255,2083727,0.02459775200878042
2015,housing,721086,2083727,0.3460558892791618
2015,infrastructure,283475,2083727,0.13604229344823002
2015,noise,383220,2083727,0.18391084820612297
2015,other,11830,2083727,0.005677327212249973
2015,parking_traffic,304716,2083727,0.14623604723651418
2015,public_safety,66637,2083727,0.03197971711265439
2015,sanitation,142777,2083727,0.06852001245844586
2015,water_sewer,118731,2083727,0.05698011303784037
2016,environment,58605,2183838,0.026835781775021772
2016,housing,704910,2183838,0.3227849318493405
2016,infrastructure,245886,2183838,0.11259351655205194
2016,noise,415256,2183838,0.19014963564147158
2016,other,18538,2183838,0.00848872489626062
2016,parking_traffic,361128,2183838,0.16536391435628467
2016,public_safety,108616,2183838,0.04973628996290018
2016,sanitation,152964,2183838,0.07004365708445406
2016,water_sewer,117935,2183838,0.0540035478822147
2017,environment,58095,2292114,0.02534559799381706
2017,housing,682776,2292114,0.29788047191370065
2017,infrastructure,255770,2292114,0.11158694550096548
2017,noise,443013,2292114,0.19327703595894444
2017,other,29863,2292114,0.013028584093112297
2017,parking_traffic,396114,2292114,0.17281601176904815
2017,public_safety,91995,2292114,0.04013543828971857
2017,sanitation,225186,2292114,0.09824380462751853
2017,water_sewer,109302,2292114,0.04768610985317484
2018,environment,55274,2594234,0.021306481990444964
2018,housing,738129,2594234,0.284526762042283
2018,infrastructure,282072,2594234,0.10873036125499859
2018,noise,441647,2594234,0.17024177464330512
2018,other,31963,2594234,0.01232078524913327
2018,parking_traffic,433016,2594234,0.16691478101050253
2018,public_safety,88167,2594234,0.03398575456184754
2018,sanitation,394114,2594234,0.1519192177729534
2018,water_sewer,129852,2594234,0.050054081474531595
2019,environment,53101,2485837,0.021361416697876813
2019,housing,592706,2485837,0.23843317160376967
2019,infrastructure,245387,2485837,0.0987140347496638
2019,noise,471182,2485837,0.1895466195088415
2019,other,14512,2485837,0.005837872716513592
2019,parking_traffic,485958,2485837,0.1954906938789631
2019,public_safety,90660,2485837,0.036470613318572376
2019,sanitation,421002,2485837,0.16936025974349886
2019,water_sewer,111329,2485837,0.044785317782300285
2020,environment,44869,2850971,0.015738146757718684
2020,housing,522834,2850971,0.18338804568689054
2020,infrastructure,246763,2850971,0.0865540196655806
2020,noise,797904,2850971,0.27987096326128885
2020,other,13549,2850971,0.004752415931273941
2020,parking_traffic,427707,2850971,0.1500215189842338
2020,public_safety,292846,2850971,0.10271798625801525
2020,sanitation,414912,2850971,0.14553357435063352
2020,water_sewer,89587,2850971,0.031423329104364794
2021,environment,60124,3143769,0.019124814832133023
2021,housing,679812,3143769,0.2162410787815517
2021,infrastructure,208112,3143769,0.06619824802649305
2021,noise,764027,3143769,0.243028988453032
2021,other,42851,3143769,0.013630454400434637
2021,parking_traffic,628050,3143769,0.19977612858960056
2021,public_safety,167105,3143769,0.05315435071724418
2021,sanitation,486204,3143769,0.15465640128139185
2021,water_sewer,107484,3143769,0.034189534918118984
2022,environment,63516,3112095,0.02040940266926299
2022,housing,779650,3112095,0.25052255795533235
2022,infrastructure,239222,3112095,0.07686847605873214
2022,noise,734790,3112095,0.23610783089847837
2022,other,58605,3112095,0.01883136600907106
2022,parking_traffic,761991,3112095,0.24484824531384808
2022,public_safety,137134,3112095,0.044064850205408256
2022,sanitation,232915,3112095,0.07484186697385524
2022,water_sewer,104272,3112095,0.03350540391601156
2023,environment,65385,3169361,0.02063034157358534
2023,housing,820547,3169361,0.25889982239322057
2023,infrastructure,216588,3169361,0.06833806562269176
2023,noise,679600,3169361,0.21442808187517926
2023,other,60976,3169361,0.019239209417923675
2023,parking_traffic,852092,3169361,0.2688529328151637
2023,public_safety,166964,3169361,0.05268065076840411
2023,sanitation,209832,3169361,0.06620640564454475
2023,water_sewer,97377,3169361,0.030724489889286832
2024,environment,62278,3464280,0.01797718429226275
2024,housing,905339,3464280,0.2613354001408662
2024,infrastructure,230906,3464280,0.06665338829424873
2024,noise,774998,3464280,0.22371113189465056
2024,other,74594,3464280,0.02153232417702957
2024,parking_traffic,910841,3464280,0.26292360894615907
2024,public_safety,196498,3464280,0.05672116572563419
2024,sanitation,200307,3464280,0.057820672693893106
2024,water_sewer,108519,3464280,0.03132512383525581
2025,environment,54191,3543242,0.015294185381636365
2025,housing,907307,3543242,0.2560669014422385
2025,infrastructure,217748,3543242,0.06145445329446874
2025,noise,804370,3543242,0.22701525890695584
2025,other,84328,3543242,0.023799672729099507
2025,parking_traffic,957665,3543242,0.27027930917504367
2025,public_safety,190005,3543242,0.05362461835798966
2025,sanitation,209701,3543242,0.05918336935495797
2025,water_sewer,117927,3543242,0.033282231357609784
