complaint_type,2015-2019,2020-2025,presence
Derelict Vehicle,141360.0,0.0,2015-2019_only
Broken Muni Meter,55564.0,0.0,2015-2019_only
Animal Abuse,42063.0,0.0,2015-2019_only
DOF Property - Payment Issue,11414.0,0.0,2015-2019_only
Dead Tree,10654.0,0.0,2015-2019_only
Construction,7009.0,0.0,2015-2019_only
DRIE,4023.0,0.0,2015-2019_only
DPR Internal,2523.0,0.0,2015-2019_only
Senior Center Complaint,1289.0,0.0,2015-2019_only
Request Xmas Tree Collection,1265.0,0.0,2015-2019_only
City Vehicle Placard Complaint,741.0,0.0,2015-2019_only
FATF,435.0,0.0,2015-2019_only
FCST,180.0,0.0,2015-2019_only
Literature Request,161.0,0.0,2015-2019_only
ATF,73.0,0.0,2015-2019_only
Transportation Provider Complaint,58.0,0.0,2015-2019_only
OEM Disabled Vehicle,43.0,0.0,2015-2019_only
Legal Services Provider Complaint,42.0,0.0,2015-2019_only
Single Occupancy Bathroom,39.0,0.0,2015-2019_only
DOF Property - Reduction Issue,28.0,0.0,2015-2019_only
Taxpayer Advocate Inquiry,23.0,0.0,2015-2019_only
Interior Demo,20.0,0.0,2015-2019_only
Special Enforcement,17.0,0.0,2015-2019_only
Fire Alarm - Reinspection,16.0,0.0,2015-2019_only
Advocate - Lien,13.0,0.0,2015-2019_only
Advocate-Commercial Exemptions,13.0,0.0,2015-2019_only
Public Assembly,11.0,0.0,2015-2019_only
Fire Alarm - New System,9.0,0.0,2015-2019_only
Rangehood,9.0,0.0,2015-2019_only
Advocate-Business Tax,8.0,0.0,2015-2019_only
AGENCY,6.0,0.0,2015-2019_only
VACANT APARTMENT,6.0,0.0,2015-2019_only
Fire Alarm - Modification,4.0,0.0,2015-2019_only
Highway Sign - Missing,4.0,0.0,2015-2019_only
Sprinkler - Mechanical,3.0,0.0,2015-2019_only
Advocate - Levy,2.0,0.0,2015-2019_only
Gas Station Discharge Lines,2.0,0.0,2015-2019_only
Hazmat Storage/Use,2.0,0.0,2015-2019_only
Homebound Evacuation 4,2.0,0.0,2015-2019_only
ZSYSTEST,2.0,0.0,2015-2019_only
Advocate - Other,1.0,0.0,2015-2019_only
Advocate-Foreclosure,1.0,0.0,2015-2019_only
Advocate-Personal Exemptions,1.0,0.0,2015-2019_only
Advocate-UBT,1.0,0.0,2015-2019_only
Asbestos/Garbage Nuisance,1.0,0.0,2015-2019_only
Ferry Permit,1.0,0.0,2015-2019_only
Fire Alarm - Replacement,1.0,0.0,2015-2019_only
Illegal Animal - Sold/Kept,1.0,0.0,2015-2019_only
Injured Wildlife,1.0,0.0,2015-2019_only
LEAD,1.0,0.0,2015-2019_only
MSOTHER,1.0,0.0,2015-2019_only
Open Flame Permit,1.0,0.0,2015-2019_only
Public Assembly - Temporary,1.0,0.0,2015-2019_only
Request Changes - A.S.P.,1.0,0.0,2015-2019_only
Trapping Pigeon,1.0,0.0,2015-2019_only
Encampment,0.0,191488.0,2020-2025_only
Illegal Dumping,0.0,146291.0,2020-2025_only
Obstruction,0.0,69877.0,2020-2025_only
Vendor Enforcement,0.0,68689.0,2020-2025_only
NonCompliance with Phased Reopening,0.0,66296.0,2020-2025_only
Residential Disposal Complaint,0.0,51551.0,2020-2025_only
Dead Animal,0.0,41937.0,2020-2025_only
Street Sweeping Complaint,0.0,31817.0,2020-2025_only
Outdoor Dining,0.0,30053.0,2020-2025_only
Real Time Enforcement,0.0,28481.0,2020-2025_only
Snow or Ice,0.0,27461.0,2020-2025_only
Illegal Posting,0.0,16929.0,2020-2025_only
Homeless Street Condition,0.0,15449.0,2020-2025_only
Litter Basket Request,0.0,15238.0,2020-2025_only
Sanitation Worker or Vehicle Complaint,0.0,12555.0,2020-2025_only
Commercial Disposal Complaint,0.0,10683.0,2020-2025_only
Smoking or Vaping,0.0,10030.0,2020-2025_only
Abandoned Bike,0.0,8791.0,2020-2025_only
Dumpster Complaint,0.0,7714.0,2020-2025_only
Lot Condition,0.0,7697.0,2020-2025_only
Vaccine Mandate Non-Compliance,0.0,7399.0,2020-2025_only
COVID-19 Non-essential Construction,0.0,7314.0,2020-2025_only
Litter Basket Complaint,0.0,6158.0,2020-2025_only
Mass Gathering Complaint,0.0,3647.0,2020-2025_only
Wood Pile Remaining,0.0,3433.0,2020-2025_only
Storm,0.0,3003.0,2020-2025_only
Sewer Maintenance,0.0,2777.0,2020-2025_only
Uprooted Stump,0.0,2343.0,2020-2025_only
Paint/Plaster,0.0,2187.0,2020-2025_only
Private or Charter School Reopening,0.0,2100.0,2020-2025_only
E-Scooter,0.0,1866.0,2020-2025_only
Heat/Hot Water,0.0,1814.0,2020-2025_only
Face Covering Violation,0.0,1798.0,2020-2025_only
Door/Window,0.0,1258.0,2020-2025_only
Cannabis Retailer,0.0,1111.0,2020-2025_only
Seasonal Collection,0.0,789.0,2020-2025_only
Bike Rack,0.0,754.0,2020-2025_only
AHV Inspection Unit,0.0,749.0,2020-2025_only
Flooring/Stairs,0.0,695.0,2020-2025_only
Water Maintenance,0.0,382.0,2020-2025_only
Recycling Basket Complaint,0.0,372.0,2020-2025_only
Incorrect Data,0.0,356.0,2020-2025_only
Institution Disposal Complaint,0.0,241.0,2020-2025_only
Private School Vaccine Mandate Non-Compliance,0.0,219.0,2020-2025_only
Building Drinking Water Tank,0.0,216.0,2020-2025_only
Pet Sale,0.0,189.0,2020-2025_only
Bench,0.0,156.0,2020-2025_only
Water Drainage,0.0,136.0,2020-2025_only
Bike/Roller/Skate,0.0,130.0,2020-2025_only
Tobacco or Non-Tobacco Sale,0.0,123.0,2020-2025_only
Unstable Building,0.0,85.0,2020-2025_only
Retailer Complaint,0.0,53.0,2020-2025_only
Unspecified,0.0,42.0,2020-2025_only
Boiler,0.0,41.0,2020-2025_only
Transfer Station Complaint,0.0,39.0,2020-2025_only
Wayfinding,0.0,32.0,2020-2025_only
Oil or Gas Spill,0.0,27.0,2020-2025_only
DSNY Internal,0.0,13.0,2020-2025_only
SNW,0.0,12.0,2020-2025_only
Leaning Bar,0.0,9.0,2020-2025_only
Building Marshal's Office,0.0,7.0,2020-2025_only
DEP Highway Condition,0.0,5.0,2020-2025_only
DOB Posted Notice or Order,0.0,5.0,2020-2025_only
DSNY Spillage,0.0,4.0,2020-2025_only
Facade Insp Safety Pgm,0.0,2.0,2020-2025_only
ASBESTOS,0.0,1.0,2020-2025_only
Change Collection Schedule,0.0,1.0,2020-2025_only
Tunnel Condition,0.0,1.0,2020-2025_only
Illegal Parking,713867.0,2460658.0,both
Noise - Residential,1105440.0,2282609.0,both
HEAT/HOT WATER,1096539.0,1439052.0,both
Noise - Street/Sidewalk,353361.0,1020121.0,both
Blocked Driveway,628959.0,933169.0,both
Request Large Bulky Item Collection,440353.0,632078.0,both
UNSANITARY CONDITION,386602.0,605704.0,both
Noise - Vehicle,147464.0,370461.0,both
Water System,341765.0,361610.0,both
Noise - Commercial,224626.0,358215.0,both
Abandoned Vehicle,23460.0,344127.0,both
PLUMBING,247067.0,343363.0,both
Street Condition,477795.0,322886.0,both
PAINT/PLASTER,280735.0,320020.0,both
Noise,288763.0,298424.0,both
Derelict Vehicles,151706.0,244155.0,both
DOOR/WINDOW,175102.0,238704.0,both
Dirty Condition,2.0,222790.0,both
Street Light Condition,250801.0,222535.0,both
WATER LEAK,163513.0,220726.0,both
Missed Collection,7.0,220153.0,both
Rodent,158797.0,218766.0,both
General Construction/Plumbing,174640.0,216765.0,both
Homeless Person Assistance,114404.0,211579.0,both
Damaged Tree,128253.0,209723.0,both
Traffic Signal Condition,119048.0,202283.0,both
Non-Emergency Police Matter,44737.0,188848.0,both
Sewer,161533.0,170997.0,both
Noise - Helicopter,7546.0,170829.0,both
GENERAL,122763.0,166957.0,both
ELECTRIC,128659.0,154861.0,both
Sidewalk Condition,153418.0,145901.0,both
FLOORING/STAIRS,115777.0,140345.0,both
Consumer Complaint,78840.0,136278.0,both
Maintenance or Facility,22908.0,121156.0,both
APPLIANCE,61637.0,118146.0,both
Overgrown Tree/Branches,71112.0,113906.0,both
Building/Use,132508.0,111542.0,both
Illegal Fireworks,1745.0,111013.0,both
Elevator,66524.0,103640.0,both
New Tree Request,87437.0,92585.0,both
For Hire Vehicle Complaint,45661.0,90030.0,both
