year,complaint_type,rows,period
2015,HEAT/HOT WATER,225665,2015-2019
2015,Noise - Residential,206460,2015-2019
2015,Street Condition,118597,2015-2019
2015,Blocked Driveway,100503,2015-2019
2015,Illegal Parking,91103,2015-2019
2015,UNSANITARY CONDITION,82866,2015-2019
2015,PAINT/PLASTER,69684,2015-2019
2015,Water System,69447,2015-2019
2015,Street Light Condition,58691,2015-2019
2015,Noise,56685,2015-2019
2015,PLUMBING,55403,2015-2019
2015,Noise - Street/Sidewalk,50837,2015-2019
2015,Noise - Commercial,43655,2015-2019
2015,DOOR/WINDOW,39995,2015-2019
2015,WATER LEAK,35561,2015-2019
2015,Dirty Conditions,33805,2015-2019
2015,Sanitation Condition,31226,2015-2019
2015,Sewer,30852,2015-2019
2015,ELECTRIC,30118,2015-2019
2015,General Construction/Plumbing,30110,2015-2019
2015,Rodent,29208,2015-2019
2015,FLOORING/STAIRS,27811,2015-2019
2015,GENERAL,26752,2015-2019
2015,Sidewalk Condition,26608,2015-2019
2015,Traffic Signal Condition,25572,2015-2019
2015,Missed Collection (All Materials),25262,2015-2019
2015,Building/Use,24946,2015-2019
2015,Broken Muni Meter,22437,2015-2019
2015,Derelict Vehicle,21432,2015-2019
2015,Noise - Vehicle,19127,2015-2019
2015,Derelict Vehicles,18834,2015-2019
2015,Damaged Tree,17645,2015-2019
2015,Consumer Complaint,17035,2015-2019
2015,Taxi Complaint,16867,2015-2019
2015,Overgrown Tree/Branches,15040,2015-2019
2015,New Tree Request,14890,2015-2019
2015,Graffiti,13389,2015-2019
2015,Snow,12698,2015-2019
2015,APPLIANCE,11232,2015-2019
2015,Animal Abuse,10503,2015-2019
2015,Dead Tree,10312,2015-2019
2015,Root/Sewer/Sidewalk Condition,9951,2015-2019
2015,SAFETY,9847,2015-2019
2015,Food Establishment,9588,2015-2019
2015,Elevator,9572,2015-2019
2015,Air Quality,8387,2015-2019
2015,Non-Emergency Police Matter,7469,2015-2019
2015,Construction,7005,2015-2019
2015,Other Enforcement,6381,2015-2019
2015,Homeless Person Assistance,6296,2015-2019
2015,Street Sign - Damaged,5978,2015-2019
2015,Water Conservation,5970,2015-2019
2015,Traffic,5170,2015-2019
2015,Homeless Encampment,4830,2015-2019
2015,Street Sign - Missing,4809,2015-2019
2015,Indoor Air Quality,4797,2015-2019
2015,Highway Condition,4686,2015-2019
2015,Plumbing,4587,2015-2019
2015,Curb Condition,4426,2015-2019
2015,Vending,4165,2015-2019
2015,Noise - Park,3996,2015-2019
2015,Miscellaneous Categories,3994,2015-2019
2015,For Hire Vehicle Complaint,3884,2015-2019
2015,Emergency Response Team (ERT),3670,2015-2019
2015,Construction Safety Enforcement,3647,2015-2019
2015,Maintenance or Facility,3412,2015-2019
2015,Special Projects Inspection Team (SPIT),3274,2015-2019
2015,Taxi Report,3027,2015-2019
2015,Food Poisoning,3021,2015-2019
2015,Hazardous Materials,3016,2015-2019
2015,Electrical,2761,2015-2019
2015,Illegal Tree Damage,2555,2015-2019
2015,Litter Basket / Request,2495,2015-2019
2015,Asbestos,2344,2015-2019
2015,Unsanitary Animal Pvt Property,2328,2015-2019
2015,Lead,2312,2015-2019
2015,Street Sign - Dangling,2190,2015-2019
2015,BEST/Site Safety,2069,2015-2019
2015,Vacant Lot,1960,2015-2019
2015,Smoking,1730,2015-2019
2015,OUTSIDE BUILDING,1680,2015-2019
2015,Standing Water,1652,2015-2019
2015,School Maintenance,1511,2015-2019
2015,Noise - Helicopter,1495,2015-2019
2015,Overflowing Litter Baskets,1474,2015-2019
2015,Industrial Waste,1419,2015-2019
2015,Drinking,1400,2015-2019
2015,Boilers,1397,2015-2019
2015,Non-Residential Heat,1334,2015-2019
2015,Bus Stop Shelter Complaint,1289,2015-2019
2015,Sweeping/Missed,1259,2015-2019
2015,Derelict Bicycle,1258,2015-2019
2015,Water Quality,1230,2015-2019
2015,Indoor Sewage,1209,2015-2019
2015,ELEVATOR,1095,2015-2019
2015,Noise - House of Worship,1061,2015-2019
2015,Investigations and Discipline (IAD),987,2015-2019
2015,Recycling Enforcement,980,2015-2019
2015,Broken Parking Meter,775,2015-2019
2015,Posting Advertisement,680,2015-2019
2015,DPR Internal,643,2015-2019
2015,Urinating in Public,641,2015-2019
2015,Unleashed Dog,639,2015-2019
2015,Unsanitary Pigeon Condition,612,2015-2019
2015,Violation of Park Rules,518,2015-2019
2015,Building Marshals office,479,2015-2019
2015,Bike/Roller/Skate Chronic,463,2015-2019
2015,Public Payphone Complaint,426,2015-2019
2015,Animal in a Park,422,2015-2019
2015,Sweeping/Inadequate,395,2015-2019
2015,Facades,368,2015-2019
2015,For Hire Vehicle Report,356,2015-2019
2015,Mold,344,2015-2019
2015,Bridge Condition,332,2015-2019
2015,Panhandling,320,2015-2019
2015,Found Property,315,2015-2019
2015,Disorderly Youth,314,2015-2019
2015,City Vehicle Placard Complaint,313,2015-2019
2015,Illegal Animal Kept as Pet,283,2015-2019
2015,Senior Center Complaint,266,2015-2019
2015,Adopt-A-Basket,250,2015-2019
2015,Cranes and Derricks,248,2015-2019
2015,Scaffold Safety,245,2015-2019
2015,Plant,235,2015-2019
2015,Harboring Bees/Wasps,223,2015-2019
2015,Quality of Life,201,2015-2019
2015,Bus Stop Shelter Placement,192,2015-2019
2015,Beach/Pool/Sauna Complaint,180,2015-2019
2015,Collection Truck Noise,178,2015-2019
2015,Illegal Fireworks,167,2015-2019
2015,Drinking Water,142,2015-2019
2015,Bike Rack Condition,133,2015-2019
2015,Poison Ivy,131,2015-2019
2015,Municipal Parking Facility,97,2015-2019
2015,Tattooing,96,2015-2019
2015,Unsanitary Animal Facility,89,2015-2019
2015,Literature Request,88,2015-2019
2015,Animal Facility - No Permit,74,2015-2019
2015,Special Natural Area District (SNAD),65,2015-2019
2015,Forensic Engineering,62,2015-2019
2015,Public Toilet,54,2015-2019
2015,Window Guard,52,2015-2019
2015,Illegal Animal Sold,51,2015-2019
2015,ATF,49,2015-2019
2015,Stalled Sites,43,2015-2019
2015,Overflowing Recycling Baskets,36,2015-2019
2015,FATF,35,2015-2019
2015,Day Care,24,2015-2019
2015,Transportation Provider Complaint,17,2015-2019
2015,Lifeguard,16,2015-2019
