year,files,rows_read,rows_after_clean,bad_date_rows,missing_nta_rows,period,missing_nta_share
2015,48,2087662,2087201,0,461,2015-2019,0.00022082118657138942
2016,48,2193273,2192872,0,401,2015-2019,0.000182831776983531
2017,51,2296661,2296267,0,394,2015-2019,0.00017155339860780498
2018,58,2557446,2557036,0,410,2015-2019,0.000160316190449378
2019,56,2494732,2494267,0,465,2015-2019,0.00018639276683828164
2020,64,2863648,2862967,0,681,2020-2025,0.00023780855747633788
2021,68,3149190,3148082,0,1108,2020-2025,0.00035183650398991486
2022,68,3119377,3118433,0,944,2020-2025,0.00030262453047515575
2023,68,3176141,3175482,0,659,2020-2025,0.00020748449140009842
2024,75,3404033,3403326,0,707,2020-2025,0.00020769481376943172
2025,78,3604863,3604196,0,667,2020-2025,0.00018502783600930187
