dataset,file,status,year,month,num_columns,required_missing,columns,error,ordered_columns,has_required_missing,period
nyc_311,data\raw\nyc_311\nyc_311_2015_01_part000.csv.gz,OK,2015,1,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_01_part001.csv.gz,OK,2015,1,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_01_part002.csv.gz,OK,2015,1,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_01_part003.csv.gz,OK,2015,1,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | community_board | open_data_channel_type | location_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | community_board | open_data_channel_type | location_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_02_part000.csv.gz,OK,2015,2,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_02_part001.csv.gz,OK,2015,2,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_02_part002.csv.gz,OK,2015,2,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_02_part003.csv.gz,OK,2015,2,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_03_part000.csv.gz,OK,2015,3,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_03_part001.csv.gz,OK,2015,3,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | community_board | open_data_channel_type | location_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | community_board | open_data_channel_type | location_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_03_part002.csv.gz,OK,2015,3,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_03_part003.csv.gz,OK,2015,3,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_04_part000.csv.gz,OK,2015,4,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_04_part001.csv.gz,OK,2015,4,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | location_type | community_board | open_data_channel_type,False,2015-2019
nyc_311,data\raw\nyc_311\nyc_311_2015_04_part002.csv.gz,OK,2015,4,15,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | community_board | open_data_channel_type | location_type,,unique_key | created_date | closed_date | complaint_type | descriptor | agency | agency_name | borough | incident_zip | status | latitude | longitude | community_board | open_data_channel_type | location_type,False,2015-2019
