group_type,group,rows,row_share,positive_rows,positive_share,alerts,alert_share,alert_rate,precision,recall,f1,pr_auc,precision_at_1pct,precision_at_5pct,mean_score,mean_rolling_8w_mean
boroname,Bronx,23400,0.19083969465648856,2664,0.11384615384615385,5826,0.1970506663058919,0.24897435897435896,0.2713697219361483,0.5934684684684685,0.3724381625441696,0.3544527291596983,0.6794871794871795,0.4641025641025641,0.11661406891746916,35.3191452991453
boroname,Brooklyn,32292,0.2633587786259542,3555,0.1100891861761427,8370,0.2830954474734492,0.2591973244147157,0.25675029868578253,0.6045007032348805,0.36041928721174005,0.31307905359402677,0.5479876160990712,0.421671826625387,0.118698911179281,32.83459912671869
boroname,Manhattan,17784,0.1450381679389313,2254,0.12674313990103464,3709,0.12544814990191436,0.2085582546108862,0.3084389323267727,0.5075421472937001,0.38369948012745264,0.34161619698490014,0.6123595505617978,0.45730337078651684,0.10653262673671005,40.09578834907782
boroname,Queens,38376,0.31297709923664124,4050,0.10553470919324578,9279,0.31384022187647975,0.24179174484052532,0.2513201853648022,0.5758024691358025,0.3499137219596369,0.2993166275057068,0.5390625,0.39134966128191767,0.1124128599113448,22.24939415259537
boroname,Staten Island,10764,0.08778625954198473,1039,0.09652545522110739,2382,0.08056551444226476,0.22129319955406912,0.24517212426532325,0.5620789220404235,0.3414206372405729,0.2750248660968339,0.4444444444444444,0.3580705009276438,0.10504800535994463,12.005818004459309
complaint_category,environment,13624,0.1111111111111111,1241,0.09108925425719319,3259,0.11022796455387945,0.23921021726365238,0.23013194231359313,0.604351329572925,0.3333333333333333,0.2748238194921911,0.4744525547445255,0.3416422287390029,0.10737655349745853,4.06242660011744
complaint_category,housing,13624,0.1111111111111111,1656,0.12155020551967116,2916,0.09862680105526618,0.21403405754550792,0.29492455418381347,0.5193236714975845,0.3762029746281715,0.38162190379049526,0.8029197080291971,0.5175953079178885,0.10689644336920327,67.30606833529066
complaint_category,infrastructure,13624,0.1111111111111111,1684,0.12360540223135642,3769,0.12747750794831902,0.2766441573693482,0.2470151233749005,0.5528503562945368,0.34146341463414637,0.2599317283388408,0.3722627737226277,0.31378299120234604,0.12398713404500301,15.546040076335878
complaint_category,noise,13624,0.1111111111111111,1799,0.13204638872577804,4690,0.15862815396063046,0.3442454492072813,0.29147121535181236,0.7598665925514174,0.4213284019109262,0.4127062059694114,0.6642335766423357,0.5278592375366569,0.1512491634264022,60.5138358778626
complaint_category,other,13624,0.1111111111111111,1225,0.08991485613623018,2087,0.07058783738077522,0.15318555490311214,0.25299472927647343,0.4310204081632653,0.3188405797101449,0.25962696525103207,0.5036496350364964,0.35777126099706746,0.0890182766887597,6.301196418085731
complaint_category,parking_traffic,13624,0.1111111111111111,1675,0.12294480328831474,3647,0.12335114658729622,0.2676893716970053,0.2604880723882643,0.5671641791044776,0.3570086433671552,0.30352898019278857,0.5474452554744526,0.4002932551319648,0.12145445878824569,70.59778699354081
complaint_category,public_safety,13624,0.1111111111111111,1492,0.10951262477980035,3159,0.10684570114320503,0.2318702290076336,0.2823678379233935,0.5978552278820375,0.38357342506987746,0.2995708381966151,0.3795620437956204,0.3885630498533724,0.10821520605035151,14.208657516147975
complaint_category,sanitation,13624,0.1111111111111111,1304,0.09571344685848503,2793,0.09446661706013665,0.20500587199060483,0.2184031507339778,0.4677914110429448,0.29777886258237735,0.23387492159652387,0.3795620437956204,0.3387096774193548,0.10101610729457786,15.626513872577803
complaint_category,water_sewer,13624,0.1111111111111111,1486,0.10907222548443922,3246,0.10978827031049178,0.23825601879036992,0.2778804682686383,0.6069986541049798,0.3812341504649197,0.3642653003753789,0.6861313868613139,0.47653958944281527,0.1111230725775191,8.821895184967705
volume_decile,D1,12262,0.10000326221700268,35,0.002854346762355244,5,0.00016911317053372116,0.0004077638231936063,0.0,0.0,0.0,0.012870594549305956,0.024390243902439025,0.019543973941368076,0.015499205626105562,0.0
volume_decile,D2,12262,0.10000326221700268,288,0.02348719621595172,197,0.006663058919028614,0.016065894633828088,0.17766497461928935,0.12152777777777778,0.14432989690721648,0.1131481063560373,0.22764227642276422,0.13517915309446255,0.03417702207434597,0.23208897406622084
volume_decile,D3,12261,0.09999510667449599,1473,0.1201370198189381,3855,0.13038625448149901,0.3144115488133105,0.2251621271076524,0.5892735913102511,0.3258258258258258,0.2600855849334648,0.4634146341463415,0.3501628664495114,0.14086437173428001,1.240743006280075
volume_decile,D4,12262,0.10000326221700268,1769,0.1442668406458979,4303,0.14553879456132043,0.35092154624041755,0.2505228910062747,0.609383832673827,0.35507246376811596,0.30408226541843353,0.6097560975609756,0.42833876221498374,0.14966367143918685,3.639363480671995
volume_decile,D5,12261,0.09999510667449599,1824,0.1487643748470761,3907,0.13214503145504972,0.3186526384471087,0.2682364985922703,0.5745614035087719,0.36573023905077645,0.3171596360242741,0.5447154471544715,0.43973941368078173,0.14105711888407943,7.282134409917625
volume_decile,D6,12262,0.10000326221700268,1690,0.1378241722394389,3668,0.12406142190353785,0.29913554069482956,0.2674482006543075,0.580473372781065,0.3661814109742441,0.30923057646984375,0.5772357723577236,0.4185667752442997,0.135008078794246,12.060012640678519
volume_decile,D7,12261,0.09999510667449599,1551,0.12649865426963544,3376,0.11418521274436853,0.2753445885327461,0.25385071090047395,0.5525467440361057,0.347879033894865,0.2827144015356325,0.4715447154471545,0.36807817589576547,0.12868070234714338,18.73400415953022
volume_decile,D8,12262,0.10000326221700268,1559,0.12714076007176645,3262,0.1103294324561997,0.2660251182515087,0.2651747394236665,0.554842847979474,0.35884671230035264,0.3136200323747845,0.5934959349593496,0.4234527687296417,0.1286955873512392,30.575568830533356
volume_decile,D9,12261,0.09999510667449599,1673,0.13644890302585433,3761,0.12720692687546506,0.30674496370605986,0.28396703004520074,0.6383741781231321,0.3930806036069194,0.37134605227423684,0.6422764227642277,0.50814332247557,0.1383606852238759,56.13437933284398
volume_decile,D10,12262,0.10000326221700268,1700,0.13863969988582614,3232,0.10931475343299736,0.2635785353123471,0.3063118811881188,0.5823529411764706,0.40145985401459855,0.39982948627136783,0.7886178861788617,0.5553745928338762,0.12170847178289237,162.30388598923503
