target_week,rows,positives,alerts,alert_rate
2025-01-06,2358,227,486,0.20610687022900764
2025-01-13,2358,255,702,0.29770992366412213
2025-01-20,2358,334,460,0.19508057675996607
2025-01-27,2358,258,753,0.3193384223918575
2025-02-03,2358,215,554,0.23494486853265478
2025-02-10,2358,187,623,0.2642069550466497
2025-02-17,2358,181,546,0.23155216284987276
2025-02-24,2358,287,500,0.21204410517387617
2025-03-03,2358,265,683,0.28965224766751485
2025-03-10,2358,373,950,0.4028837998303647
2025-03-17,2358,320,758,0.32145886344359625
2025-03-24,2358,311,797,0.3379983036471586
2025-03-31,2358,295,789,0.3346055979643766
2025-04-07,2358,235,696,0.2951653944020356
2025-04-14,2358,332,915,0.3880407124681934
2025-04-21,2358,412,808,0.3426632739609839
2025-04-28,2358,448,970,0.4113655640373198
2025-05-05,2358,363,925,0.3922815945716709
2025-05-12,2358,406,920,0.39016115351993214
2025-05-19,2358,222,904,0.3833757421543681
2025-05-26,2358,276,864,0.366412213740458
2025-06-02,2358,401,878,0.37234944868532655
2025-06-09,2358,306,1055,0.4474130619168787
2025-06-16,2358,300,857,0.36344359626802375
2025-06-23,2358,433,887,0.3761662425784563
2025-06-30,2358,423,916,0.3884648006785411
2025-07-07,2358,284,620,0.26293469041560646
2025-07-14,2358,265,520,0.2205258693808312
2025-07-21,2358,250,684,0.2900763358778626
2025-07-28,2358,234,344,0.1458863443596268
2025-08-04,2358,193,485,0.2056827820186599
2025-08-11,2358,200,304,0.1289228159457167
2025-08-18,2358,199,383,0.16242578456318915
2025-08-25,2358,190,434,0.18405428329092452
2025-09-01,2358,206,358,0.15182357930449533
2025-09-08,2358,288,424,0.179813401187447
2025-09-15,2358,253,392,0.1662425784563189
2025-09-22,2358,199,433,0.18363019508057676
2025-09-29,2358,242,355,0.1505513146734521
2025-10-06,2358,212,284,0.12044105173876166
2025-10-13,2358,279,433,0.18363019508057676
2025-10-20,2358,267,421,0.17854113655640375
2025-10-27,2358,371,329,0.13952502120441052
2025-11-03,2358,175,399,0.1692111959287532
2025-11-10,2358,175,171,0.07251908396946564
2025-11-17,2358,153,160,0.06785411365564037
2025-11-24,2358,73,189,0.08015267175572519
2025-12-01,2358,189,97,0.041136556403731976
2025-12-08,2358,200,294,0.12468193384223919
2025-12-15,2358,293,358,0.15182357930449533
2025-12-22,2358,94,311,0.131891433418151
2025-12-29,2358,13,188,0.07972858354537744
