target_week,boroname,rows,positives,alerts,alert_rate
2025-01-06,Bronx,450,51,92,0.20444444444444446
2025-01-06,Brooklyn,621,56,123,0.19806763285024154
2025-01-06,Manhattan,342,34,45,0.13157894736842105
2025-01-06,Queens,738,66,176,0.23848238482384823
2025-01-06,Staten Island,207,20,50,0.24154589371980675
2025-01-13,Bronx,450,46,144,0.32
2025-01-13,Brooklyn,621,62,208,0.33494363929146537
2025-01-13,Manhattan,342,35,70,0.2046783625730994
2025-01-13,Queens,738,88,225,0.3048780487804878
2025-01-13,Staten Island,207,24,55,0.26570048309178745
2025-01-20,Bronx,450,65,85,0.18888888888888888
2025-01-20,Brooklyn,621,108,128,0.20611916264090177
2025-01-20,Manhattan,342,50,52,0.15204678362573099
2025-01-20,Queens,738,87,155,0.21002710027100271
2025-01-20,Staten Island,207,24,40,0.1932367149758454
2025-01-27,Bronx,450,38,158,0.3511111111111111
2025-01-27,Brooklyn,621,61,215,0.3462157809983897
2025-01-27,Manhattan,342,42,95,0.2777777777777778
2025-01-27,Queens,738,90,230,0.3116531165311653
2025-01-27,Staten Island,207,27,55,0.26570048309178745
2025-02-03,Bronx,450,41,103,0.2288888888888889
2025-02-03,Brooklyn,621,44,148,0.23832528180354268
2025-02-03,Manhattan,342,40,68,0.19883040935672514
2025-02-03,Queens,738,70,190,0.25745257452574527
2025-02-03,Staten Island,207,20,45,0.21739130434782608
2025-02-10,Bronx,450,36,116,0.2577777777777778
2025-02-10,Brooklyn,621,41,163,0.26247987117552335
2025-02-10,Manhattan,342,35,87,0.2543859649122807
2025-02-10,Queens,738,60,206,0.2791327913279133
2025-02-10,Staten Island,207,15,51,0.2463768115942029
2025-02-17,Bronx,450,36,108,0.24
2025-02-17,Brooklyn,621,38,156,0.25120772946859904
2025-02-17,Manhattan,342,21,62,0.18128654970760233
2025-02-17,Queens,738,68,176,0.23848238482384823
2025-02-17,Staten Island,207,18,44,0.21256038647342995
2025-02-24,Bronx,450,44,106,0.23555555555555555
2025-02-24,Brooklyn,621,100,139,0.22383252818035426
2025-02-24,Manhattan,342,48,42,0.12280701754385964
2025-02-24,Queens,738,80,169,0.22899728997289973
2025-02-24,Staten Island,207,15,44,0.21256038647342995
2025-03-03,Bronx,450,48,132,0.29333333333333333
2025-03-03,Brooklyn,621,77,207,0.3333333333333333
2025-03-03,Manhattan,342,37,80,0.23391812865497075
2025-03-03,Queens,738,87,213,0.2886178861788618
2025-03-03,Staten Island,207,16,51,0.2463768115942029
2025-03-10,Bronx,450,68,175,0.3888888888888889
2025-03-10,Brooklyn,621,100,280,0.45088566827697263
2025-03-10,Manhattan,342,70,123,0.35964912280701755
2025-03-10,Queens,738,111,297,0.4024390243902439
2025-03-10,Staten Island,207,24,75,0.36231884057971014
2025-03-17,Bronx,450,69,151,0.33555555555555555
2025-03-17,Brooklyn,621,84,207,0.3333333333333333
2025-03-17,Manhattan,342,48,116,0.3391812865497076
2025-03-17,Queens,738,95,218,0.2953929539295393
2025-03-17,Staten Island,207,24,66,0.3188405797101449
2025-03-24,Bronx,450,59,160,0.35555555555555557
2025-03-24,Brooklyn,621,84,223,0.35909822866344604
2025-03-24,Manhattan,342,47,95,0.2777777777777778
2025-03-24,Queens,738,99,255,0.34552845528455284
2025-03-24,Staten Island,207,22,64,0.30917874396135264
2025-03-31,Bronx,450,51,152,0.3377777777777778
2025-03-31,Brooklyn,621,93,221,0.355877616747182
2025-03-31,Manhattan,342,53,108,0.3157894736842105
2025-03-31,Queens,738,78,240,0.3252032520325203
2025-03-31,Staten Island,207,20,68,0.3285024154589372
2025-04-07,Bronx,450,37,132,0.29333333333333333
2025-04-07,Brooklyn,621,60,187,0.30112721417069244
2025-04-07,Manhattan,342,41,101,0.2953216374269006
2025-04-07,Queens,738,77,216,0.2926829268292683
2025-04-07,Staten Island,207,20,60,0.2898550724637681
2025-04-14,Bronx,450,56,183,0.4066666666666667
2025-04-14,Brooklyn,621,77,246,0.3961352657004831
2025-04-14,Manhattan,342,66,123,0.35964912280701755
2025-04-14,Queens,738,103,285,0.3861788617886179
2025-04-14,Staten Island,207,30,78,0.37681159420289856
2025-04-21,Bronx,450,77,154,0.3422222222222222
2025-04-21,Brooklyn,621,104,215,0.3462157809983897
2025-04-21,Manhattan,342,82,127,0.3713450292397661
2025-04-21,Queens,738,123,247,0.3346883468834688
2025-04-21,Staten Island,207,26,65,0.3140096618357488
2025-04-28,Bronx,450,82,191,0.42444444444444446
2025-04-28,Brooklyn,621,116,267,0.42995169082125606
