target_definition,dimension,bin,positive_rows,share_of_target_positives,true_positive_rows,false_negative_rows,recall,median_score,median_target_count,median_realized_z,median_absolute_increase,median_ratio_increase
T0_current_reference,z_bin,z_1.5_to_2,4785,0.3045442973523422,2462,2323,0.5145245559038663,0.1707225327053391,21.0,1.7151901843958857,7.75,1.662337489627274
T0_current_reference,z_bin,z_2_to_3,5202,0.3310845213849287,2845,2357,0.5469050365244137,0.18283052988381776,23.0,2.4748668083252148,10.125,1.9100624269358697
T0_current_reference,z_bin,z_ge_3,5721,0.36411659877800406,3609,2112,0.6308337703198742,0.216077913717778,22.0,4.538017038063628,13.125,3.076921183433118
T0_current_reference,z_bin,z_lt_1.5,4,0.0002545824847250509,1,3,0.25,0.1430045394654369,11.0,1.4999994375002343,4.5,1.799999586666786
T2_min_count_3,z_bin,z_1.5_to_2,4158,0.3065919480902522,2095,2063,0.5038480038480039,0.16813972441363384,26.0,1.728695009520269,9.375,1.5909090185950445
T2_min_count_3,z_bin,z_2_to_3,4576,0.3374133608612299,2585,1991,0.5649038461538461,0.19056154752115884,28.0,2.4077774705200063,12.25,1.8133331399111319
T2_min_count_3,z_bin,z_ge_3,4824,0.35569974929951337,3108,1716,0.6442786069651741,0.2289960531824028,30.0,4.2499340401375125,17.25,2.666666139194244
T2_min_count_3,z_bin,z_lt_1.5,4,0.0002949417490045716,2,2,0.5,0.14834908157090745,11.0,1.4999994375002343,4.5,1.799999586666786
T0_current_reference,absolute_increase_bin,lt_1,817,0.05199847250509165,499,318,0.6107711138310894,0.1907099190606978,1.0,2.4748668083252148,0.875,7.999936000511996
T0_current_reference,absolute_increase_bin,plus_1,1444,0.09190427698574338,703,741,0.4868421052631579,0.16226262926949095,2.0,3.780423824827171,1.375,7.999968000128001
T0_current_reference,absolute_increase_bin,plus_10_plus,7947,0.5057917515274949,4538,3409,0.5710330942494023,0.1946106740031443,58.0,2.7021951865000995,22.75,1.7454544185124061
T0_current_reference,absolute_increase_bin,plus_2_to_3,1755,0.11169806517311609,1068,687,0.6085470085470085,0.194485282739906,4.0,2.3150308537390627,2.875,2.9999970000030003
T0_current_reference,absolute_increase_bin,plus_4_to_9,3749,0.23860743380855398,2109,1640,0.5625500133368898,0.1865748880721863,13.0,2.2571566716205314,6.5,1.9999995555556542
T2_min_count_3,absolute_increase_bin,plus_1,200,0.014747087450228579,145,55,0.725,0.2142160841384126,3.0,1.690659050778993,1.75,2.399998080001536
T2_min_count_3,absolute_increase_bin,plus_10_plus,7947,0.5859755198348326,4637,3310,0.5834906253932302,0.2000816950071855,58.0,2.7021951865000995,22.75,1.7454544185124061
T2_min_count_3,absolute_increase_bin,plus_2_to_3,1666,0.12284323846040407,850,816,0.5102040816326531,0.17044793541563596,5.0,2.2391695141831827,2.875,2.857141224490729
T2_min_count_3,absolute_increase_bin,plus_4_to_9,3749,0.2764341542545347,2158,1591,0.575620165377434,0.1931900383183072,13.0,2.2571566716205314,6.5,1.9999995555556542
T0_current_reference,target_count_bin,count_0_or_1,1345,0.08560336048879837,601,744,0.4468401486988848,0.1470128621699874,1.0,2.4748668083252148,0.875,7.999936000511996
T0_current_reference,target_count_bin,count_10_plus,10832,0.6894093686354379,6129,4703,0.5658234859675036,0.19027093873677764,39.0,2.480816924926885,16.5,1.7567716727914777
T0_current_reference,target_count_bin,count_2,805,0.051234725050916495,488,317,0.6062111801242236,0.1969381057772209,2.0,2.806237705171054,1.625,5.333319111149037
T0_current_reference,target_count_bin,count_3,577,0.03672352342158859,374,203,0.6481802426343154,0.199306769225969,3.0,2.538339359727024,2.25,3.9999946666737776
T0_current_reference,target_count_bin,count_4_to_9,2153,0.13702902240325865,1325,828,0.6154203437064562,0.201644898057757,6.0,2.507171513396921,3.75,2.666665650794038
T2_min_count_3,target_count_bin,count_10_plus,10832,0.7987022563043799,6313,4519,0.5828101920236337,0.19809801903013086,39.0,2.480816924926885,16.5,1.7567716727914777
T2_min_count_3,target_count_bin,count_3,577,0.04254534729390945,229,348,0.3968804159445407,0.1289760256791135,3.0,2.538339359727024,2.25,3.9999946666737776
T2_min_count_3,target_count_bin,count_4_to_9,2153,0.15875239640171065,1248,905,0.5796562935438923,0.1957777767335055,6.0,2.507171513396921,3.75,2.666665650794038
