case_id,case_type,rank,feature,feature_group,feature_value,shap_value,abs_shap_value
tp,tp_high_confidence,1,ratio_to_12w_mean,shifted_history,5.218274,1.49565324519463,1.49565324519463
tp,tp_high_confidence,2,diff_4w_count,shifted_history,178.0,0.725763673563507,0.725763673563507
tp,tp_high_confidence,3,lag_52w_count,shifted_history,185.0,0.5402358699502664,0.5402358699502664
tp,tp_high_confidence,4,complaint_count,current_count,257.0,0.49800410277224827,0.49800410277224827
tp,tp_high_confidence,5,complaint_category_housing,service_category,1.0,0.45295119706730785,0.45295119706730785
tp,tp_high_confidence,6,rolling_12w_mean,shifted_history,49.25,0.31945632032732957,0.31945632032732957
tp,tp_high_confidence,7,rolling_4w_std,shifted_history,20.17424,-0.26035689290772707,0.26035689290772707
tp,tp_high_confidence,8,lag_8w_count,shifted_history,56.0,-0.20104451723715688,0.20104451723715688
tp,tp_high_confidence,9,lag_12w_count,shifted_history,52.0,0.18775525445937705,0.18775525445937705
tp,tp_high_confidence,10,lag_1w_count,shifted_history,61.0,0.1864969367233308,0.1864969367233308
tp,tp_high_confidence,11,diff_1w_count,shifted_history,196.0,0.17287445440765806,0.17287445440765806
tp,tp_high_confidence,12,history_weeks_available,shifted_history,563.0,-0.15609072314181358,0.15609072314181358
fp,fp_high_confidence,1,ratio_to_12w_mean,shifted_history,6.289655,1.3347669778395914,1.3347669778395914
fp,fp_high_confidence,2,complaint_count,current_count,76.0,0.4892217980065718,0.4892217980065718
fp,fp_high_confidence,3,complaint_category_noise,service_category,1.0,0.41015624960894226,0.41015624960894226
fp,fp_high_confidence,4,diff_4w_count,shifted_history,67.0,0.4097292800516466,0.4097292800516466
fp,fp_high_confidence,5,rolling_12w_mean,shifted_history,12.083333,0.3443102298046814,0.3443102298046814
fp,fp_high_confidence,6,week_of_year,calendar,11.0,0.2584664390391253,0.2584664390391253
fp,fp_high_confidence,7,rolling_12w_std,shifted_history,4.231018,0.1558671424286111,0.1558671424286111
fp,fp_high_confidence,8,diff_1w_count,shifted_history,60.0,0.13438095974145356,0.13438095974145356
fp,fp_high_confidence,9,lag_52w_count,shifted_history,21.0,0.12583461102136168,0.12583461102136168
fp,fp_high_confidence,10,lag_1w_count,shifted_history,16.0,0.0930705650281747,0.0930705650281747
fp,fp_high_confidence,11,lag_8w_count,shifted_history,19.0,-0.08959211442286853,0.08959211442286853
fp,fp_high_confidence,12,rolling_4w_std,shifted_history,4.396969,0.0628403940961792,0.0628403940961792
fn,fn_severe_missed,1,rolling_12w_mean,shifted_history,11.75,0.3696185948157296,0.3696185948157296
fn,fn_severe_missed,2,ratio_to_12w_mean,shifted_history,0.59574467,-0.33241952846676087,0.33241952846676087
fn,fn_severe_missed,3,complaint_count,current_count,7.0,0.19529706571402056,0.19529706571402056
fn,fn_severe_missed,4,history_weeks_available,shifted_history,547.0,-0.1775942471329792,0.1775942471329792
fn,fn_severe_missed,5,week_of_year,calendar,26.0,0.14014331046847595,0.14014331046847595
fn,fn_severe_missed,6,lag_12w_count,shifted_history,6.0,-0.13010208560469935,0.13010208560469935
fn,fn_severe_missed,7,lag_52w_count,shifted_history,5.0,-0.08394291356278238,0.08394291356278238
fn,fn_severe_missed,8,diff_4w_count,shifted_history,2.0,0.08328434244369089,0.08328434244369089
fn,fn_severe_missed,9,lag_8w_count,shifted_history,8.0,0.06990701905919676,0.06990701905919676
fn,fn_severe_missed,10,lag_1w_count,shifted_history,6.0,-0.06391225988316934,0.06391225988316934
fn,fn_severe_missed,11,complaint_category_other,service_category,1.0,-0.05770160652136257,0.05770160652136257
fn,fn_severe_missed,12,weather_tmin_max,feature_week_weather,27.2,0.054603641089800196,0.054603641089800196
