volume_decile,rows,rolling_8w_mean_min,rolling_8w_mean_median,rolling_8w_mean_max,positive_rows,positive_share,precision,recall,f1,pr_auc,alert_rate,precision_at_1pct,precision_at_5pct
D1,24759,0.0,0.0,0.0,1166,0.04709398602528374,0.25673758865248225,0.15523156089193826,0.19347942276857297,0.1487676317283389,0.028474494123349084,0.33064516129032256,0.20436187399030695
D2,24759,0.0,0.25,0.5,3317,0.1339714851165233,0.2609734249029561,0.5269822128429303,0.3490763854218672,0.28420135720990836,0.27052788884849954,0.4798387096774194,0.39337641357027464
D3,24759,0.5,1.125,2.25,3379,0.13647562502524335,0.2661892901618929,0.5060668836934004,0.34887279404264,0.28791704596697804,0.2594612060260915,0.5201612903225806,0.39418416801292405
D4,24759,2.25,3.625,5.25,3641,0.14705763560725393,0.2871644183250968,0.5904971161768745,0.38641265276779296,0.32296319338787394,0.30239508865463066,0.5443548387096774,0.4321486268174475
D5,24759,5.25,7.125,9.25,3648,0.1473403610808191,0.29027248341098405,0.5635964912280702,0.3831888919951542,0.33766719059006656,0.28607778989458377,0.5685483870967742,0.4596122778675283
D6,24759,9.25,11.75,14.625,3379,0.13647562502524335,0.2875583203732504,0.5472033145901154,0.3770007136303395,0.3296890306377765,0.2597035421462902,0.6048387096774194,0.4297253634894992
D7,24759,14.625,18.25,23.0,3106,0.12544933155620178,0.29473869435157485,0.5392788151963941,0.3811582660143361,0.3106688694742507,0.22953269518155014,0.5,0.4297253634894992
D8,24759,23.0,29.625,39.125,3182,0.12851892241205218,0.30868503662364843,0.5562539283469516,0.39703903095558546,0.34615262815210274,0.23159255220323924,0.6088709677419355,0.4903069466882068
D9,24759,39.125,53.75,78.125,3397,0.1372026333858395,0.31517996870109544,0.5928760671180453,0.41156636354347603,0.3848164108911591,0.25808796801163214,0.6814516129032258,0.5169628432956381
D10,24759,78.125,121.75,9050.5,3355,0.1355062805444485,0.34460314590489965,0.568107302533532,0.42898942156200764,0.4100867169533436,0.22339351346984934,0.7338709677419355,0.5363489499192245
