feature_set,feature,gain_importance,importance_rank
A_current_prospective,rolling_8w_std,2503,1
A_current_prospective,history_weeks_available,1355,2
A_current_prospective,week_of_year,1180,3
A_current_prospective,lag_52w_count,919,4
A_current_prospective,ratio_to_8w_mean,843,5
A_current_prospective,rolling_12w_mean,723,6
A_current_prospective,weather_tmax_max,627,7
A_current_prospective,weather_prcp_max,592,8
A_current_prospective,weather_awnd_mean,575,9
A_current_prospective,ratio_to_12w_mean,570,10
A_current_prospective,lag_1w_count,536,11
A_current_prospective,weather_prcp_mean,535,12
A_current_prospective,weather_awnd_max,515,13
A_current_prospective,lag_12w_count,515,14
A_current_prospective,complaint_count,509,15
A_current_prospective,rolling_4w_mean,490,16
A_current_prospective,complaint_category=housing,478,17
A_current_prospective,rolling_12w_std,478,18
A_current_prospective,weather_tmin_mean,475,19
A_current_prospective,weather_tmax_mean,462,20
A_current_prospective,diff_4w_count,437,21
A_current_prospective,lag_8w_count,430,22
A_current_prospective,complaint_category=public_safety,417,23
A_current_prospective,complaint_category=noise,403,24
A_current_prospective,weather_tavg_mean,397,25
A_current_prospective,rolling_4w_std,389,26
A_current_prospective,weather_tmin_max,379,27
A_current_prospective,pct_change_1w,372,28
A_current_prospective,complaint_category=water_sewer,368,29
A_current_prospective,weather_tmax_min,348,30
A_current_prospective,weather_tmin_min,339,31
A_current_prospective,diff_1w_count,330,32
A_current_prospective,lag_2w_count,329,33
A_current_prospective,complaint_category=infrastructure,322,34
A_current_prospective,complaint_category=environment,308,35
A_current_prospective,rolling_8w_mean,277,36
A_current_prospective,complaint_category=other,273,37
A_current_prospective,complaint_category=sanitation,261,38
A_current_prospective,month,253,39
A_current_prospective,rain_day_count,210,40
A_current_prospective,complaint_category=parking_traffic,209,41
A_current_prospective,lag_4w_count,195,42
A_current_prospective,weather_snow_max,184,43
A_current_prospective,boroname=Manhattan,125,44
A_current_prospective,rolling_12w_sum,122,45
A_current_prospective,weather_tmax_station_max,105,46
A_current_prospective,weather_snwd_mean,92,47
A_current_prospective,weather_prcp_station_max,85,48
A_current_prospective,cold_day_0c_count,83,49
A_current_prospective,ice_day_tmax_0c_count,83,50
B_no_8w_formula_features,rolling_12w_std,1507,1
B_no_8w_formula_features,history_weeks_available,1444,2
B_no_8w_formula_features,lag_8w_count,1317,3
B_no_8w_formula_features,rolling_4w_std,1225,4
B_no_8w_formula_features,week_of_year,1174,5
B_no_8w_formula_features,lag_12w_count,1095,6
B_no_8w_formula_features,lag_52w_count,997,7
B_no_8w_formula_features,ratio_to_12w_mean,916,8
B_no_8w_formula_features,lag_1w_count,606,9
B_no_8w_formula_features,weather_prcp_max,594,10
B_no_8w_formula_features,rolling_12w_mean,585,11
B_no_8w_formula_features,weather_awnd_mean,581,12
B_no_8w_formula_features,diff_4w_count,578,13
B_no_8w_formula_features,weather_tmax_max,565,14
B_no_8w_formula_features,rolling_4w_mean,556,15
B_no_8w_formula_features,weather_awnd_max,528,16
B_no_8w_formula_features,weather_tmin_mean,517,17
B_no_8w_formula_features,weather_prcp_mean,501,18
B_no_8w_formula_features,complaint_count,452,19
B_no_8w_formula_features,complaint_category=housing,441,20
B_no_8w_formula_features,weather_tavg_mean,421,21
B_no_8w_formula_features,weather_tmax_mean,416,22
B_no_8w_formula_features,complaint_category=public_safety,389,23
B_no_8w_formula_features,complaint_category=noise,372,24
B_no_8w_formula_features,weather_tmin_max,371,25
B_no_8w_formula_features,diff_1w_count,368,26
B_no_8w_formula_features,complaint_category=water_sewer,349,27
B_no_8w_formula_features,pct_change_1w,340,28
B_no_8w_formula_features,complaint_category=infrastructure,338,29
B_no_8w_formula_features,weather_tmax_min,334,30
B_no_8w_formula_features,weather_tmin_min,328,31
B_no_8w_formula_features,complaint_category=sanitation,298,32
B_no_8w_formula_features,month,293,33
B_no_8w_formula_features,lag_2w_count,284,34
B_no_8w_formula_features,complaint_category=other,277,35
B_no_8w_formula_features,complaint_category=environment,270,36
B_no_8w_formula_features,lag_4w_count,238,37
B_no_8w_formula_features,complaint_category=parking_traffic,206,38
B_no_8w_formula_features,weather_snow_max,194,39
B_no_8w_formula_features,rain_day_count,190,40
B_no_8w_formula_features,boroname=Manhattan,133,41
B_no_8w_formula_features,rolling_12w_sum,97,42
B_no_8w_formula_features,weather_snwd_mean,97,43
B_no_8w_formula_features,weather_tmax_station_max,92,44
B_no_8w_formula_features,rolling_4w_sum,89,45
B_no_8w_formula_features,ice_day_tmax_0c_count,82,46
B_no_8w_formula_features,weather_prcp_sum,79,47
B_no_8w_formula_features,boroname=Bronx,67,48
B_no_8w_formula_features,weather_prcp_station_max,66,49
B_no_8w_formula_features,weather_snow_mean,61,50
C_reduced_nonformula_history,complaint_count,2070,1
C_reduced_nonformula_history,rolling_12w_std,1536,2
C_reduced_nonformula_history,history_weeks_available,1455,3
C_reduced_nonformula_history,lag_8w_count,1437,4
C_reduced_nonformula_history,week_of_year,1051,5
C_reduced_nonformula_history,rolling_4w_std,1022,6
C_reduced_nonformula_history,lag_12w_count,1005,7
C_reduced_nonformula_history,lag_52w_count,973,8
C_reduced_nonformula_history,rolling_12w_mean,942,9
C_reduced_nonformula_history,rolling_4w_mean,638,10
C_reduced_nonformula_history,lag_4w_count,633,11
C_reduced_nonformula_history,weather_awnd_max,604,12
C_reduced_nonformula_history,weather_prcp_max,596,13
C_reduced_nonformula_history,lag_1w_count,584,14
C_reduced_nonformula_history,weather_awnd_mean,564,15
C_reduced_nonformula_history,weather_tmax_max,529,16
C_reduced_nonformula_history,weather_prcp_mean,510,17
C_reduced_nonformula_history,weather_tmin_mean,473,18
C_reduced_nonformula_history,complaint_category=housing,461,19
C_reduced_nonformula_history,complaint_category=public_safety,410,20
C_reduced_nonformula_history,complaint_category=infrastructure,401,21
C_reduced_nonformula_history,weather_tmax_min,394,22
C_reduced_nonformula_history,weather_tavg_mean,354,23
C_reduced_nonformula_history,complaint_category=noise,350,24
C_reduced_nonformula_history,weather_tmax_mean,350,25
C_reduced_nonformula_history,lag_2w_count,348,26
C_reduced_nonformula_history,month,347,27
C_reduced_nonformula_history,complaint_category=water_sewer,344,28
C_reduced_nonformula_history,weather_tmin_min,337,29
C_reduced_nonformula_history,weather_tmin_max,319,30
C_reduced_nonformula_history,complaint_category=other,302,31
C_reduced_nonformula_history,complaint_category=sanitation,286,32
C_reduced_nonformula_history,complaint_category=environment,260,33
C_reduced_nonformula_history,complaint_category=parking_traffic,215,34
C_reduced_nonformula_history,weather_snow_max,190,35
C_reduced_nonformula_history,rain_day_count,183,36
C_reduced_nonformula_history,boroname=Manhattan,152,37
C_reduced_nonformula_history,cold_day_0c_count,115,38
C_reduced_nonformula_history,iso_year,96,39
C_reduced_nonformula_history,weather_snwd_mean,95,40
C_reduced_nonformula_history,weather_prcp_sum,86,41
C_reduced_nonformula_history,boroname=Brooklyn,77,42
C_reduced_nonformula_history,boroname=Queens,74,43
C_reduced_nonformula_history,weather_tmax_station_max,70,44
C_reduced_nonformula_history,is_year_end,67,45
C_reduced_nonformula_history,boroname=Bronx,66,46
C_reduced_nonformula_history,ice_day_tmax_0c_count,66,47
C_reduced_nonformula_history,weather_prcp_station_max,62,48
C_reduced_nonformula_history,weather_snow_mean,57,49
C_reduced_nonformula_history,boroname=Staten Island,53,50
