rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,log_loss,target_definition,description,fold_id,train_end_year,validation_year,test_year,seed,split,calibration_method,model_name,raw_feature_count,model_feature_count,fit_seconds,removed_formula_aligned_features
124974,15858,0.12689039320178597,0.5,33605,0.26889593035351356,0.2592471358428805,0.5493757094211124,0.35226330792713745,0.288139307643986,0.7360539747853201,0.4864,0.39766362618018886,0.3390942550808129,0.17085122494563124,0.5139805133542379,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,42,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,20.563708782196045,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.5,34611,0.2822714816989626,0.25763485597064517,0.5675280040733197,0.35439063648828567,0.31202905458023417,0.7417452920053289,0.5884270578647107,0.42358505953351816,0.3576088729407927,0.1742247960469603,0.5216387016209384,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,42,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,20.563708782196045,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.16608034039960404,33605,0.26889593035351356,0.2592471358428805,0.5493757094211124,0.35226330792713745,0.288139307643986,0.7360539747853201,0.4864,0.39766362618018886,0.3390942550808129,0.10129596741674529,0.34011695049637974,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,42,validation,platt,lightgbm_no_8w_formula_features,57,69,20.563708782196045,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.16608034039960404,34611,0.2822714816989626,0.25763485597064517,0.5675280040733197,0.35439063648828567,0.31202905458023417,0.7417452920053289,0.5884270578647107,0.42358505953351816,0.3576088729407927,0.10110557516058431,0.33923825112603784,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,42,test,platt,lightgbm_no_8w_formula_features,57,69,20.563708782196045,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.52,32015,0.256173284043081,0.264001249414337,0.532980199268508,0.3531009128318677,0.2903532680404595,0.7367906847036649,0.5008,0.39702352376380223,0.3402144343094895,0.17553989027877168,0.52454169199289,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,123,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,20.55341935157776,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.52,33029,0.26936941345338294,0.26204244754609585,0.5508528513238289,0.35514248784390967,0.30904994647631495,0.7413516308834405,0.5819070904645477,0.421301582123634,0.35483607894307617,0.17965352941946228,0.5339686957921735,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,123,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,20.55341935157776,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.1730475917367615,32015,0.256173284043081,0.264001249414337,0.532980199268508,0.3531009128318677,0.2903532680404595,0.7367906847036649,0.5008,0.39702352376380223,0.3402144343094895,0.1011837749634805,0.339707362529621,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,123,validation,platt,lightgbm_no_8w_formula_features,57,69,20.55341935157776,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.1730475917367615,33029,0.26936941345338294,0.26204244754609585,0.5508528513238289,0.35514248784390967,0.30904994647631495,0.7413516308834405,0.5819070904645477,0.421301582123634,0.35483607894307617,0.10122243620223202,0.33944825950570057,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,123,test,platt,lightgbm_no_8w_formula_features,57,69,20.55341935157776,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.52,32879,0.26308672203818395,0.26065269624988596,0.540421238491613,0.35168352586330714,0.2878748752545309,0.7365291592983221,0.4904,0.39286285805728915,0.3404544727156345,0.17769447658781504,0.5294679475495244,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,2026,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,24.02692174911499,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.52,34032,0.2775494225875905,0.2598730606488011,0.5628818737270875,0.35558057253136055,0.3133857376086566,0.7419420192725209,0.5965770171149144,0.42766269776545424,0.35809818952862504,0.18177144340922177,0.5387835925150603,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,2026,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,24.02692174911499,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.1702441323459558,32879,0.26308672203818395,0.26065269624988596,0.540421238491613,0.35168352586330714,0.2878748752545309,0.7365291592983221,0.4904,0.39286285805728915,0.3404544727156345,0.10127738402802089,0.3398746673573051,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,2026,validation,platt,lightgbm_no_8w_formula_features,57,69,24.02692174911499,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.1702441323459558,34032,0.2775494225875905,0.2598730606488011,0.5628818737270875,0.35558057253136055,0.3133857376086566,0.7419420192725209,0.5965770171149144,0.42766269776545424,0.35809818952862504,0.10105076677719638,0.33906234535064794,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,2026,test,platt,lightgbm_no_8w_formula_features,57,69,24.02692174911499,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.5146818949355076,33743,0.2700001600332869,0.259194499599917,0.5515197376718376,0.35265418035926693,0.28970870772501656,0.7367363174523838,0.4896,0.39862377980476876,0.343014882381181,0.17716753795240495,0.528100939207769,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,3407,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,20.887141942977905,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
