volume_decile,rows,historical_volume_min,historical_volume_median,historical_volume_max,event_prevalence,pr_auc,f1,precision_at_5pct
D1,12262,0.0,0.0,0.0,0.002854346762355244,0.012870594549305956,0.0,0.019543973941368076
D2,12262,0.0,0.25,0.5,0.02348719621595172,0.1131481063560373,0.14432989690721648,0.13517915309446255
D3,12261,0.5,1.125,2.25,0.1201370198189381,0.2600855849334648,0.3258258258258258,0.3501628664495114
D4,12262,2.25,3.625,5.25,0.1442668406458979,0.30408226541843353,0.35507246376811596,0.42833876221498374
D5,12261,5.25,7.25,9.5,0.1487643748470761,0.3171596360242741,0.36573023905077645,0.43973941368078173
D6,12262,9.5,12.0,14.875,0.1378241722394389,0.30923057646984375,0.3661814109742441,0.4185667752442997
D7,12262,14.875,18.5,23.375,0.12648833795465667,0.2827107327632317,0.347879033894865,0.36807817589576547
D8,12261,23.375,30.125,39.75,0.12715112959791208,0.31362415233126667,0.35884671230035264,0.4234527687296417
D9,12262,39.75,54.5,79.875,0.13643777524058065,0.37134428914853906,0.3930806036069194,0.50814332247557
D10,12261,79.875,124.875,9050.5,0.13865100725878804,0.3998333700853402,0.40145985401459855,0.5553745928338762
