model,metric,observed,ci_lower,ci_upper,clusters,n_bootstrap
No-shortcut LightGBM,pr_auc,0.3165151742185692,0.3076409357758568,0.32603807322466916,2358,250
No-shortcut LightGBM,precision_at_5pct,0.41803947153808513,0.4029073560593704,0.4317933452944055,2358,250
No-shortcut LightGBM,precision,0.26347831969153757,0.25746529935294105,0.2684478262371709,2358,250
No-shortcut LightGBM,recall,0.5743990561864032,0.5663809688952988,0.5838224970507611,2358,250
No-shortcut LightGBM,f1,0.36125023186792804,0.3549978537288409,0.36746987229762923,2358,250
No-shortcut LightGBM,alert_rate,0.24112676975272396,0.23404490441704182,0.24779494519475437,2358,250
"Poisson GLM, no NTA FE",pr_auc,0.14099561910434458,0.13813672633529103,0.14389354862196496,2358,250
"Poisson GLM, no NTA FE",precision_at_5pct,0.14597944870331103,0.135777197847007,0.15491355406948296,2358,250
"Poisson GLM, no NTA FE",precision,0.3755522827687776,0.3444004867364075,0.40181956027293403,2358,250
"Poisson GLM, no NTA FE",recall,0.03760507299808288,0.03374973395529117,0.04192252989770275,2358,250
"Poisson GLM, no NTA FE",f1,0.06836461126005362,0.061625808422564286,0.07559624859936102,2358,250
"Poisson GLM, no NTA FE",alert_rate,0.011075226724081686,0.010138358778625955,0.012022900763358779,2358,250
Poisson GLM + NTA FE,pr_auc,0.14099919986138776,0.13793602991358167,0.14368745216215464,2358,250
Poisson GLM + NTA FE,precision_at_5pct,0.14597944870331103,0.13512477572989723,0.15687082042081227,2358,250
Poisson GLM + NTA FE,precision,0.3751835535976505,0.3497186962100674,0.4019831262825135,2358,250
Poisson GLM + NTA FE,recall,0.03767880843533402,0.03359248426750962,0.041119113869099104,2358,250
Poisson GLM + NTA FE,f1,0.06848030018761726,0.061472346541479636,0.07451686865064987,2358,250
Poisson GLM + NTA FE,alert_rate,0.011107848894108437,0.010169961505839369,0.011968666405689306,2358,250
HGB Poisson count,pr_auc,0.1527955526634712,0.14912081941553873,0.1565559117588575,2358,250
HGB Poisson count,precision_at_5pct,0.17550154950252814,0.1652992986462241,0.18447235361278747,2358,250
HGB Poisson count,precision,0.5128960943257185,0.49089178373632314,0.5342810740505152,2358,250
HGB Poisson count,recall,0.10263972865359092,0.09679975449579326,0.10879473395701365,2358,250
HGB Poisson count,f1,0.1710493978864586,0.1619435185985232,0.17987847814438945,2358,250
HGB Poisson count,alert_rate,0.022134142363149995,0.020882062699810792,0.023455136360670713,2358,250
Hurdle HGB count,pr_auc,0.1517217797265457,0.14794666529908496,0.1556141174730238,2358,250
Hurdle HGB count,precision_at_5pct,0.1722394389169793,0.16361523405643452,0.18251508726145815,2358,250
Hurdle HGB count,precision,0.4966953073364177,0.4779571950802448,0.513059178113034,2358,250
Hurdle HGB count,recall,0.11082436218846778,0.10382276236076515,0.11624855185676221,2358,250
Hurdle HGB count,f1,0.18121533638775017,0.17078272194028724,0.1892276645492524,2358,250
Hurdle HGB count,alert_rate,0.02467867162523651,0.02341456253669994,0.025828603118679454,2358,250
