target_definition,description,split,rows,full_split_rows,excluded_rows,positive_rows,positive_share,positive_mu8w_lt_0p25,positive_mu8w_lt_0p5,positive_mu8w_lt_1,positive_mu8w_lt_2,positive_share_mu8w_lt_1,positive_count_eq_1,positive_count_eq_2,positive_count_eq_3,positive_count_ge_4,positive_share_count_ge_4
T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,test,247590,247590,0,31570,0.12750918857789087,2560,4073,5670,7469,0.17960088691796008,2707,1586,1123,26154,0.8284447260057016
T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,train,954990,954990,0,121306,0.1270233196159122,10522,16844,23084,30631,0.19029561604537285,11313,6340,4746,98907,0.8153512604487824
T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,validation,122616,122616,0,15574,0.12701441899915183,1314,2156,3026,3879,0.19429818928984205,1413,848,628,12685,0.8144985231796584
T1_min_count_2,T0 AND count_t+1 >= 2,test,247590,247590,0,28863,0.11657579062159215,567,1366,2963,4762,0.10265738142258254,0,1586,1123,26154,0.9061428125974431
T1_min_count_2,T0 AND count_t+1 >= 2,train,954990,954990,0,109993,0.11517712227353166,2192,5531,11771,19318,0.10701590101188257,0,6340,4746,98907,0.8992117680216014
T1_min_count_2,T0 AND count_t+1 >= 2,validation,122616,122616,0,14161,0.11549063743720232,304,743,1613,2466,0.11390438528352517,0,848,628,12685,0.8957700727349763
T2_min_count_3,T0 AND count_t+1 >= 3,test,247590,247590,0,27277,0.11017003917767276,183,474,1392,3176,0.051032004985885546,0,0,1123,26154,0.9588297833339443
T2_min_count_3,T0 AND count_t+1 >= 3,train,954990,954990,0,103653,0.10853830930166808,689,1864,5506,12978,0.053119543090889794,0,0,4746,98907,0.9542126132384012
T2_min_count_3,T0 AND count_t+1 >= 3,validation,122616,122616,0,13313,0.10857473739153128,86,252,770,1618,0.05783820325997146,0,0,628,12685,0.9528280627957635
T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",test,189423,247590,58167,25900,0.1367310199922924,0,0,0,1799,0.0,0,15,394,25491,0.9842084942084942
T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",train,710697,954990,244293,98222,0.13820517041721014,0,0,0,7547,0.0,0,75,1797,96350,0.9809411333509804
T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",validation,92803,122616,29813,12548,0.13521114619139468,0,0,0,853,0.0,0,5,201,12342,0.9835830411220912
