target_definition,split,volume_decile,rows,rolling_8w_mean_min,rolling_8w_mean_median,rolling_8w_mean_max,positive_rows,positive_share,precision,recall,f1,pr_auc,alert_rate,precision_at_1pct,precision_at_5pct
T0_current_reference,validation,D1,12262,0.0,0.0,0.0,601,0.04901321154787147,0.2376470588235294,0.16805324459234608,0.1968810916179337,0.15841344993496234,0.034659924971456535,0.35772357723577236,0.21986970684039087
T0_current_reference,validation,D2,12262,0.0,0.25,0.5,1694,0.1381503832979938,0.23941647597254004,0.49409681227863045,0.3225433526011561,0.2531110152285337,0.28510846517696947,0.42276422764227645,0.3257328990228013
T0_current_reference,validation,D3,12261,0.5,1.0,2.0,1674,0.1365304624418889,0.23470762597682565,0.5203106332138591,0.3234911792014856,0.25176282818439677,0.3026669929043308,0.43089430894308944,0.3566775244299674
T0_current_reference,validation,D4,12262,2.0,3.375,4.875,1850,0.1508726145816343,0.25229990800367985,0.592972972972973,0.35398515650209744,0.292985560933075,0.35459142064916,0.5772357723577236,0.38599348534201955
T0_current_reference,validation,D5,12261,4.875,6.625,8.75,1715,0.13987439849930675,0.2583695374393049,0.5895043731778425,0.35927505330490406,0.30715082256980136,0.3191419949433162,0.5121951219512195,0.4543973941368078
T0_current_reference,validation,D6,12262,8.75,11.125,14.0,1658,0.13521448377099984,0.2613268608414239,0.5844390832328106,0.36116287737607156,0.3061153596107958,0.30239765128037843,0.5040650406504065,0.42671009771986973
T0_current_reference,validation,D7,12261,14.0,17.625,22.0,1635,0.13334964521654025,0.26283652511795724,0.5792048929663609,0.36158839251622754,0.2955547990770596,0.293858575972596,0.4634146341463415,0.40553745928338764
T0_current_reference,validation,D8,12262,22.0,28.125,36.25,1565,0.12763007665959877,0.26433313216656606,0.5597444089456869,0.3590899774543964,0.292582219410282,0.27026586201272224,0.44715447154471544,0.3762214983713355
T0_current_reference,validation,D9,12261,36.25,50.0,72.625,1628,0.13277872930429818,0.2766833284328139,0.578009828009828,0.37422946907933985,0.3363444859324703,0.2773835739336106,0.5934959349593496,0.44136807817589574
T0_current_reference,validation,D10,12262,72.625,113.625,540.375,1554,0.12673299624857282,0.28136762860727726,0.5772200772200772,0.378321383382539,0.3405251068880075,0.2599902136682434,0.7560975609756098,0.44462540716612375
T0_current_reference,test,D1,24759,0.0,0.0,0.0,1166,0.04709398602528374,0.24169986719787517,0.15608919382504288,0.18968212610734758,0.15209895158723757,0.03041318308493881,0.3467741935483871,0.20436187399030695
T0_current_reference,test,D2,24759,0.0,0.25,0.5,3317,0.1339714851165233,0.23732189367243756,0.4669882423876997,0.3147094676960585,0.2490441417641628,0.2636213094228361,0.4475806451612903,0.33521809369951533
T0_current_reference,test,D3,24759,0.5,1.125,2.25,3379,0.13647562502524335,0.2410150891632373,0.5199763243563185,0.3293654513075265,0.2645683648555788,0.29443838604143946,0.4838709677419355,0.37237479806138934
T0_current_reference,test,D4,24759,2.25,3.625,5.25,3641,0.14705763560725393,0.2616364527192553,0.5866520186761879,0.3618805590851334,0.30383176944828394,0.32973868088371905,0.5161290322580645,0.4168012924071082
T0_current_reference,test,D5,24759,5.25,7.125,9.25,3648,0.1473403610808191,0.27111286503551696,0.5649671052631579,0.3664,0.316914493243772,0.3070398642917727,0.5887096774193549,0.43134087237479807
T0_current_reference,test,D6,24759,9.25,11.75,14.625,3379,0.13647562502524335,0.2678367579908676,0.5554897898786624,0.3614133050929046,0.30876553831845865,0.28304858839209984,0.5403225806451613,0.4208400646203554
T0_current_reference,test,D7,24759,14.625,18.25,23.0,3106,0.12544933155620178,0.2654223347042075,0.5402446877012235,0.3559609673313534,0.2927723281059949,0.25534149198271333,0.5080645161290323,0.39579967689822293
T0_current_reference,test,D8,24759,23.0,29.625,39.125,3182,0.12851892241205218,0.28172942817294283,0.5713387806411062,0.3773741567202906,0.32730102630386215,0.2606324972737186,0.5766129032258065,0.4579967689822294
T0_current_reference,test,D9,24759,39.125,53.75,78.125,3397,0.1372026333858395,0.29087346024636057,0.6117162201942891,0.3942699933592638,0.36229146170094784,0.2885415404499374,0.6612903225806451,0.48546042003231016
T0_current_reference,test,D10,24759,78.125,121.75,9050.5,3355,0.1355062805444485,0.3155301223970752,0.5916542473919523,0.41156956251295873,0.3889259334985427,0.25408942202835333,0.717741935483871,0.524232633279483
T1_min_count_2,validation,D1,12262,0.0,0.0,0.0,121,0.009867884521285272,0.13636363636363635,0.024793388429752067,0.04195804195804196,0.06124341877605161,0.0017941608220518675,0.0975609756097561,0.07166123778501629
T1_min_count_2,validation,D2,12262,0.0,0.25,0.5,761,0.062061653890066876,0.2149390243902439,0.18528252299605782,0.1990119971771348,0.1653346430998949,0.05349861360300114,0.23577235772357724,0.22149837133550487
T1_min_count_2,validation,D3,12261,0.5,1.0,2.0,1674,0.1365304624418889,0.2507113499841922,0.47371565113500597,0.32788918751292123,0.2607937839414715,0.2579724329173803,0.44715447154471544,0.3566775244299674
