analysis,target_definition,window_column,sigma_multiplier,train_rows_before_sample,train_rows_fit,max_train_rows,n_estimators,feature_count,numeric_feature_count,categorical_feature_count,validation_selected_threshold,validation_selected_f1,fit_seconds,split,rows,positive_rows,positive_share,threshold,f1,precision,recall,balanced_accuracy,pr_auc,roc_auc,alert_rows,alert_rate,tp,fp,fn,tn
target_sensitivity,4w + 1.5 sigma,4w,1.5,954990,100000,100000,250,213,210,3,0.595,0.410458618871903,26.286,validation,122616,17719,0.14450805767599662,0.595,0.410458618871903,0.32764424695347744,0.5492973644110841,0.6794457688715096,0.3670834284930433,0.7679874683377284,29706,0.24226854570366022,9733,19973,7986,84924
target_sensitivity,4w + 1.5 sigma,4w,1.5,954990,100000,100000,250,213,210,3,0.595,0.410458618871903,26.286,test,247590,35738,0.14434347106102832,0.595,0.415628657415148,0.331682177524267,0.5564665062398567,0.6836601549192978,0.3659083427256599,0.7715559773451752,59958,0.2421664849145765,19887,40071,15851,171781
target_sensitivity,8w + 1.0 sigma,8w,1.0,954990,100000,100000,250,213,210,3,0.5349999999999999,0.429218736471471,18.122,validation,122616,22297,0.1818441312716122,0.5349999999999999,0.429218736471471,0.3164187996000085,0.6669955599407992,0.6733636079790519,0.3787064988705031,0.7397982429144271,47001,0.3833186533568213,14872,32129,7425,68190
target_sensitivity,8w + 1.0 sigma,8w,1.0,954990,100000,100000,250,213,210,3,0.5349999999999999,0.429218736471471,18.122,test,247590,45377,0.18327476877095197,0.5349999999999999,0.44105340522918624,0.32924470905219244,0.6678493509927937,0.6812663399788981,0.39820362687976407,0.7504655492452358,92044,0.37175976412617634,30305,61739,15072,140474
target_sensitivity,8w + 1.5 sigma (reference),8w,1.5,954990,100000,100000,250,213,210,3,0.5728175958895045,0.36606409202958096,22.549,validation,122616,15573,0.12700626345664515,0.5728175958895045,0.36606409202958096,0.269127374875404,0.5721440955499904,0.6730473754470522,0.31014449085141227,0.7524918857200957,33107,0.27000554576890456,8910,24197,6663,82846
target_sensitivity,8w + 1.5 sigma (reference),8w,1.5,954990,100000,100000,250,213,210,3,0.5728175958895045,0.36606409202958096,22.549,test,247590,31562,0.1274768770951977,0.5728175958895045,0.37526541487988674,0.2794277211147968,0.571161523350865,0.6779859128595382,0.3213560786364393,0.7608396055486248,64514,0.26056787430833234,18027,46487,13535,169541
target_sensitivity,8w + 2.0 sigma,8w,2.0,954990,100000,100000,250,213,210,3,0.6199999999999999,0.30798513550258316,15.923,validation,122616,10640,0.08677497227115548,0.6199999999999999,0.30798513550258316,0.2269468809831248,0.47904135338345866,0.6619951355043321,0.25060186821171476,0.7635723917880362,22459,0.18316532915769557,5097,17362,5543,94614
target_sensitivity,8w + 2.0 sigma,8w,2.0,954990,100000,100000,250,213,210,3,0.6199999999999999,0.30798513550258316,15.923,test,247590,21916,0.08851730683791753,0.6199999999999999,0.3178459388334647,0.23573649736453256,0.4877258623836466,0.6670840377437522,0.25682574227271804,0.7705941753417824,45343,0.18313744496950604,10689,34654,11227,191020
target_sensitivity,12w + 1.5 sigma,12w,1.5,954990,100000,100000,250,213,210,3,0.585,0.35170710709350006,20.628,validation,122616,14291,0.1165508579630717,0.585,0.35170710709350006,0.260050924685071,0.5431390385557344,0.6696262928758363,0.29181225684602574,0.7556376273250626,29848,0.24342663273960985,7762,22086,6529,86239
target_sensitivity,12w + 1.5 sigma,12w,1.5,954990,100000,100000,250,213,210,3,0.585,0.35170710709350006,20.628,test,247590,29213,0.11798941798941799,0.585,0.3665311499239138,0.27424590024641005,0.5524252901105672,0.6784299115256536,0.3154959141949561,0.7676758913318907,58845,0.23767114988489035,16138,42707,13075,175670
