experiment_id,model_name,feature_set,split,f1,precision,recall,pr_auc,roc_auc,balanced_accuracy,accuracy,source_file
E1_main_2015_2025,rolling_zscore_rule,historical_rule,test,0.3332,0.2746,0.4236,0.2658,0.6852,0.63,0.7838,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,logistic_regression,historical_calendar_weather,test,0.3307,0.2392,0.5357,0.2606,0.7003,0.6434,0.7236,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,logistic_regression,historical_only,test,0.3256,0.2277,0.5713,0.2598,0.6976,0.644,0.6982,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,rolling_zscore_rule,historical_rule,validation,0.3245,0.2663,0.4152,0.2615,0.6775,0.6244,0.7804,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,logistic_regression,historical_only,validation,0.3157,0.2197,0.5613,0.245,0.6842,0.6356,0.691,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,logistic_regression,historical_calendar_weather,validation,0.3138,0.2197,0.5489,0.2451,0.6853,0.6326,0.6951,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,current_week_abnormal_persistence,historical_rule,test,0.3111,0.3207,0.302,0.2359,0.6389,0.6043,0.8295,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,current_week_abnormal_persistence,historical_rule,validation,0.3077,0.317,0.299,0.2339,0.6379,0.6026,0.8291,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,recent_momentum_above_baseline,historical_rule,validation,0.2918,0.2088,0.4841,0.2003,0.6252,0.6086,0.7015,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,recent_momentum_above_baseline,historical_rule,test,0.2892,0.2074,0.4771,0.2025,0.6236,0.6054,0.7009,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,seasonal_lag52_margin,historical_rule,test,0.2423,0.1449,0.7385,0.1773,0.5806,0.5509,0.4111,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,seasonal_lag52_margin,historical_rule,validation,0.2379,0.1417,0.7417,0.1614,0.5661,0.544,0.3964,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,majority_class,none,validation,0.0,0.0,0.0,0.127,0.5,0.5,0.873,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,majority_class,none,test,0.0,0.0,0.0,0.1275,0.5,0.5,0.8725,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,train_prevalence_probability,none,test,0.0,0.0,0.0,0.1275,0.5,0.5,0.8725,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,train_prevalence_probability,none,validation,0.0,0.0,0.0,0.127,0.5,0.5,0.873,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
