experiment_id,model_name,feature_set,split,f1,precision,recall,pr_auc,roc_auc,balanced_accuracy,accuracy,source_file
E1_main_2015_2025,logistic_regression,historical_only,test,0.3324,0.2383,0.5494,0.2582,0.6943,0.6464,0.7187,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,logistic_regression,historical_calendar_weather,test,0.3306,0.2415,0.5238,0.2567,0.6933,0.6417,0.7295,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,logistic_regression,historical_only,validation,0.3223,0.2293,0.5427,0.2425,0.6808,0.6386,0.7102,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,logistic_regression,full_without_covid_period_features,test,0.3188,0.2061,0.7037,0.2719,0.7123,0.6538,0.6166,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,logistic_regression,historical_calendar_weather,validation,0.3161,0.2234,0.5402,0.2418,0.6798,0.6335,0.7031,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,current_week_abnormal_persistence,historical_rule,test,0.3111,0.3207,0.302,0.2359,0.6389,0.6043,0.8295,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,logistic_regression,full_without_covid_period_features,validation,0.309,0.1984,0.6981,0.2567,0.7003,0.6439,0.6035,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,current_week_abnormal_persistence,historical_rule,validation,0.3077,0.317,0.299,0.2339,0.6379,0.6026,0.8291,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,recent_momentum_above_baseline,historical_rule,validation,0.2918,0.2088,0.4841,0.2003,0.6252,0.6086,0.7015,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,recent_momentum_above_baseline,historical_rule,test,0.2892,0.2074,0.4771,0.2025,0.6236,0.6054,0.7009,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,majority_class,none,validation,0.0,0.0,0.0,0.127,0.5,0.5,0.873,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,majority_class,none,test,0.0,0.0,0.0,0.1275,0.5,0.5,0.8725,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,train_prevalence_probability,none,test,0.0,0.0,0.0,0.1275,0.5,0.5,0.8725,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
E1_main_2015_2025,train_prevalence_probability,none,validation,0.0,0.0,0.0,0.127,0.5,0.5,0.873,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\baseline_metrics.csv
