score_col,model_label,global_threshold_fallback,complaint_category,threshold,threshold_strategy,note,validation_rows,validation_positive_rows,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
lgbm_score,Tuned LightGBM,0.57,environment,0.570062,best_f1,Max validation F1.,13624,1495,0.3465947403910991,0.2610020311442112,0.5157190635451505,0.28055337495230825,0.7573516966853814,0.21682325308279507
lgbm_score,Tuned LightGBM,0.57,housing,0.605,best_f1,Max validation F1.,13624,1626,0.38393731635651324,0.3189585028478438,0.4821648216482165,0.37776250976790066,0.7781825619973153,0.18041691133294185
lgbm_score,Tuned LightGBM,0.57,infrastructure,0.548231,best_f1,Max validation F1.,13624,1734,0.343119567000164,0.23974329589731835,0.6032295271049596,0.2659666294867927,0.722860409191134,0.3202436876100998
lgbm_score,Tuned LightGBM,0.57,noise,0.595,best_f1,Max validation F1.,13624,1884,0.4039872108331766,0.3128459073696475,0.5700636942675159,0.34229920131002745,0.7581268288139701,0.2519817968291251
lgbm_score,Tuned LightGBM,0.57,other,0.565,best_f1,Max validation F1.,13624,1802,0.37410071942446044,0.2767429483767962,0.5771365149833518,0.30363222405655266,0.7490953255757666,0.2758367586611861
lgbm_score,Tuned LightGBM,0.57,parking_traffic,0.585,best_f1,Max validation F1.,13624,1884,0.3736304549675023,0.28734647243644673,0.5339702760084926,0.31320491121337707,0.7358302860635786,0.25697298884321784
lgbm_score,Tuned LightGBM,0.57,public_safety,0.57,best_f1,Max validation F1.,13624,1839,0.40232418353035465,0.31852791878172587,0.5459488852637303,0.33448701100766687,0.7750234800922732,0.23135642982971227
lgbm_score,Tuned LightGBM,0.57,sanitation,0.565,best_f1,Max validation F1.,13624,1651,0.3549651567944251,0.27711662699761985,0.49364021804966685,0.28212769285533607,0.7431784102561068,0.2158690546095126
lgbm_score,Tuned LightGBM,0.57,water_sewer,0.595026,best_f1,Max validation F1.,13624,1659,0.3862928348909657,0.2946768060836502,0.5605786618444847,0.3528214435733986,0.7753235715885215,0.23165002935995302
xgb_score,Tuned XGBoost,0.35,environment,0.35,best_f1,Max validation F1.,13624,1495,0.34676258992805753,0.2702803738317757,0.4836120401337793,0.2808826912557526,0.7577670201410643,0.19634468584850265
xgb_score,Tuned XGBoost,0.35,housing,0.374703,best_f1,Max validation F1.,13624,1626,0.3838482121138409,0.3175050301810865,0.48523985239852396,0.3748020259563068,0.7769796401081197,0.18239870816206694
xgb_score,Tuned XGBoost,0.35,infrastructure,0.326813,best_f1,Max validation F1.,13624,1734,0.34744880249913224,0.24851042701092355,0.577277970011534,0.2698880478335399,0.7226254604152056,0.2956547269524369
xgb_score,Tuned XGBoost,0.35,noise,0.376067,best_f1,Max validation F1.,13624,1884,0.4082043032374824,0.3285853026869537,0.5387473460721869,0.3459048055264332,0.7593718238768504,0.22673223722842042
xgb_score,Tuned XGBoost,0.35,other,0.336034,best_f1,Max validation F1.,13624,1802,0.37663534180947117,0.28193103448275864,0.5671476137624861,0.30050020988283427,0.7494590260525581,0.26607457428068115
xgb_score,Tuned XGBoost,0.35,parking_traffic,0.355311,best_f1,Max validation F1.,13624,1884,0.37908752692383,0.3003412969283277,0.5138004246284501,0.31627678625348304,0.7379284036285116,0.2365678214914856
xgb_score,Tuned XGBoost,0.35,public_safety,0.318621,best_f1,Max validation F1.,13624,1839,0.39948119325551235,0.30297920179876336,0.5861881457313758,0.32325340105596406,0.7729340460299783,0.26115678214914856
xgb_score,Tuned XGBoost,0.35,sanitation,0.329926,best_f1,Max validation F1.,13624,1651,0.3494931687968268,0.2746795981988223,0.48031496062992124,0.27799523861286246,0.743353192775811,0.21190546095126248
xgb_score,Tuned XGBoost,0.35,water_sewer,0.35,best_f1,Max validation F1.,13624,1659,0.3914285714285714,0.2958963282937365,0.5780590717299579,0.35375725469250446,0.7784599294657639,0.23788901937756898
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.461296,environment,0.46,best_f1,Max validation F1.,13624,1495,0.34788634788634787,0.26570218772053633,0.5036789297658862,0.2812413095157968,0.7578038593481281,0.20801526717557253
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.461296,housing,0.495,best_f1,Max validation F1.,13624,1626,0.3893717407499379,0.32653061224489793,0.4821648216482165,0.37781140572471267,0.7782369478553929,0.17623311802701117
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.461296,infrastructure,0.44,best_f1,Max validation F1.,13624,1734,0.3447806868412105,0.24445515911282545,0.5847750865051903,0.2692815968026274,0.7232418371791401,0.3044627128596594
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.461296,noise,0.51,best_f1,Max validation F1.,13624,1884,0.4089775561097257,0.3360655737704918,0.5222929936305732,0.34503948164598913,0.7591739774013753,0.21491485613623018
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.461296,other,0.451176,best_f1,Max validation F1.,13624,1802,0.3775027302511831,0.28087757313109424,0.5754716981132075,0.3024224347672558,0.7495849223714472,0.27099236641221375
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.461296,parking_traffic,0.438495,best_f1,Max validation F1.,13624,1884,0.37652232746955344,0.27631578947368424,0.5907643312101911,0.31564977449837583,0.7372376364037515,0.2956547269524369
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.461296,public_safety,0.416004,best_f1,Max validation F1.,13624,1839,0.4010344827586207,0.2936127240595809,0.6324089178901577,0.32733539986797044,0.7744241061819259,0.2907369348209043
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.461296,sanitation,0.44,best_f1,Max validation F1.,13624,1651,0.35279187817258884,0.271043223919402,0.5051483949121744,0.28046882800947154,0.7435314152987974,0.2258514386376982
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.461296,water_sewer,0.475,best_f1,Max validation F1.,13624,1659,0.389648033126294,0.2967518133081047,0.567209162145871,0.3536975662275371,0.7768671030912695,0.23275102759835584
