complaint_category,category_rank,feature,feature_group,mean_abs_shap,rows
environment,1,rolling_8w_std,historical_temporal,0.81127072438792,2777
environment,2,ratio_to_8w_mean,historical_temporal,0.4612217834224891,2777
environment,3,lag_52w_count,historical_temporal,0.17473904503741208,2777
environment,4,week_of_year,calendar,0.1528725963402269,2777
environment,5,rolling_12w_mean,historical_temporal,0.12863805798073097,2777
environment,6,rolling_12w_std,historical_temporal,0.11982996703179456,2777
environment,7,rolling_4w_mean,historical_temporal,0.11794495053410496,2777
environment,8,lag_1w_count,historical_temporal,0.1099795687042034,2777
environment,9,complaint_count,current_demand,0.08375694761245707,2777
environment,10,lag_12w_count,historical_temporal,0.0696977632922406,2777
environment,11,complaint_category=environment,semantic_category,0.05047757142319896,2777
environment,12,complaint_category=housing,semantic_category,0.04978497180706398,2777
environment,13,history_weeks_available,historical_temporal,0.047963375763197265,2777
environment,14,lag_2w_count,historical_temporal,0.04544072202750669,2777
environment,15,lag_8w_count,historical_temporal,0.035614758335209495,2777
environment,16,complaint_category=public_safety,semantic_category,0.03316773492424907,2777
environment,17,complaint_category=noise,semantic_category,0.03105194994507127,2777
environment,18,diff_4w_count,historical_temporal,0.030728367917391215,2777
environment,19,ratio_to_12w_mean,historical_temporal,0.0304338853601952,2777
environment,20,month,calendar,0.026613934132304454,2777
environment,21,complaint_category=water_sewer,semantic_category,0.02463670927304063,2777
environment,22,complaint_category=sanitation,semantic_category,0.022771427324116914,2777
environment,23,weather_prcp_max,weather,0.02072531411581016,2777
environment,24,rolling_4w_std,historical_temporal,0.018749701978406887,2777
environment,25,rolling_12w_sum,historical_temporal,0.018636862519660628,2777
environment,26,boroname=Brooklyn,spatial_context,0.017036088276351356,2777
environment,27,pct_change_1w,historical_temporal,0.015914626063032303,2777
environment,28,weather_tmin_min,weather,0.015896058602679546,2777
environment,29,rolling_4w_sum,historical_temporal,0.015891169688504892,2777
environment,30,weather_awnd_mean,weather,0.01559369711388944,2777
housing,1,rolling_8w_std,historical_temporal,0.809480653651202,2778
housing,2,ratio_to_8w_mean,historical_temporal,0.45777903469112124,2778
housing,3,lag_52w_count,historical_temporal,0.1761379705326263,2778
housing,4,week_of_year,calendar,0.15327446806184358,2778
housing,5,rolling_12w_mean,historical_temporal,0.1287161192521248,2778
housing,6,rolling_12w_std,historical_temporal,0.1207050016748221,2778
housing,7,rolling_4w_mean,historical_temporal,0.1158340258553752,2778
housing,8,lag_1w_count,historical_temporal,0.1090513812335393,2778
housing,9,complaint_count,current_demand,0.08196077457119547,2778
housing,10,lag_12w_count,historical_temporal,0.06887998176169252,2778
housing,11,complaint_category=environment,semantic_category,0.05236994189399524,2778
housing,12,history_weeks_available,historical_temporal,0.04972079085658518,2778
housing,13,complaint_category=housing,semantic_category,0.048566184216489734,2778
housing,14,lag_2w_count,historical_temporal,0.04489410792006413,2778
