candidate_id,experiment_id,model_name,param_id,feature_set,pos_weight_mode,pos_weight,split,threshold_strategy,threshold,tn,fp,fn,tp
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,default_0_5,0.5,106521,521,15021,553
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,default_0_5,0.5,214784,1236,30019,1551
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_f1,0.166872,85727,21315,7282,8292
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,best_f1,0.166872,176349,39671,15070,16500
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_f2,0.092663,60310,46732,3111,12463
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,best_f2,0.092663,127348,88672,6703,24867
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_balanced_accuracy,0.109527,67815,39227,4060,11514
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,best_balanced_accuracy,0.109527,141968,74052,8639,22931
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_precision_at_min_recall,0.118994,71494,35548,4608,10966
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,best_precision_at_min_recall,0.118994,149059,66961,9731,21839
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_recall_at_min_precision,0.135,76977,30065,5538,10036
