method_id,model_label,score_col,threshold_mode,threshold_strategy,split,global_threshold,rows,positive_rows,positive_share,predicted_positive_rows,predicted_positive_share,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,122616,15574,0.12701441899915183,31010,0.25290337313238076,0.7621354472499511,0.6754312249581468,0.28084488874556596,0.5592012328239373,0.7916612170923563,0.9250594939196123,0.37390520350334877,0.4666902450003215,0.7576231717506487,0.31448066440083716,84741,22301,6865,8709
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.335,247590,31570,0.12750918857789087,60597,0.24474736459469285,0.7695262328850115,0.678353450684434,0.289651302869779,0.5559708584098828,0.8007360429589853,0.9250346269646458,0.3808738485575097,0.46961370313093637,0.7655307347420319,0.3273453421428876,172975,43045,14018,17552
lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,validation,,122616,15574,0.12701441899915183,28699,0.23405591439942586,0.7747520715077967,0.6721776770318324,0.29014948256036793,0.534673173237447,0.8096821808262178,0.9228361212560027,0.3761660605786823,0.457552612780922,0.7576231717506487,0.31448066440083716,86670,20372,7247,8327
lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,test,,247590,31570,0.12750918857789087,56264,0.22724665778100892,0.7800961266610121,0.6728078372475572,0.2967083748044931,0.5287931580614508,0.8168225164336635,0.9222478910341512,0.38012614705011727,0.45725961959856254,0.7655307347420319,0.3273453421428876,176450,39570,14876,16694
xgb_global,Tuned XGBoost,xgb_score,global,best_f1,validation,0.345,122616,15574,0.12701441899915183,28112,0.22926861094800027,0.777875644287858,0.6711684543401886,0.2925796812749004,0.5281237960703737,0.8142131126100035,0.9222360958266317,0.37655084008606876,0.454882311299885,0.7599534923656706,0.31736319143773173,87155,19887,7349,8225
xgb_global,Tuned XGBoost,xgb_score,global,best_f1,test,0.345,247590,31570,0.12750918857789087,55255,0.22317137202633386,0.7837109737873097,0.6741085811427086,0.30109492353633155,0.5269876464998416,0.8212295157855755,0.9223594249616555,0.3832306363374604,0.45823119508634697,0.7685334914114319,0.33475198877112045,177402,38618,14933,16637
xgb_per_category,Tuned XGBoost,xgb_score,per_category,best_f1,validation,,122616,15574,0.12701441899915183,28673,0.23384387029425197,0.7757144255235858,0.6739908139594404,0.29201687999162973,0.5376268139206369,0.8103548139982437,0.9233471360292944,0.37846633670079327,0.4602117204762062,0.7599534923656706,0.31736319143773173,86742,20300,7201,8373
xgb_per_category,Tuned XGBoost,xgb_score,per_category,best_f1,test,,247590,31570,0.12750918857789087,56092,0.22655196090310595,0.7813239630033523,0.6744040083337934,0.29879483705341225,0.5308837503959455,0.8179242662716415,0.9226623776749626,0.38237776915881455,0.45950036189765975,0.7685334914114319,0.33475198877112045,176688,39332,14810,16760
ensemble_lgbm_w0p500_global,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,global,best_f1,validation,0.353894,122616,15574,0.12701441899915183,27191,0.22175735629934104,0.7824345925490964,0.668814074477935,0.2958331800963554,0.516501862077822,0.8211262868780479,0.921089861147498,0.37619548696363847,0.4494507582106898,0.7598369164244934,0.3177186786565136,87895,19147,7530,8044
ensemble_lgbm_w0p500_global,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,global,best_f1,test,0.353894,247590,31570,0.12750918857789087,53326,0.21538026576194516,0.7884405670665212,0.6716936778663223,0.30487942092037656,0.5149825783972125,0.8284047773354319,0.9211794259358399,0.38300980022615905,0.45260180617574025,0.7681529744617964,0.3328237284785547,178952,37068,15312,16258
ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,per_category,best_f1,validation,,122616,15574,0.12701441899915183,28067,0.22890161153519933,0.7783241991257258,0.6715625314750933,0.29322692129547157,0.5284448439707204,0.814680218979466,0.9223259896984632,0.3771682592057927,0.45538550070272127,0.7598369164244934,0.3177186786565136,87205,19837,7344,8230
ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,per_category,best_f1,test,,247590,31570,0.12750918857789087,54923,0.22183044549456762,0.7839048426834686,0.6722993846960463,0.3003295522822861,0.5224897054165347,0.8221090639755578,0.921756190733234,0.38141814944561986,0.45515250851255223,0.7681529744617964,0.3328237284785547,177592,38428,15075,16495
