score_col,model_label,global_threshold_fallback,complaint_category,threshold,threshold_strategy,note,validation_rows,validation_positive_rows,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
lgbm_score,Tuned LightGBM,0.345,environment,0.363751,best_f1,Max validation F1.,13624,1495,0.3543365455893254,0.2809561128526646,0.47959866220735786,0.2842932558180083,0.7663709879111701,0.18731650029359953
lgbm_score,Tuned LightGBM,0.345,housing,0.346172,best_f1,Max validation F1.,13624,1626,0.37561853351327035,0.29609929078014185,0.513530135301353,0.3688710366984519,0.7723385939476998,0.20698766881972988
lgbm_score,Tuned LightGBM,0.345,infrastructure,0.319874,best_f1,Max validation F1.,13624,1734,0.34729577916867277,0.24060484767622858,0.6239907727797002,0.2806828557940055,0.7334841293168927,0.330079271873165
lgbm_score,Tuned LightGBM,0.345,noise,0.365,best_f1,Max validation F1.,13624,1884,0.40942100098135426,0.32482092805979446,0.5536093418259024,0.3505597743466724,0.7630759068566282,0.23568702290076335
lgbm_score,Tuned LightGBM,0.345,other,0.316427,best_f1,Max validation F1.,13624,1802,0.38041499817983254,0.283044420368364,0.5799112097669257,0.31766266729658,0.7581792707251533,0.27099236641221375
lgbm_score,Tuned LightGBM,0.345,parking_traffic,0.303327,best_f1,Max validation F1.,13624,1884,0.38033115905669845,0.27765567765567767,0.6035031847133758,0.32178831959696286,0.7396598541650842,0.3005725190839695
lgbm_score,Tuned LightGBM,0.345,public_safety,0.332388,best_f1,Max validation F1.,13624,1839,0.40685142417244036,0.31486446231754545,0.5747688961392061,0.32499061026231735,0.7787615384668625,0.2464034057545508
lgbm_score,Tuned LightGBM,0.345,sanitation,0.355,best_f1,Max validation F1.,13624,1651,0.36051315503370296,0.2812075983717775,0.5021199273167777,0.283961789244888,0.7494866680396326,0.21638285378743394
lgbm_score,Tuned LightGBM,0.345,water_sewer,0.36707,best_f1,Max validation F1.,13624,1659,0.39316239316239315,0.30453492221118833,0.5545509342977697,0.3453476548257588,0.7787463787664797,0.22174104521432766
xgb_score,Tuned XGBoost,0.34,environment,0.34,best_f1,Max validation F1.,13624,1495,0.3624684560679055,0.27583798882681565,0.5284280936454849,0.2857121990281605,0.7683974751907519,0.21021726365237817
xgb_score,Tuned XGBoost,0.34,housing,0.37,best_f1,Max validation F1.,13624,1626,0.3752635277582572,0.3030646992054484,0.492619926199262,0.3684892937488827,0.7732928068987308,0.19399588960657663
xgb_score,Tuned XGBoost,0.34,infrastructure,0.379522,best_f1,Max validation F1.,13624,1734,0.34912420382165604,0.26656534954407296,0.505767012687428,0.27578208131193194,0.7308104471690224,0.2414856136230182
xgb_score,Tuned XGBoost,0.34,noise,0.349013,best_f1,Max validation F1.,13624,1884,0.40806330067822155,0.3162967289719626,0.5748407643312102,0.3447389152215216,0.7631504157669535,0.25132119788608337
xgb_score,Tuned XGBoost,0.34,other,0.327742,best_f1,Max validation F1.,13624,1802,0.37626681407775936,0.2816551724137931,0.5665926748057714,0.3129877049618386,0.7562680359855053,0.26607457428068115
xgb_score,Tuned XGBoost,0.34,parking_traffic,0.33,best_f1,Max validation F1.,13624,1884,0.38130021913805695,0.2906458797327394,0.554140127388535,0.32180983710117766,0.73932087931365,0.26365237815619497
xgb_score,Tuned XGBoost,0.34,public_safety,0.32,best_f1,Max validation F1.,13624,1839,0.4045068341337274,0.3062937062937063,0.5954323001631321,0.3184317016992329,0.7758255983415014,0.26240458015267176
xgb_score,Tuned XGBoost,0.34,sanitation,0.332667,best_f1,Max validation F1.,13624,1651,0.351038338658147,0.26184092940125114,0.532404603270745,0.2775467586473115,0.7469701538738761,0.2464034057545508
xgb_score,Tuned XGBoost,0.34,water_sewer,0.372949,best_f1,Max validation F1.,13624,1659,0.3892330698568682,0.3014559894109861,0.5491259795057264,0.3418108085865083,0.7789823996904776,0.22181444509688786
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.345,environment,0.34,best_f1,Max validation F1.,13624,1495,0.3583106267029973,0.27122722585080783,0.5277591973244147,0.28624205195986313,0.7680627237133921,0.21352025836758662
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.345,housing,0.337082,best_f1,Max validation F1.,13624,1626,0.3770943796394486,0.287795403043056,0.5467404674046741,0.37052643092981213,0.7737949149786547,0.22673223722842042
