importance_rank,feature,feature_group,mean_abs_shap,mean_signed_shap,mean_abs_shap_share
1,rolling_8w_std,historical_temporal,0.7506653474324656,0.044227646202605726,0.21479668565276674
2,ratio_to_8w_mean,historical_temporal,0.43349673416396667,-0.017681305787220224,0.12404150805442049
3,complaint_category,semantic_category,0.2100585903811671,0.004872580888866198,0.060106529708734285
4,lag_52w_count,historical_temporal,0.12794532185878313,-0.008512924300803793,0.03661049650692125
5,week_of_year,calendar,0.12298461961812288,-0.0020262657234507457,0.03519103255610934
6,rolling_4w_mean,historical_temporal,0.11312264853763647,-0.06746117022518065,0.032369111030975284
7,rolling_12w_std,historical_temporal,0.08535026345585889,-0.04266164136089073,0.02442227255142917
8,complaint_count,current_demand,0.07422237690068285,0.0406847887705524,0.02123811977476615
9,lag_1w_count,historical_temporal,0.07349455049524115,-0.021796912162559263,0.021029858263622518
10,history_weeks_available,historical_temporal,0.07033199933127882,0.016855350326705248,0.020124920383447462
11,lag_12w_count,historical_temporal,0.053129467622790756,0.0117455808478885,0.015202558097166101
12,rolling_12w_mean,historical_temporal,0.0508760865496771,-0.018563023069977213,0.014557771725085655
13,poi_semantic_entropy,osm_poi_context,0.04651934826937256,0.010462060072031456,0.013311127070358014
14,lag_8w_count,historical_temporal,0.043813182127938693,-0.008492397192319574,0.012536779992803556
15,rolling_8w_mean,historical_temporal,0.04230855165641977,-0.00614723456440393,0.012106242417677911
16,poi_named_count,osm_poi_context,0.040178999807362656,0.00820220007108308,0.011496888754733797
17,lag_2w_count,historical_temporal,0.03854392858839731,-0.0076658090353086015,0.011029026637691577
18,pluto_lot_count,pluto_built_environment,0.0385349301903751,-0.01010510147953276,0.011026451820460484
19,pluto_total_buildings,pluto_built_environment,0.03531656168548597,-0.006055739764527109,0.010105542269454962
20,ratio_to_12w_mean,historical_temporal,0.03466813847415374,-0.006155412500206011,0.009920001326116003
21,diff_4w_count,historical_temporal,0.03134036172988563,-0.0028909645856091933,0.008967785511564297
22,month,calendar,0.030804014256363463,0.0008886867154322615,0.008814314114403313
23,weather_tmin_mean,weather,0.0300307624702671,-0.004877034191930813,0.0085930545059817
24,pluto_parcel_density_per_km2,pluto_built_environment,0.025173161027989336,0.012955930286113452,0.007203091996599671
25,pluto_total_residential_area,pluto_built_environment,0.024667563264750655,0.004016943893340848,0.007058419374920019
26,rolling_4w_sum,historical_temporal,0.021404918248752347,-0.013485116641317239,0.006124840466162674
27,rolling_4w_std,historical_temporal,0.020650133595541357,-0.013570208837654502,0.0059088650752034165
28,weather_awnd_mean,weather,0.019275391456725348,-0.0005192122243434339,0.005515493973080656
29,pct_change_1w,historical_temporal,0.01832972251359882,-0.0017479568373468088,0.00524489862003406
30,weather_prcp_max,weather,0.018011612885915858,-0.000469331386101137,0.005153874178937579
31,weather_tmin_min,weather,0.017163632954582123,0.005169503537896128,0.004911231729311338
32,weather_tmax_max,weather,0.017031777902549953,-0.003982786568935798,0.004873502495825399
33,poi_mixed_use_index,osm_poi_context,0.01682908969049885,-0.004379770597717438,0.0048155049389668435
34,weather_awnd_max,weather,0.015766760769541754,0.0029496578315043806,0.004511528297344668
35,diff_1w_count,historical_temporal,0.015597525644104769,-0.00037205473681109995,0.004463103064763694
36,pluto_total_lot_area,pluto_built_environment,0.014475749887192066,-0.0016096685186276995,0.004142116202302789
37,weather_tmax_mean,weather,0.013784499267037592,0.003697560233863935,0.003944320549855999
38,weather_tavg_mean,weather,0.01371574533936319,0.0008952334080811018,0.0039246471816359475
39,weather_prcp_mean,weather,0.013574900217926532,-0.002902639146277293,0.0038843455140840466
40,rolling_12w_sum,historical_temporal,0.01355012307719681,-0.00692264298449705,0.003877255740023076
41,poi_named_share,osm_poi_context,0.012946452969520487,0.007305392260544206,0.0037045205274546167
42,pluto_office_area_ratio,pluto_built_environment,0.012686185961505175,-0.0032330066549544263,0.003630047273963346
43,pluto_building_area_to_lot_area_ratio,pluto_built_environment,0.012559185124100003,0.0011114585726562725,0.003593707033877585
44,pluto_lot_area_ratio_mixed_use,pluto_built_environment,0.012329317992870877,-2.5404642598589685e-05,0.0035279324539034267
45,pluto_lot_area_ratio_public_facility,pluto_built_environment,0.012288897006418645,0.0027709545927503444,0.003516366322670047
46,pluto_total_building_area,pluto_built_environment,0.01176017947538953,0.00047320392885823116,0.0033650781704994354
47,pluto_total_office_area,pluto_built_environment,0.011755426308261393,0.0013636369060623375,0.003363718091005997
48,pluto_lot_count_mixed_use,pluto_built_environment,0.011715851895685992,0.005223840841705214,0.0033523941998913668
49,weather_tmax_min,weather,0.011531704985494466,0.0018160389757449552,0.0032997020833342
50,pluto_lot_area_mixed_use,pluto_built_environment,0.011390395286710427,0.0026298232605543505,0.0032592674808136234
51,poi_osm_tag_amenity_share,osm_poi_context,0.011097735699121281,0.003737277420042024,0.0031755253583702937
52,weather_tmin_max,weather,0.011087269070953486,-0.0016583525720881781,0.003172530419216526
53,pluto_total_residential_units,pluto_built_environment,0.01097361057159061,0.0030459132924899545,0.003140007978900191
54,pluto_lot_count_residential,pluto_built_environment,0.010523402846873382,0.003351261794285256,0.0030111847589989506
