complaint_category,category_rank,feature,feature_group,mean_abs_shap,rows
environment,1,rolling_8w_std,historical_temporal,0.7639196130958941,2778
environment,2,ratio_to_8w_mean,historical_temporal,0.43284665451572635,2778
environment,3,complaint_category,semantic_category,0.21674776893329226,2778
environment,4,lag_52w_count,historical_temporal,0.13252828747781364,2778
environment,5,week_of_year,calendar,0.12205656824857153,2778
environment,6,rolling_4w_mean,historical_temporal,0.11574987068011998,2778
environment,7,rolling_12w_std,historical_temporal,0.08734554742948815,2778
environment,8,complaint_count,current_demand,0.07486656433993576,2778
environment,9,lag_1w_count,historical_temporal,0.07378614470962604,2778
environment,10,history_weeks_available,historical_temporal,0.07002983659915364,2778
environment,11,lag_12w_count,historical_temporal,0.05336040321040212,2778
environment,12,rolling_12w_mean,historical_temporal,0.051385572194461604,2778
environment,13,poi_semantic_entropy,osm_poi_context,0.04670002597224779,2778
environment,14,lag_8w_count,historical_temporal,0.04352748330568363,2778
environment,15,rolling_8w_mean,historical_temporal,0.043470574264130354,2778
environment,16,poi_named_count,osm_poi_context,0.040443133571769124,2778
environment,17,lag_2w_count,historical_temporal,0.039175434334266505,2778
environment,18,pluto_lot_count,pluto_built_environment,0.03717376836281441,2778
environment,19,pluto_total_buildings,pluto_built_environment,0.036429565309464576,2778
environment,20,ratio_to_12w_mean,historical_temporal,0.03478102474222177,2778
environment,21,weather_tmin_mean,weather,0.03127540596821732,2778
environment,22,diff_4w_count,historical_temporal,0.03098268288439885,2778
environment,23,month,calendar,0.030714924557981617,2778
environment,24,pluto_parcel_density_per_km2,pluto_built_environment,0.02497995304233663,2778
environment,25,pluto_total_residential_area,pluto_built_environment,0.02455725999808346,2778
environment,26,rolling_4w_sum,historical_temporal,0.02192346011541486,2778
environment,27,rolling_4w_std,historical_temporal,0.02080162907026886,2778
environment,28,weather_awnd_mean,weather,0.019780207880879416,2778
environment,29,pct_change_1w,historical_temporal,0.01902061407893727,2778
environment,30,weather_prcp_max,weather,0.018268178164205284,2778
housing,1,rolling_8w_std,historical_temporal,0.7665776424613928,2778
housing,2,ratio_to_8w_mean,historical_temporal,0.4292146330618336,2778
housing,3,complaint_category,semantic_category,0.21381674932775216,2778
housing,4,lag_52w_count,historical_temporal,0.12951009636292402,2778
housing,5,week_of_year,calendar,0.1269157701092084,2778
housing,6,rolling_4w_mean,historical_temporal,0.11280450044150328,2778
housing,7,rolling_12w_std,historical_temporal,0.08559202751798618,2778
housing,8,complaint_count,current_demand,0.0749203109871141,2778
housing,9,lag_1w_count,historical_temporal,0.07452602634459088,2778
housing,10,history_weeks_available,historical_temporal,0.07201289518777353,2778
housing,11,lag_12w_count,historical_temporal,0.054098022587389855,2778
housing,12,rolling_12w_mean,historical_temporal,0.05066413877054085,2778
housing,13,poi_semantic_entropy,osm_poi_context,0.04568473694640539,2778
housing,14,lag_8w_count,historical_temporal,0.04470921614708591,2778
housing,15,rolling_8w_mean,historical_temporal,0.04262574870065345,2778
housing,16,poi_named_count,osm_poi_context,0.039306617065913305,2778
housing,17,lag_2w_count,historical_temporal,0.03922002520467841,2778
housing,18,pluto_lot_count,pluto_built_environment,0.03729148908701078,2778
housing,19,pluto_total_buildings,pluto_built_environment,0.035503514625792654,2778
housing,20,ratio_to_12w_mean,historical_temporal,0.034816108947125,2778
housing,21,month,calendar,0.031386427201028744,2778
housing,22,diff_4w_count,historical_temporal,0.03138084139586859,2778
housing,23,weather_tmin_mean,weather,0.029749499755215868,2778
housing,24,pluto_parcel_density_per_km2,pluto_built_environment,0.025025576684848422,2778
housing,25,pluto_total_residential_area,pluto_built_environment,0.024070832412329005,2778
housing,26,rolling_4w_sum,historical_temporal,0.021428653149889433,2778
housing,27,rolling_4w_std,historical_temporal,0.02104991887283636,2778
housing,28,weather_awnd_mean,weather,0.019383845683497013,2778
housing,29,pct_change_1w,historical_temporal,0.017869323860777483,2778
housing,30,weather_prcp_max,weather,0.017448256185255386,2778
infrastructure,1,rolling_8w_std,historical_temporal,0.7637739442724256,2778
infrastructure,2,ratio_to_8w_mean,historical_temporal,0.4415478209336036,2778
infrastructure,3,complaint_category,semantic_category,0.20926496678580542,2778
infrastructure,4,lag_52w_count,historical_temporal,0.13142324205815278,2778
infrastructure,5,week_of_year,calendar,0.12463189634997038,2778
infrastructure,6,rolling_4w_mean,historical_temporal,0.11387023522004355,2778
infrastructure,7,rolling_12w_std,historical_temporal,0.08317383828681862,2778
infrastructure,8,complaint_count,current_demand,0.07597163635106793,2778
infrastructure,9,lag_1w_count,historical_temporal,0.07467896653875494,2778
infrastructure,10,history_weeks_available,historical_temporal,0.06881209568658189,2778
infrastructure,11,lag_12w_count,historical_temporal,0.05421609575750667,2778
infrastructure,12,rolling_12w_mean,historical_temporal,0.05030611118522986,2778
infrastructure,13,lag_8w_count,historical_temporal,0.045461752584494294,2778
infrastructure,14,poi_semantic_entropy,osm_poi_context,0.04486097174151153,2778
infrastructure,15,rolling_8w_mean,historical_temporal,0.04207427026822551,2778
infrastructure,16,poi_named_count,osm_poi_context,0.03896169082695414,2778
infrastructure,17,lag_2w_count,historical_temporal,0.0382443139586014,2778
infrastructure,18,pluto_total_buildings,pluto_built_environment,0.03583778395799053,2778
infrastructure,19,ratio_to_12w_mean,historical_temporal,0.0351677563964373,2778
infrastructure,20,pluto_lot_count,pluto_built_environment,0.034161283469647405,2778
infrastructure,21,diff_4w_count,historical_temporal,0.03226858612319104,2778
infrastructure,22,month,calendar,0.031061592094651112,2778
infrastructure,23,weather_tmin_mean,weather,0.0304561621374201,2778
infrastructure,24,pluto_parcel_density_per_km2,pluto_built_environment,0.02448467819026048,2778
infrastructure,25,pluto_total_residential_area,pluto_built_environment,0.024104861472155358,2778
infrastructure,26,rolling_4w_sum,historical_temporal,0.021264336471619547,2778
infrastructure,27,rolling_4w_std,historical_temporal,0.020910844532389485,2778
infrastructure,28,weather_awnd_mean,weather,0.019617983171600916,2778
infrastructure,29,pct_change_1w,historical_temporal,0.018618782370367647,2778
infrastructure,30,weather_prcp_max,weather,0.018601963511802995,2778
noise,1,rolling_8w_std,historical_temporal,0.7535091955765935,2778
noise,2,ratio_to_8w_mean,historical_temporal,0.434015913609293,2778
noise,3,complaint_category,semantic_category,0.2145674130012522,2778
noise,4,lag_52w_count,historical_temporal,0.1270471480595626,2778
noise,5,week_of_year,calendar,0.12234344989159773,2778
noise,6,rolling_4w_mean,historical_temporal,0.11398068981211532,2778
noise,7,rolling_12w_std,historical_temporal,0.09100857928128132,2778
noise,8,complaint_count,current_demand,0.07479465243732165,2778
noise,9,lag_1w_count,historical_temporal,0.0744693181869423,2778
noise,10,history_weeks_available,historical_temporal,0.07398089477166958,2778
noise,11,lag_12w_count,historical_temporal,0.05312783507905712,2778
noise,12,rolling_12w_mean,historical_temporal,0.05084710553290818,2778
noise,13,poi_semantic_entropy,osm_poi_context,0.04795351860948739,2778
noise,14,lag_8w_count,historical_temporal,0.04517343272221711,2778
noise,15,pluto_lot_count,pluto_built_environment,0.042309665682397,2778
noise,16,rolling_8w_mean,historical_temporal,0.04155221361748229,2778
noise,17,poi_named_count,osm_poi_context,0.04149015641538974,2778
noise,18,lag_2w_count,historical_temporal,0.03939438255345649,2778
noise,19,pluto_total_buildings,pluto_built_environment,0.03613114817209426,2778
noise,20,ratio_to_12w_mean,historical_temporal,0.03601927001416469,2778
noise,21,diff_4w_count,historical_temporal,0.031501816869131304,2778
noise,22,month,calendar,0.031216385172058717,2778
noise,23,weather_tmin_mean,weather,0.029784589207925278,2778
