case_id,case_type,importance_rank,feature,feature_group,feature_value,shap_value,abs_shap_value
case_001,true_positive_high_score,1,ratio_to_8w_mean,historical_temporal,0.6486486,-0.31554559554181505,0.31554559554181505
case_001,true_positive_high_score,2,complaint_category,semantic_category,6.0,-0.25228412019265556,0.25228412019265556
case_001,true_positive_high_score,3,week_of_year,calendar,51.0,-0.2136667462392395,0.2136667462392395
case_001,true_positive_high_score,4,history_weeks_available,historical_temporal,572.0,0.12775457809800816,0.12775457809800816
case_001,true_positive_high_score,5,rolling_8w_std,historical_temporal,4.2003403,-0.10403270308271217,0.10403270308271217
case_001,true_positive_high_score,6,lag_1w_count,historical_temporal,5.0,-0.08385600639608357,0.08385600639608357
case_001,true_positive_high_score,7,lag_52w_count,historical_temporal,13.0,0.0616512735298931,0.0616512735298931
case_001,true_positive_high_score,8,pluto_lot_count_residential,pluto_built_environment,5689.0,0.04698571026920026,0.04698571026920026
case_001,true_positive_high_score,9,pluto_lot_count,pluto_built_environment,6830.0,0.04507434886093903,0.04507434886093903
case_001,true_positive_high_score,10,pluto_parcel_density_per_km2,pluto_built_environment,2109.0334,0.041926894029425,0.041926894029425
case_001,true_positive_high_score,11,pluto_total_residential_area,pluto_built_environment,2.1168118e+07,0.038669545167061996,0.038669545167061996
case_001,true_positive_high_score,12,poi_named_count,osm_poi_context,285.0,0.034399866535053454,0.034399866535053454
case_002,true_positive_high_score,1,rolling_8w_std,historical_temporal,0.35355338,1.8511198965948064,1.8511198965948064
case_002,true_positive_high_score,2,complaint_category,semantic_category,4.0,-0.3780971638463912,0.3780971638463912
case_002,true_positive_high_score,3,ratio_to_8w_mean,historical_temporal,0.0,-0.321820276076618,0.321820276076618
case_002,true_positive_high_score,4,rolling_4w_mean,historical_temporal,0.0,-0.21350178103983278,0.21350178103983278
case_002,true_positive_high_score,5,rolling_8w_mean,historical_temporal,0.125,0.1748119828139363,0.1748119828139363
case_002,true_positive_high_score,6,rolling_12w_std,historical_temporal,0.45226702,0.14427396294295733,0.14427396294295733
case_002,true_positive_high_score,7,lag_52w_count,historical_temporal,0.0,-0.12656962058876522,0.12656962058876522
