case_id,case_type,original_index,nta2020,ntaname,boroname,week_start,year,complaint_category,complaint_category_label,complaint_count,y_true,prediction,lgbm_score,expected_value_log_odds,sum_shap_log_odds,top_positive_features,top_negative_features
case_001,true_positive_high_score,257597,MN0903,Hamilton Heights-Sugar Hill,Manhattan,2025-10-13,2025,housing,Housing & Building Conditions,356,1,1,0.9032969782695367,-2.4476075160092186,-0.3972751805836596,history_weeks_available; lag_52w_count; pluto_lot_count_residential; pluto_lot_count; pluto_parcel_density_per_km2,ratio_to_8w_mean; complaint_category; week_of_year; rolling_8w_std; lag_1w_count
case_002,true_positive_high_score,214541,BX0904,Parkchester,Bronx,2025-10-13,2025,housing,Housing & Building Conditions,257,1,1,0.8995311337953015,-2.4476075160092186,1.8984928874280884,rolling_8w_std; rolling_8w_mean; rolling_12w_std; week_of_year; lag_8w_count,complaint_category; ratio_to_8w_mean; rolling_4w_mean; lag_52w_count; weather_tmin_mean
case_003,true_positive_high_score,222029,BX1101,Pelham Parkway-Van Nest,Bronx,2025-10-13,2025,housing,Housing & Building Conditions,242,1,1,0.8992483951447172,-2.4476075160092186,0.4438521771891926,complaint_category; week_of_year; rolling_8w_std; month; weather_awnd_mean,ratio_to_8w_mean; lag_1w_count; rolling_4w_mean; pct_change_1w; lag_12w_count
case_004,true_positive_high_score,257596,MN0903,Hamilton Heights-Sugar Hill,Manhattan,2025-10-06,2025,housing,Housing & Building Conditions,227,1,1,0.8922776319864589,-2.4476075160092186,-0.9641710884884025,pluto_parcel_density_per_km2; pluto_lot_count_residential; ratio_to_12w_mean; history_weeks_available; poi_named_count,ratio_to_8w_mean; complaint_category; week_of_year; rolling_8w_std; weather_tmax_max
case_005,true_positive_high_score,206117,BX0701,University Heights (North)-Fordham,Bronx,2025-10-13,2025,housing,Housing & Building Conditions,295,1,1,0.8837123203031438,-2.4476075160092186,-0.41018053120648795,lag_12w_count; lag_52w_count; complaint_count; ratio_to_8w_mean; lag_1w_count,rolling_8w_std; history_weeks_available; complaint_category; lag_8w_count; month
case_006,false_positive_high_score,192077,BX0301,Morrisania,Bronx,2025-10-13,2025,housing,Housing & Building Conditions,206,0,1,0.8335158928779884,-2.4476075160092186,0.6529500971068549,complaint_category; ratio_to_8w_mean; lag_1w_count; rolling_4w_mean; complaint_count,rolling_8w_std; lag_52w_count; rolling_8w_mean; rolling_4w_std; weather_tmax_max
case_007,false_positive_high_score,205181,BX0603,Belmont,Bronx,2025-10-13,2025,housing,Housing & Building Conditions,257,0,1,0.8260427102725311,-2.4476075160092186,-0.9990800331690426,lag_52w_count; complaint_count; lag_1w_count; lag_12w_count; rolling_4w_mean,rolling_8w_std; lag_8w_count; ratio_to_8w_mean; rolling_4w_std; rolling_8w_mean
case_008,false_positive_high_score,256668,MN0902,Manhattanville-West Harlem,Manhattan,2025-12-01,2025,housing,Housing & Building Conditions,216,0,1,0.8248275983863441,-2.4476075160092186,0.16400447569453896,lag_12w_count; complaint_count; lag_1w_count; week_of_year; lag_52w_count,rolling_8w_std; lag_8w_count; rolling_8w_mean; history_weeks_available; rolling_4w_std
case_009,false_positive_high_score,187422,BX0101,Mott Haven-Port Morris,Bronx,2024-04-08,2024,infrastructure,Street Infrastructure & Public Works,271,0,1,0.8074553653255275,-2.4476075160092186,-1.683496989105813,ratio_to_8w_mean; complaint_category; history_weeks_available; complaint_count; weather_tmax_mean,rolling_8w_std; lag_8w_count; rolling_4w_std; lag_1w_count; rolling_4w_mean
case_010,false_positive_high_score,264654,MN1202,Washington Heights (North),Manhattan,2025-06-30,2025,public_safety,Public Safety & Regulatory Enforcement,156,0,1,0.7941798037669192,-2.4476075160092186,-0.9802988717994104,complaint_category; ratio_to_8w_mean; lag_52w_count; complaint_count; rolling_4w_mean,rolling_8w_std; weather_tmin_mean; diff_4w_count; weather_tmin_max; week_of_year
case_011,false_negative_low_score,245621,MN0601,Stuyvesant Town-Peter Cooper Village,Manhattan,2025-06-23,2025,noise,Noise & Disturbance,8,1,0,0.1822522845460255,-2.4476075160092186,0.55358591343594,rolling_8w_std; ratio_to_8w_mean; rolling_8w_mean; poi_named_count; pluto_total_residential_area,complaint_category; week_of_year; lag_52w_count; rolling_4w_mean; rolling_12w_mean
