importance_rank,feature,feature_group,mean_abs_shap,mean_signed_shap,mean_abs_shap_share
1,rolling_8w_std,historical_temporal,0.8247666419090461,0.05174245346794988,0.23648721139801734
2,ratio_to_8w_mean,historical_temporal,0.40538403170493315,-0.0051720786371813815,0.11623668360456953
3,week_of_year,calendar,0.1355551656672037,-0.0004963781229312807,0.0388680403526413
4,lag_52w_count,historical_temporal,0.13133270774725198,0.0006593978543423267,0.03765732540856507
5,rolling_4w_mean,historical_temporal,0.10933528416789517,-0.06808041037163104,0.031349954213020566
6,lag_1w_count,historical_temporal,0.10050258754531509,-0.030935736945255258,0.02881733506081557
7,complaint_category=environment,semantic_category,0.08659119464935057,0.0031917547654208766,0.024828489797852522
8,rolling_12w_std,historical_temporal,0.0825927256737679,-0.038728856582843835,0.02368199971223469
9,complaint_category=other,semantic_category,0.0734917676024849,0.0065715013682861294,0.02107246134590811
10,complaint_category=housing,semantic_category,0.060665712326917656,-0.0026998387799963917,0.01739481740248317
11,history_weeks_available,historical_temporal,0.0588113026643866,9.450754782491183e-05,0.01686309831056351
12,complaint_count,current_demand,0.05601892680347656,0.034781408660814084,0.016062434041464013
13,rolling_12w_mean,historical_temporal,0.05562168357843607,-0.011784863980851623,0.015948531589833406
14,lag_12w_count,historical_temporal,0.049716215731696246,0.020086798510310873,0.014255243389132675
15,ratio_to_12w_mean,historical_temporal,0.04532273789384317,-0.01221198599969159,0.012995491515793156
16,poi_semantic_entropy,osm_poi_context,0.04377373115651372,0.011117994179444656,0.012551341297860143
17,pluto_lot_count,pluto_built_environment,0.040241398015400685,-0.011988161775832885,0.01153850739815601
18,lag_2w_count,historical_temporal,0.038767092477665216,-0.019658977194723655,0.011115776424749153
19,complaint_category=noise,semantic_category,0.035861273747298875,0.0010762240733259792,0.010282584424182955
20,poi_named_count,osm_poi_context,0.034222363295272624,0.004176116587850913,0.00981265591005969
21,complaint_category=infrastructure,semantic_category,0.03325254442691492,0.0012606282901095162,0.009534577544513494
22,diff_4w_count,historical_temporal,0.03230674371956815,-0.006741692925494496,0.009263385960793529
23,pluto_total_buildings,pluto_built_environment,0.0306497156712027,-0.00867822299981832,0.008788262547146231
24,lag_8w_count,historical_temporal,0.030549922464333152,-0.0073290192588493985,0.008759648614416825
25,complaint_category=public_safety,semantic_category,0.030166731907905617,0.002465271200014623,0.008649775516356203
26,pluto_total_units,pluto_built_environment,0.029055004680434177,-0.0011332921929387543,0.008331007444879128
27,month,calendar,0.02810344330441542,0.0012600854187425703,0.008058164091554524
28,pluto_total_residential_area,pluto_built_environment,0.025314993795640152,-0.0028433594212964783,0.007258625634315179
29,complaint_category=parking_traffic,semantic_category,0.022624721984100697,0.0008461749497662082,0.006487237891060865
30,poi_osm_tag_public_transport_count,osm_poi_context,0.02137905681786212,0.001274879845538927,0.006130065490371198
31,rolling_8w_mean,historical_temporal,0.020393338631835435,0.003594681978516029,0.005847428277379417
32,weather_prcp_max,weather,0.01970481647223083,-0.002262521558201443,0.005650006755658138
33,pluto_lot_area_ratio_public_facility,pluto_built_environment,0.019306565203319533,0.00547981826715868,0.005535815265320267
34,poi_mixed_use_index,osm_poi_context,0.01868258731298521,0.003038397064588137,0.005356900668437899
35,weather_tmin_mean,weather,0.01856846763135407,0.0022729066026260262,0.00532417887307999
36,weather_awnd_mean,weather,0.018260708651936044,-0.0031716310804852104,0.005235934442319785
